0,5:-4, -6, 1, 13
-4,9:5, 2, 9, 21
2,6:-5, -5, -7, 0, 12
-2,10:-5, 4, 1, 8, 20
-3,5:-4, -14, 11, 18, 1
-1,-2:-4, 4, -10, -13, -14
-7,9:5, -6, 19, 26, 9
-5,2:5, 12, -2, -5, -6
1,7:6, -3, -5, 2, 14
-3,11:6, 6, 3, 10, 22
4,7:-5, -6, -6, -8, -1, 11
0,11:-5, -6, 3, 0, 7, 19
-1,6:-5, -5, -15, 10, 17, 0
1,-1:-5, -5, 3, -11, -14, -15
-5,10:-5, 4, -7, 18, 25, 8
-3,3:-5, 4, 11, -3, -6, -7
3,8:-5, 5, -4, -6, 1, 13
-1,12:-5, 5, 5, 2, 9, 21
-7,13:-4, -11, -13, -14, -3, -6
8,2:-4, -11, -11, -11, -15, 7
8,2:-4, -11, -11, -11, 7, -15
-1,-1:-4, -11, -8, -13, -20, -23
-1,-1:-4, -11, -8, -13, -20, -12
0,0:-4, -6, -13, -5, -26, -3
0,0:-4, -6, -13, -5, -3, -26
0,0:-4, -6, -13, -5, -3, -25
0,0:-4, -6, -13, -5, -3, -24
0,0:-4, -6, -13, -5, -3, -23
0,0:-4, -6, -13, -5, -3, -22
0,0:-4, -6, -13, -5, -3, -21
1,-8:-4, -6, -8, 1, 0, 13
1,-8:-4, -6, -8, 1, 0, 14
1,-8:-4, -6, -8, 1, 0, 17
1,-8:-4, -6, -8, 1, 0, 24
6,-6:-4, -6, 6, -2, -15, 14
6,-6:-4, -6, 6, -2, -15, 15
6,-6:-4, -6, 6, -2, -15, 16
6,-6:-4, -6, 6, -2, -15, 17
6,-6:-4, -6, 6, -2, -15, 18
6,-6:-4, -6, 6, -2, -15, 19
6,-6:-4, -6, 6, -2, 14, -15
-3,1:-4, 4, 1, 8, -17, -6
7,-1:-4, 4, 7, -11, 3, -3
-11,17:5, -3, -5, -6, 5, 2
4,6:5, -3, -3, -3, -7, 15
4,6:5, -3, -3, -3, 15, -7
-5,3:5, -3, 0, -5, -12, -15
-5,3:5, -3, 0, -5, -12, -4
-4,4:5, 2, -5, 3, -18, 5
-4,4:5, 2, -5, 3, 5, -18
-4,4:5, 2, -5, 3, 5, -17
-4,4:5, 2, -5, 3, 5, -16
-4,4:5, 2, -5, 3, 5, -15
-4,4:5, 2, -5, 3, 5, -14
-4,4:5, 2, -5, 3, 5, -13
-3,-4:5, 2, 0, 9, 8, 21
-3,-4:5, 2, 0, 9, 8, 22
-3,-4:5, 2, 0, 9, 8, 25
-3,-4:5, 2, 0, 9, 8, 32
2,-2:5, 2, 14, 6, -7, 22
2,-2:5, 2, 14, 6, -7, 23
2,-2:5, 2, 14, 6, -7, 24
2,-2:5, 2, 14, 6, -7, 25
2,-2:5, 2, 14, 6, -7, 26
2,-2:5, 2, 14, 6, -7, 27
2,-2:5, 2, 14, 6, 22, -7
-7,5:5, 12, 9, 16, -9, 2
3,3:5, 12, 15, -3, 11, 5
-2,7:6, -3, -13, 12, 19, 2
0,0:6, -3, 5, -9, -12, -13
-6,11:6, 6, -5, 20, 27, 10
-4,4:6, 6, 13, -1, -4, -5
2,9:6, 7, -2, -4, 3, 15
-2,13:6, 7, 7, 4, 11, 23
