6,-7:-4, -11, -8, -15, 5
6,-7:-4, -11, -8, -15, 8
6,-7:-4, -11, -8, -15, 9
7,8:-4, -11, 3, 2, 16
14,1:-4, 4, -10, -9, -23
-1,0:-4, 4, 1, 8, -16
-1,0:-4, 4, 1, 8, -15
-1,0:-4, 4, 1, 8, -12
-1,0:-4, 4, 1, 8, -5
2,-3:5, -3, 0, -7, 6
2,-3:5, -3, 0, -7, 13
2,-3:5, -3, 0, -7, 16
2,-3:5, -3, 0, -7, 17
3,12:5, -3, 11, 10, 24
10,5:5, 12, -2, -1, -15
-5,4:5, 12, 9, 16, -8
-5,4:5, 12, 9, 16, -7
-5,4:5, 12, 9, 16, -4
-5,4:5, 12, 9, 16, 3
8,-6:-5, -5, -12, -9, -16, -3
8,-6:-5, -5, -12, -9, -16, 4
8,-6:-5, -5, -12, -9, -16, 7
8,-6:-5, -5, -12, -9, -16, 8
9,9:-5, -5, -12, 2, 1, 15
16,2:-5, -5, 3, -11, -10, -24
1,1:-5, -5, 3, 0, 7, -17
1,1:-5, -5, 3, 0, 7, -16
1,1:-5, -5, 3, 0, 7, -13
1,1:-5, -5, 3, 0, 7, -6
4,-2:-5, 4, -4, -1, -8, 5
4,-2:-5, 4, -4, -1, -8, 12
4,-2:-5, 4, -4, -1, -8, 15
4,-2:-5, 4, -4, -1, -8, 16
5,13:-5, 4, -4, 10, 9, 23
12,6:-5, 4, 11, -3, -2, -16
-3,5:-5, 4, 11, 8, 15, -9
-3,5:-5, 4, 11, 8, 15, -8
-3,5:-5, 4, 11, 8, 15, -5
-3,5:-5, 4, 11, 8, 15, 2
18,-2:-4, -13, -4, -3, 7, -2
9,-14:-4, -13, -4, 7, 8, 6
13,3:-4, -11, -14, 4, -6, 1
13,3:-4, -11, -14, 4, -6, 7
13,3:-4, -11, -14, 4, -6, 11
6,-7:-4, -11, -8, -15, 7, 0
6,-7:-4, -11, -8, -15, 7, 1
6,-7:-4, -11, -8, -15, 7, 2
6,-7:-4, -11, -8, -15, 7, 3
6,-7:-4, -11, -8, -15, 7, 4
10,-3:-4, -6, -13, -17, 0, -5
3,4:-4, -6, 6, 10, -10, -2
-8,3:-4, 2, -3, -14, -15, -13
4,12:-4, 2, -3, -4, -14, -5
-1,0:-4, 4, 1, 8, -14, -11
-1,0:-4, 4, 1, 8, -14, -10
-1,0:-4, 4, 1, 8, -14, -9
-1,0:-4, 4, 1, 8, -14, -8
-1,0:-4, 4, 1, 8, -14, -7
9,7:-4, 4, 7, -11, -1, -18
9,7:-4, 4, 7, -11, -1, -14
9,7:-4, 4, 7, -11, -1, -8
14,2:5, -5, 4, 5, 15, 6
5,-10:5, -5, 4, 15, 16, 14
9,7:5, -3, -6, 12, 2, 9
9,7:5, -3, -6, 12, 2, 15
9,7:5, -3, -6, 12, 2, 19
2,-3:5, -3, 0, -7, 15, 8
2,-3:5, -3, 0, -7, 15, 9
2,-3:5, -3, 0, -7, 15, 10
2,-3:5, -3, 0, -7, 15, 11
2,-3:5, -3, 0, -7, 15, 12
6,1:5, 2, -5, -9, 8, 3
-1,8:5, 2, 14, 18, -2, 6
-12,7:5, 10, 5, -6, -7, -5
0,16:5, 10, 5, 4, -6, 3
-5,4:5, 12, 9, 16, -6, -3
-5,4:5, 12, 9, 16, -6, -2
-5,4:5, 12, 9, 16, -6, -1
-5,4:5, 12, 9, 16, -6, 0
-5,4:5, 12, 9, 16, -6, 1
5,11:5, 12, 15, -3, 7, -10
5,11:5, 12, 15, -3, 7, -6
5,11:5, 12, 15, -3, 7, 0
7,-5:6, -3, -10, -7, -14, -1
7,-5:6, -3, -10, -7, -14, 6
7,-5:6, -3, -10, -7, -14, 9
7,-5:6, -3, -10, -7, -14, 10
8,10:6, -3, -10, 4, 3, 17
15,3:6, -3, 5, -9, -8, -22
0,2:6, -3, 5, 2, 9, -15
0,2:6, -3, 5, 2, 9, -14
0,2:6, -3, 5, 2, 9, -11
0,2:6, -3, 5, 2, 9, -4
3,-1:6, 6, -2, 1, -6, 7
3,-1:6, 6, -2, 1, -6, 14
3,-1:6, 6, -2, 1, -6, 17
3,-1:6, 6, -2, 1, -6, 18
4,14:6, 6, -2, 12, 11, 25
11,7:6, 6, 13, -1, 0, -14
-4,6:6, 6, 13, 10, 17, -7
-4,6:6, 6, 13, 10, 17, -6
-4,6:6, 6, 13, 10, 17, -3
-4,6:6, 6, 13, 10, 17, 4
