2,15:-4, -14, 11, 18, 3
2,15:-4, -14, 11, 18, 6
6,4:-4, -11, -14, -5, 7
6,4:-4, -11, -14, -5, 8
6,4:-4, -11, -5, 7, -14
9,1:-4, 4, -2, -15, 7
9,1:-4, 4, -2, 7, -15
9,1:-4, 4, -2, 7, -14
20,-3:-4, 7, -18, -25, -13
20,-3:-4, 7, -18, -25, -10
20,-3:-4, 7, -18, -25, -9
-2,19:5, -6, 19, 26, 10
-2,19:5, -6, 19, 26, 11
-2,19:5, -6, 19, 26, 14
2,8:5, -3, -6, 3, 15
2,8:5, -3, -6, 3, 16
2,8:5, -3, 3, 15, -6
5,5:5, 12, 6, -7, 15
5,5:5, 12, 6, 15, -7
5,5:5, 12, 6, 15, -6
16,1:5, 15, -10, -17, -5
16,1:5, 15, -10, -17, -2
16,1:5, 15, -10, -17, -1
4,16:-5, -5, -15, 10, 17, 1
4,16:-5, -5, -15, 10, 17, 2
4,16:-5, -5, -15, 10, 17, 5
8,5:-5, -5, -12, -15, -6, 6
8,5:-5, -5, -12, -15, -6, 7
8,5:-5, -5, -12, -6, 6, -15
11,2:-5, -5, 3, -3, -16, 6
11,2:-5, -5, 3, -3, 6, -16
11,2:-5, -5, 3, -3, 6, -15
22,-2:-5, -5, 6, -19, -26, -14
22,-2:-5, -5, 6, -19, -26, -11
22,-2:-5, -5, 6, -19, -26, -10
0,20:-5, 4, -7, 18, 25, 9
0,20:-5, 4, -7, 18, 25, 10
0,20:-5, 4, -7, 18, 25, 13
4,9:-5, 4, -4, -7, 2, 14
4,9:-5, 4, -4, -7, 2, 15
4,9:-5, 4, -4, 2, 14, -7
7,6:-5, 4, 11, 5, -8, 14
7,6:-5, 4, 11, 5, 14, -8
7,6:-5, 4, 11, 5, 14, -7
18,2:-5, 4, 14, -11, -18, -6
18,2:-5, 4, 14, -11, -18, -3
18,2:-5, 4, 14, -11, -18, -2
7,-4:-4, -13, -8, -14, -17, 1
7,-4:-4, -13, -8, -14, -17, 2
7,-4:-4, -13, -8, -14, -17, 3
7,-4:-4, -13, -8, -14, -17, 4
7,-4:-4, -13, -8, -14, -17, 5
7,-4:-4, -13, -8, -14, -17, 6
7,-4:-4, -13, -8, -14, 2, -17
4,2:-4, -11, -14, -5, 9, 1
15,-1:-4, -11, -13, -12, -3, -7
15,-1:-4, -11, -13, -12, -3, -6
15,-1:-4, -11, -13, -12, -3, -5
