18,2:-4, -11, -11, -1, 2
6,14:-4, 4, 4, -6, -9
6,14:-4, 4, 4, -6, 2
14,6:5, -3, -3, 7, -1
14,6:5, -3, -3, 7, 10
2,18:5, 12, 12, 2, -1
2,18:5, 12, 12, 2, 10
20,3:-5, -5, -12, -12, -2, -10
20,3:-5, -5, -12, -12, -2, 1
8,15:-5, -5, 3, 3, -7, -10
8,15:-5, -5, 3, 3, -7, 1
16,7:-5, 4, -4, -4, 6, -2
16,7:-5, 4, -4, -4, 6, 9
4,19:-5, 4, 11, 11, 1, -2
4,19:-5, 4, 11, 11, 1, 9
18,2:-4, -11, -14, -11, -1, -4
18,2:-4, -11, -14, -11, -1, -3
18,2:-4, -11, -14, -11, -1, 0
18,2:-4, -11, -14, -11, -1, 7
18,2:-4, -11, -11, -1, 0, -7
18,2:-4, -11, -11, -1, 0, -4
18,2:-4, -11, -11, -1, 0, -3
0,1:-4, -6, -13, -17, -17, -10
0,1:-4, -6, -13, -17, -17, -9
0,1:-4, -6, -13, -17, -17, -8
0,1:-4, -6, -13, -17, -17, -7
0,1:-4, -6, -13, -17, -17, -6
0,1:-4, -6, -13, -17, -8, -17
0,1:-4, -6, -13, -17, -8, -16
0,1:-4, -6, -13, -17, -8, -15
0,1:-4, -6, -13, -17, -8, -14
0,1:-4, -6, -13, -17, -8, -13
0,1:-4, -6, -13, -17, -8, -12
9,-12:-4, -6, -13, -2, -1, -16
-8,5:-4, -6, 6, -5, -6, 9
5,-4:-4, -6, 6, 10, -1, 5
5,-4:-4, -6, 6, 10, -1, 6
5,-4:-4, -6, 6, 10, -1, 7
5,-4:-4, -6, 6, 10, -1, 8
5,-4:-4, -6, 6, 10, -1, 9
5,-4:-4, -6, 6, 10, -1, 10
5,-4:-4, -6, 6, 10, 5, -1
5,-4:-4, -6, 6, 10, 5, 0
5,-4:-4, -6, 6, 10, 5, 1
5,-4:-4, -6, 6, 10, 5, 2
5,-4:-4, -6, 6, 10, 5, 3
6,14:-4, 4, 4, -6, -14, -4
6,14:-4, 4, 4, -6, -14, -3
6,14:-4, 4, 4, -6, -14, 0
6,14:-4, 4, 4, -6, 0, -14
6,14:-4, 4, 4, -6, 0, -7
6,14:-4, 4, 4, -6, 0, -4
6,14:-4, 4, 4, -6, 0, -3
14,6:5, -3, -6, -3, 7, 4
14,6:5, -3, -6, -3, 7, 5
14,6:5, -3, -6, -3, 7, 8
14,6:5, -3, -6, -3, 7, 15
14,6:5, -3, -3, 7, 8, 1
14,6:5, -3, -3, 7, 8, 4
14,6:5, -3, -3, 7, 8, 5
-4,5:5, 2, -5, -9, -9, -2
-4,5:5, 2, -5, -9, -9, -1
-4,5:5, 2, -5, -9, -9, 0
-4,5:5, 2, -5, -9, -9, 1
-4,5:5, 2, -5, -9, -9, 2
-4,5:5, 2, -5, -9, 0, -9
-4,5:5, 2, -5, -9, 0, -8
-4,5:5, 2, -5, -9, 0, -7
-4,5:5, 2, -5, -9, 0, -6
-4,5:5, 2, -5, -9, 0, -5
-4,5:5, 2, -5, -9, 0, -4
5,-8:5, 2, -5, 6, 7, -8
-12,9:5, 2, 14, 3, 2, 17
1,0:5, 2, 14, 18, 7, 13
1,0:5, 2, 14, 18, 7, 14
1,0:5, 2, 14, 18, 7, 15
1,0:5, 2, 14, 18, 7, 16
1,0:5, 2, 14, 18, 7, 17
1,0:5, 2, 14, 18, 7, 18
1,0:5, 2, 14, 18, 13, 7
1,0:5, 2, 14, 18, 13, 8
1,0:5, 2, 14, 18, 13, 9
1,0:5, 2, 14, 18, 13, 10
1,0:5, 2, 14, 18, 13, 11
2,18:5, 12, 12, 2, -6, 4
2,18:5, 12, 12, 2, -6, 5
2,18:5, 12, 12, 2, -6, 8
2,18:5, 12, 12, 2, 8, -6
2,18:5, 12, 12, 2, 8, 1
2,18:5, 12, 12, 2, 8, 4
2,18:5, 12, 12, 2, 8, 5
19,4:6, -3, -10, -10, 0, -8
19,4:6, -3, -10, -10, 0, 3
7,16:6, -3, 5, 5, -5, -8
7,16:6, -3, 5, 5, -5, 3
15,8:6, 6, -2, -2, 8, 0
15,8:6, 6, -2, -2, 8, 11
3,20:6, 6, 13, 13, 3, 0
3,20:6, 6, 13, 13, 3, 11
