16,-5:-4, -6, -8, -2, -17
-1,12:-4, -6, 1, -5, 10
-7,0:-4, -6, 1, -5, 13
0,-7:5, 2, 0, 6, -12
12,-1:5, 2, 0, 6, -9
-5,16:5, 2, 9, 3, 18
-11,4:5, 2, 9, 3, 21
6,-10:-5, -5, -7, -9, -3, -21
18,-4:-5, -5, -7, -9, -3, -18
1,13:-5, -5, -7, 0, -6, 9
-5,1:-5, -5, -7, 0, -6, 12
2,-6:-5, 4, 1, -1, 5, -13
14,0:-5, 4, 1, -1, 5, -10
-3,17:-5, 4, 1, 8, 2, 17
-9,5:-5, 4, 1, 8, 2, 20
8,8:-4, -13, -9, -4, -10, -23
8,8:-4, -13, -9, -4, -10, -22
8,8:-4, -13, -9, -4, -10, -21
8,8:-4, -13, -9, -4, -10, -20
8,8:-4, -13, -9, -4, -10, -19
8,8:-4, -13, -9, -4, -10, -18
-2,-1:-4, -13, -8, -19, -20, 1
-2,-1:-4, -13, -8, -19, -20, 2
-2,-1:-4, -13, -8, -19, -20, 3
-2,-1:-4, -13, -8, -19, -20, 4
-2,-1:-4, -13, -8, -19, -20, 5
-2,-1:-4, -13, -8, -19, -20, 6
-2,-1:-4, -13, -8, -19, 1, -20
-2,-1:-4, -13, -8, -19, 1, -13
-2,-1:-4, -13, -8, -19, 1, -10
-2,-1:-4, -13, -8, -19, 1, -9
8,8:-4, -13, -4, -10, -23, -9
2,8:-4, -11, -14, -11, -12, 7
21,0:-4, -11, -13, -12, -3, -17
8,-1:-4, -11, -13, 7, -19, -32
8,-1:-4, -11, -13, 7, -19, -31
8,-1:-4, -11, -13, 7, -19, -30
8,-1:-4, -11, -13, 7, -19, -29
8,-1:-4, -11, -13, 7, -19, -28
8,-1:-4, -11, -13, 7, -19, -27
3,4:-4, -6, -14, 6, 12, 20
3,4:-4, -6, -14, 6, 12, 21
3,4:-4, -6, -14, 6, 12, 22
3,4:-4, -6, -14, 6, 12, 23
3,4:-4, -6, -14, 6, 12, 24
3,4:-4, -6, -14, 6, 12, 25
8,-1:-4, -6, -13, -19, -32, 0
8,-1:-4, -6, -13, -19, -32, 7
3,4:-4, -6, 6, 12, 20, -14
3,4:-4, -6, 6, 12, 20, -7
