-1,-1:-4, -6, -7
8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-5,3:5, 2, -6
-5,3:5, 2, 1
4,3:5, 10, 10
-5,3:5, 12, -6
1,0:-5, -5, -7, -15
1,0:-5, -5, -7, -8
10,0:-5, -5, 1, 1
1,0:-5, -5, 3, -15
-3,4:-5, 4, 1, -7
-3,4:-5, 4, 1, 0
6,4:-5, 4, 9, 9
-3,4:-5, 4, 11, -7
-1,-1:-4, -13, -14, -5
-1,-1:-4, -13, -14, 2
-1,-1:-4, -13, -14, 5
-1,-1:-4, -13, -14, 6
-1,-1:-4, -11, -14, -1
-1,-1:-4, -6, -13, -20
-5,3:5, -5, -6, 3
-5,3:5, -5, -6, 10
-5,3:5, -5, -6, 13
-5,3:5, -5, -6, 14
-5,3:5, -3, -6, 7
-5,3:5, 2, -5, -12
0,1:6, -3, -5, -13
0,1:6, -3, -5, -6
9,1:6, -3, 3, 3
0,1:6, -3, 5, -13
-4,5:6, 6, 3, -5
-4,5:6, 6, 3, 2
5,5:6, 6, 11, 11
-4,5:6, 6, 13, -5
3,1:-5, -6, -6, -8, -16
3,1:-5, -6, -6, -8, -9
12,1:-5, -6, -6, 0, 0
3,1:-5, -6, -6, 2, -16
-1,5:-5, -6, 3, 0, -8
-1,5:-5, -6, 3, 0, -1
8,5:-5, -6, 3, 8, 8
-1,5:-5, -6, 3, 10, -8
1,0:-5, -5, -14, -15, -6
1,0:-5, -5, -14, -15, 1
1,0:-5, -5, -14, -15, 4
1,0:-5, -5, -14, -15, 5
1,0:-5, -5, -12, -15, -2
1,0:-5, -5, -7, -14, -21
-3,4:-5, 4, -6, -7, 2
-3,4:-5, 4, -6, -7, 9
-3,4:-5, 4, -6, -7, 12
-3,4:-5, 4, -6, -7, 13
-3,4:-5, 4, -4, -7, 6
-3,4:-5, 4, 1, -6, -13
2,2:-5, 5, -4, -6, -14
2,2:-5, 5, -4, -6, -7
11,2:-5, 5, -4, 2, 2
2,2:-5, 5, -4, 4, -14
-2,6:-5, 5, 5, 2, -6
-2,6:-5, 5, 5, 2, 1
7,6:-5, 5, 5, 10, 10
-2,6:-5, 5, 5, 12, -6
2,8:-4, -14, 11, 18, 9
2,8:-4, -14, 11, 18, 14
2,8:-4, -14, 11, 18, 15
-2,4:-4, -14, 11, 18, 17
2,8:-4, -14, 11, 18, 20
-1,-1:-4, -13, -14, -4, -11
-1,4:-4, -13, -14, 1, 4
-1,-1:-4, -13, -14, 4, -4
-1,-1:-4, -13, -14, 4, -3
-1,-1:-4, -13, -14, 4, -2
-1,-1:-4, -13, -14, 4, -1
-1,-1:-4, -13, -14, 4, 0
-1,-1:-4, -13, -14, 4, 1
-1,-1:-4, -13, -13, -12, -6
-1,2:-4, -13, -13, -10, -7
-1,-1:-4, -13, -13, 4, -9
10,3:-4, -13, -9, -4, 2
10,3:-4, -13, -4, 2, 2
-1,-1:-4, -11, -14, 2, -8
-1,-1:-4, -11, -14, 2, -7
-1,-1:-4, -11, -14, 2, -6
-1,-1:-4, -11, -14, 2, -5
-1,-1:-4, -11, -14, 2, -4
-1,-1:-4, -11, -14, 2, -3
-1,-1:-4, -11, -14, 3, -2
-1,-1:-4, -11, -14, 3, 0
-1,-1:-4, -11, -14, 4, -8
-1,-1:-4, -11, -13, -16, -4
-1,-1:-4, -11, -13, -16, 7
-1,-1:-4, -11, -13, -12, -8
10,-6:-4, -11, -13, 7, -7
11,1:-4, -11, -5, -6, -1
-1,-1:-4, -11, 2, -10, -3
-1,-1:-4, -11, 3, -9, 2
-1,-1:-4, -11, 3, -9, 3
-1,-1:-4, -11, 3, -9, 4
-1,-1:-4, -11, 3, -9, 5
-1,-1:-4, -11, 3, -9, 6
-1,-1:-4, -11, 3, -9, 7
-1,-1:-4, -11, 3, 3, -9
-1,6:-4, -6, -14, 6, 1
-1,-1:-4, -6, -13, -12, -6
-1,-1:-4, -6, -13, -11, -14
-1,-1:-4, -6, -13, -11, -13
-1,-1:-4, -6, -13, -11, -12
-1,-1:-4, -6, -13, -11, -11
-1,-1:-4, -6, -13, -11, -10
-1,-1:-4, -6, -13, -11, -9
-1,-1:-4, -6, -13, -10, -8
-1,-1:-4, -6, -13, -10, -6
-1,-1:-4, -6, -13, -7, -20
-1,-1:-4, -6, -13, -7, -19
-1,-1:-4, -6, -13, -7, -16
-1,-1:-4, -6, -13, -7, -9
10,-6:-4, -6, -13, -7, -4
10,-6:-4, -6, -13, -7, -3
10,-6:-4, -6, -13, -7, 0
10,-6:-4, -6, -13, -7, 7
-5,1:-4, -6, 1, -7, 1
-5,1:-4, -6, 1, -7, 8
-5,1:-4, -6, 1, -7, 11
-5,1:-4, -6, 1, -7, 12
-5,1:-4, -6, 1, -5, 7
-5,1:-4, -6, 1, 2, 6
-5,1:-4, -6, 1, 2, 9
-5,1:-4, -6, 1, 8, -7
-5,1:-4, -6, 1, 8, -6
-5,1:-4, -6, 1, 8, -3
-5,1:-4, -6, 1, 8, 4
5,2:-4, -6, 1, 8, 6
5,2:-4, -6, 1, 8, 13
-5,1:-4, -6, 1, 10, -7
-5,1:-4, -6, 1, 10, -5
-5,1:-4, -6, 1, 10, 2
-5,1:-4, -6, 1, 10, 3
-2,7:-4, -6, 6, 6, -3
-2,-4:-4, -6, 6, 6, 13
8,6:-4, 2, -3, -8, -9
