1,10:5, 12, 9, 2, 5, -2, 6
7,7:-5, -5, 3, 0, -7, -4, -11, -3
3,11:-5, 4, 11, 8, 1, 4, -3, 5
2,-1:-4, -6, 6, 6, 12, -1, -1, 9
2,-1:-4, -6, 6, 6, 12, -1, -1, 16
2,-1:-4, -6, 6, 6, 12, -1, -1, 19
2,-1:-4, -6, 6, 6, 12, -1, -1, 20
2,-1:-4, -6, 6, 6, 12, -1, 9, -1
21,8:-4, 4, 6, 6, 3, 9, -3, -2
-2,3:5, 2, 14, 14, 20, 7, 7, 17
-2,3:5, 2, 14, 14, 20, 7, 7, 24
-2,3:5, 2, 14, 14, 20, 7, 7, 27
-2,3:5, 2, 14, 14, 20, 7, 7, 28
-2,3:5, 2, 14, 14, 20, 7, 17, 7
17,12:5, 12, 14, 14, 11, 17, 5, 6
6,8:6, -3, 5, 2, -5, -2, -9, -1
2,12:6, 6, 13, 10, 3, 6, -1, 7
