1,4:-4, -14, -12, 11, 19, 5, -1, 22
1,4:-4, -14, -12, 11, 19, 5, 15, -1
14,5:-4, -13, -13, -7, 1, -10, 10, -18
14,5:-4, -13, -13, -7, 1, -10, 10, -17
14,5:-4, -13, -13, -7, 1, -10, 10, -16
14,5:-4, -13, -13, -7, 1, -10, 10, -15
14,5:-4, -13, -13, -7, 1, -10, 10, -14
-4,-12:-4, -11, -8, -16, -10, 7, -12, -12
-4,-12:-4, -11, -8, -16, -10, 7, -12, -9
11,8:-4, 2, 6, 0, -8, -1, -17, 7
11,8:-4, 2, 6, 0, -8, -1, -17, 8
11,8:-4, 2, 6, 0, -8, -1, -17, 9
11,8:-4, 2, 6, 0, -8, -1, -17, 10
11,8:-4, 2, 6, 0, -8, -1, -17, 11
-6,-10:-4, 4, 1, -14, 9, 3, 5, 2
-6,-10:-4, 4, 1, -14, 9, 3, 5, 5
10,-5:-4, 7, -18, -26, -29, -12, 5, -6
10,-5:-4, 7, -18, -26, -12, 5, -6, -29
10,-5:-4, 7, -18, -26, -12, 5, -6, -22
-3,8:5, -6, -4, 19, 27, 13, 7, 23
-3,8:5, -6, -4, 19, 27, 13, 7, 30
-3,8:5, -6, -4, 19, 27, 13, 23, 7
10,9:5, -5, -5, 1, 9, -2, 18, -10
10,9:5, -5, -5, 1, 9, -2, 18, -9
10,9:5, -5, -5, 1, 9, -2, 18, -8
10,9:5, -5, -5, 1, 9, -2, 18, -7
10,9:5, -5, -5, 1, 9, -2, 18, -6
-8,-8:5, -3, 0, -8, -2, 15, -4, -4
-8,-8:5, -3, 0, -8, -2, 15, -4, -1
7,12:5, 10, 14, 8, 0, 7, -9, 15
7,12:5, 10, 14, 8, 0, 7, -9, 16
7,12:5, 10, 14, 8, 0, 7, -9, 17
7,12:5, 10, 14, 8, 0, 7, -9, 18
7,12:5, 10, 14, 8, 0, 7, -9, 19
-10,-6:5, 12, 9, -6, 17, 11, 13, 10
-10,-6:5, 12, 9, -6, 17, 11, 13, 13
6,-1:5, 15, -10, -18, -21, -4, 13, 2
6,-1:5, 15, -10, -18, -4, 13, 2, -21
6,-1:5, 15, -10, -18, -4, 13, 2, -14
