-1,-2:-4, -13, 4, -6, -13, -7, 7
3,-6:-4, -11, 2, -1, 6, 0, -14
1,5:-4, 2, 6, 5, 12, 2, -6
6,0:5, -5, -5, -4, -11, -1, 7
-5,2:5, -5, 12, 2, -5, 1, 15
-1,-2:5, -3, 10, 7, 14, 8, -6
-3,9:5, 10, 14, 13, 20, 10, 2
12,-3:-5, -5, -14, -14, -13, -20, -10, -2
1,-1:-5, -5, -14, 3, -7, -14, -8, 6
5,-5:-5, -5, -12, 1, -2, 5, -1, -15
3,6:-5, -5, 1, 5, 4, 11, 1, -7
8,1:-5, 4, -6, -6, -5, -12, -2, 6
-3,3:-5, 4, -6, 11, 1, -6, 0, 14
1,-1:-5, 4, -4, 9, 6, 13, 7, -7
-1,10:-5, 4, 9, 13, 12, 19, 9, 1
0,-1:-4, -13, -14, 1, 7, 7, -11, 3
-1,-2:-4, -13, 4, -6, -13, -7, -1, 7
9,5:-4, -11, -14, 4, -6, -8, -2, 4
9,5:-4, -11, -14, 4, -6, -8, -2, 5
9,5:-4, -11, -14, 4, -6, -8, -2, 6
1,6:-4, -11, -5, -6, -5, -5, -5, -15
3,-6:-4, -11, 2, -1, 6, 0, -6, -14
4,-5:-4, 2, 0, -8, -14, -14, 4, -10
11,-4:-4, 4, -2, -12, -2, -2, -2, 8
10,4:-4, 4, 7, -11, -1, 0, -5, -13
10,4:-4, 4, 7, -11, -1, 0, -5, -12
10,4:-4, 4, 7, -11, -1, 0, -5, -11
-4,3:5, -5, -6, 9, 15, 15, -3, 11
-5,2:5, -5, 12, 2, -5, 1, 7, 15
5,9:5, -3, -6, 12, 2, 0, 6, 12
5,9:5, -3, -6, 12, 2, 0, 6, 13
5,9:5, -3, -6, 12, 2, 0, 6, 14
-3,10:5, -3, 3, 2, 3, 3, 3, -7
-1,-2:5, -3, 10, 7, 14, 8, 2, -6
0,-1:5, 10, 8, 0, -6, -6, 12, -2
7,0:5, 12, 6, -4, 6, 6, 6, 16
6,8:5, 12, 15, -3, 7, 8, 3, -5
6,8:5, 12, 15, -3, 7, 8, 3, -4
6,8:5, 12, 15, -3, 7, 8, 3, -3
11,-2:6, -3, -12, -12, -11, -18, -8, 0
0,0:6, -3, -12, 5, -5, -12, -6, 8
4,-4:6, -3, -10, 3, 0, 7, 1, -13
2,7:6, -3, 3, 7, 6, 13, 3, -5
7,2:6, 6, -4, -4, -3, -10, 0, 8
-4,4:6, 6, -4, 13, 3, -4, 2, 16
0,0:6, 6, -2, 11, 8, 15, 9, -5
-2,11:6, 6, 11, 15, 14, 21, 11, 3
