11,2:-4, 2, 1, -16, 10, 0, -4
3,10:5, -5, 0, -9, 1, 17, 5
7,6:5, 10, 9, -8, 18, 8, 4
9,7:-5, -5, -14, -9, -18, -8, 8, -4
13,3:-5, -5, 1, 0, -17, 9, -1, -5
5,11:-5, 4, -6, -1, -10, 0, 16, 4
9,7:-5, 4, 9, 8, -9, 17, 7, 3
7,6:-4, -13, -8, -17, -4, -7, 9, -3
7,6:-4, -13, -8, -17, 9, -2, -7, -3
8,3:-4, -11, -13, -14, -10, -12, -16, 7
13,-2:-4, -11, -13, -14, -10, -12, -6, -4
13,-2:-4, -11, -13, -14, -10, -12, -6, -3
13,-2:-4, -11, -13, -14, -10, -12, -6, 0
13,-2:-4, -11, -13, -14, -10, -12, -6, 7
8,3:-4, -11, -13, -14, -10, -12, 7, -16
8,3:-4, -11, -13, -14, -10, -12, 7, -11
13,-2:-4, -11, -13, -14, -10, -12, 7, -6
13,-2:-4, -11, -13, -14, -10, -12, 7, -1
11,2:-4, 2, 1, -16, -5, 10, 0, -4
11,2:-4, 2, 1, -16, -3, 10, 0, -4
3,8:-4, 4, 6, 6, 3, 5, -14, -6
3,8:-4, 4, 6, 6, 3, 5, -14, -1
8,3:-4, 4, 6, 6, 3, 5, -14, 4
8,3:-4, 4, 6, 6, 3, 5, -14, 9
3,8:-4, 4, 6, 6, 3, 5, -6, -14
3,8:-4, 4, 6, 6, 3, 5, -6, -7
3,8:-4, 4, 6, 6, 3, 5, -6, -4
3,8:-4, 4, 6, 6, 3, 5, -6, -3
8,3:-4, 4, 6, 6, 3, 5, 4, -14
3,10:5, -5, 0, -9, 4, 1, 17, 5
3,10:5, -5, 0, -9, 17, 6, 1, 5
4,7:5, -3, -5, -6, -2, -4, -8, 15
9,2:5, -3, -5, -6, -2, -4, 2, 4
9,2:5, -3, -5, -6, -2, -4, 2, 5
9,2:5, -3, -5, -6, -2, -4, 2, 8
9,2:5, -3, -5, -6, -2, -4, 2, 15
4,7:5, -3, -5, -6, -2, -4, 15, -8
4,7:5, -3, -5, -6, -2, -4, 15, -3
9,2:5, -3, -5, -6, -2, -4, 15, 2
9,2:5, -3, -5, -6, -2, -4, 15, 7
7,6:5, 10, 9, -8, 3, 18, 8, 4
7,6:5, 10, 9, -8, 5, 18, 8, 4
-1,12:5, 12, 14, 14, 11, 13, -6, 2
-1,12:5, 12, 14, 14, 11, 13, -6, 7
4,7:5, 12, 14, 14, 11, 13, -6, 12
4,7:5, 12, 14, 14, 11, 13, -6, 17
-1,12:5, 12, 14, 14, 11, 13, 2, -6
-1,12:5, 12, 14, 14, 11, 13, 2, 1
-1,12:5, 12, 14, 14, 11, 13, 2, 4
-1,12:5, 12, 14, 14, 11, 13, 2, 5
4,7:5, 12, 14, 14, 11, 13, 12, -6
8,8:6, -3, -12, -7, -16, -6, 10, -2
12,4:6, -3, 3, 2, -15, 11, 1, -3
4,12:6, 6, -4, 1, -8, 2, 18, 6
8,8:6, 6, 11, 10, -7, 19, 9, 5
