7,4:5, -3, 0, 7, 4, 11, 3
13,1:-5, -5, -12, -9, -2, -5, 2, -6
9,5:-5, 4, -4, -1, 6, 3, 10, 2
13,16:-4, -11, -13, -14, -10, -16, -4, -5
4,-3:-4, -6, -13, -14, -19, -27, -6, -6
4,-3:-4, -6, -13, -14, -19, -6, -6, -27
4,-3:-4, -6, -13, -14, -19, -6, -6, -26
4,-3:-4, -6, -13, -14, -19, -6, -6, -23
4,-3:-4, -6, -13, -14, -19, -6, -6, -16
9,20:5, -3, -5, -6, -2, -8, 4, 3
0,1:5, 2, -5, -6, -11, -19, 2, 2
0,1:5, 2, -5, -6, -11, 2, 2, -19
0,1:5, 2, -5, -6, -11, 2, 2, -18
0,1:5, 2, -5, -6, -11, 2, 2, -15
0,1:5, 2, -5, -6, -11, 2, 2, -8
12,2:6, -3, -10, -7, 0, -3, 4, -4
8,6:6, 6, -2, 1, 8, 5, 12, 4
