1,-4:-4, -13, 4, -7, -12, 8, 13
0,-4:-4, -11, -8, -11, -19, -6, -8
0,-3:-4, -11, 2, 0, 5, -15, -20
11,-11:-4, -6, -13, -17, -17, -12, -16
-7,7:-4, -6, 6, 10, 5, 5, 9
-1,12:-4, 2, 1, -13, 7, -11, 0
0,-4:-4, 4, 1, -6, 12, -1, 1
12,-1:5, -5, 0, -6, 10, 12, 1
-3,0:5, -5, 12, 1, -4, 16, 21
-4,0:5, -3, 0, -3, -11, 2, 0
-4,1:5, -3, 10, 8, 13, -7, -12
7,-7:5, 2, -5, -9, -9, -4, -8
-11,11:5, 2, 14, 18, 13, 13, 17
-5,16:5, 10, 9, -5, 15, -3, 8
-4,0:5, 12, 9, 2, 20, 7, 9
18,-4:-5, -5, -14, -9, -15, 1, 3, -8
3,-3:-5, -5, -14, 3, -8, -13, 7, 12
2,-3:-5, -5, -12, -9, -12, -20, -7, -9
2,-2:-5, -5, -12, 1, -1, 4, -16, -21
13,-10:-5, -5, -7, -14, -18, -18, -13, -17
-5,8:-5, -5, -7, 5, 9, 4, 4, 8
1,13:-5, -5, 1, 0, -14, 6, -12, -1
2,-3:-5, -5, 3, 0, -7, 11, -2, 0
14,0:-5, 4, -6, -1, -7, 9, 11, 0
-1,1:-5, 4, -6, 11, 0, -5, 15, 20
-2,1:-5, 4, -4, -1, -4, -12, 1, -1
-2,2:-5, 4, -4, 9, 7, 12, -8, -13
9,-6:-5, 4, 1, -6, -10, -10, -5, -9
-9,12:-5, 4, 1, 13, 17, 12, 12, 16
-3,17:-5, 4, 9, 8, -6, 14, -4, 7
-2,1:-5, 4, 11, 8, 1, 19, 6, 8
-2,7:-4, -13, -14, -4, 2, 6, 5, -8
-1,-5:-4, -13, -13, -10, -17, 7, -16, -21
16,-5:-4, -13, -8, -14, 2, 4, -10, -14
16,-5:-4, -13, -8, -14, 2, 4, -10, -13
16,-5:-4, -13, -8, -14, 2, 4, -10, -12
16,-5:-4, -13, -8, -14, 2, 4, -8, -10
16,-5:-4, -13, -8, -14, 2, 4, -8, -7
-2,7:-4, -13, -4, 2, 6, 5, -8, -14
-2,7:-4, -13, -4, 2, 6, 5, -8, -7
-2,7:-4, -13, -4, 2, 6, 5, -8, -4
-2,7:-4, -13, -4, 2, 6, 5, -8, -3
1,-4:-4, -13, 4, -7, -12, 8, 7, 18
1,-4:-4, -13, 4, -7, -12, 8, 7, 19
1,-4:-4, -13, 4, -7, -12, 8, 7, 20
1,-4:-4, -13, 4, -7, -12, 8, 7, 21
1,-4:-4, -13, 4, -7, -12, 8, 7, 22
1,-4:-4, -13, 4, -7, -12, 8, 7, 23
1,-4:-4, -13, 4, -7, -12, 8, 18, 7
1,-4:-4, -13, 4, -7, -12, 8, 18, 8
1,-4:-4, -13, 4, -7, -12, 8, 18, 9
1,-4:-4, -13, 4, -7, -12, 8, 18, 10
1,-4:-4, -13, 4, -7, -12, 8, 18, 11
1,-4:-4, -13, 4, -7, -12, 8, 18, 12
6,-2:-4, -11, -14, 4, -10, -9, 1, 2
0,-3:-4, -11, 2, 0, 5, -15, -30, -19
0,-3:-4, -11, 2, 0, 5, -15, -30, -18
0,-3:-4, -11, 2, 0, 5, -15, -30, -17
0,-3:-4, -11, 2, 0, 5, -15, -30, -16
0,-3:-4, -11, 2, 0, 5, -15, -30, -15
0,-3:-4, -11, 2, 0, 5, -15, -30, -14
0,-3:-4, -11, 2, 0, 5, -15, -19, -30
0,-3:-4, -11, 2, 0, 5, -15, -19, -29
0,-3:-4, -11, 2, 0, 5, -15, -19, -28
0,-3:-4, -11, 2, 0, 5, -15, -19, -27
0,-3:-4, -11, 2, 0, 5, -15, -19, -26
0,-3:-4, -11, 2, 0, 5, -15, -19, -25
11,-6:-4, 2, -3, -9, -13, -12, 1, -4
11,-6:-4, 2, -3, -9, -13, -12, 1, -3
11,-6:-4, 2, -3, -9, -13, -12, 1, 0
11,-6:-4, 2, -3, -9, -13, -12, 1, 7
11,-6:-4, 2, -3, -9, -13, -12, 7, 1
-1,12:-4, 2, 1, -13, 7, -11, 1, 0
-1,12:-4, 2, 1, -13, 7, -11, 1, 3
-1,12:-4, 2, 1, -13, 7, -11, 3, 5
-1,12:-4, 2, 1, -13, 7, -11, 3, 6
-1,12:-4, 2, 1, -13, 7, -11, 3, 7
-1,-5:-4, 2, 6, 3, 10, -14, 9, 14
2,2:-4, 4, 7, -11, -11, 3, 2, -9
-6,11:5, -5, -6, 4, 10, 14, 13, 0
-5,-1:5, -5, -5, -2, -9, 15, -8, -13
12,-1:5, -5, 0, -6, 10, 12, -2, -6
12,-1:5, -5, 0, -6, 10, 12, -2, -5
12,-1:5, -5, 0, -6, 10, 12, -2, -4
12,-1:5, -5, 0, -6, 10, 12, 0, -2
12,-1:5, -5, 0, -6, 10, 12, 0, 1
-6,11:5, -5, 4, 10, 14, 13, 0, -6
-6,11:5, -5, 4, 10, 14, 13, 0, 1
-6,11:5, -5, 4, 10, 14, 13, 0, 4
-6,11:5, -5, 4, 10, 14, 13, 0, 5
-3,0:5, -5, 12, 1, -4, 16, 15, 26
-3,0:5, -5, 12, 1, -4, 16, 15, 27
-3,0:5, -5, 12, 1, -4, 16, 15, 28
-3,0:5, -5, 12, 1, -4, 16, 15, 29
-3,0:5, -5, 12, 1, -4, 16, 15, 30
-3,0:5, -5, 12, 1, -4, 16, 15, 31
-3,0:5, -5, 12, 1, -4, 16, 26, 15
-3,0:5, -5, 12, 1, -4, 16, 26, 16
-3,0:5, -5, 12, 1, -4, 16, 26, 17
-3,0:5, -5, 12, 1, -4, 16, 26, 18
-3,0:5, -5, 12, 1, -4, 16, 26, 19
-3,0:5, -5, 12, 1, -4, 16, 26, 20
2,2:5, -3, -6, 12, -2, -1, 9, 10
-4,1:5, -3, 10, 8, 13, -7, -22, -11
-4,1:5, -3, 10, 8, 13, -7, -22, -10
-4,1:5, -3, 10, 8, 13, -7, -22, -9
-4,1:5, -3, 10, 8, 13, -7, -22, -8
-4,1:5, -3, 10, 8, 13, -7, -22, -7
-4,1:5, -3, 10, 8, 13, -7, -22, -6
-4,1:5, -3, 10, 8, 13, -7, -11, -22
-4,1:5, -3, 10, 8, 13, -7, -11, -21
-4,1:5, -3, 10, 8, 13, -7, -11, -20
-4,1:5, -3, 10, 8, 13, -7, -11, -19
-4,1:5, -3, 10, 8, 13, -7, -11, -18
-4,1:5, -3, 10, 8, 13, -7, -11, -17
7,-2:5, 10, 5, -1, -5, -4, 9, 4
7,-2:5, 10, 5, -1, -5, -4, 9, 5
7,-2:5, 10, 5, -1, -5, -4, 9, 8
7,-2:5, 10, 5, -1, -5, -4, 9, 15
7,-2:5, 10, 5, -1, -5, -4, 15, 9
-5,16:5, 10, 9, -5, 15, -3, 9, 8
-5,16:5, 10, 9, -5, 15, -3, 9, 11
-5,16:5, 10, 9, -5, 15, -3, 11, 13
-5,16:5, 10, 9, -5, 15, -3, 11, 14
-5,16:5, 10, 9, -5, 15, -3, 11, 15
-5,-1:5, 10, 14, 11, 18, -6, 17, 22
-2,6:5, 12, 15, -3, -3, 11, 10, -1
17,-3:6, -3, -12, -7, -13, 3, 5, -6
2,-2:6, -3, -12, 5, -6, -11, 9, 14
1,-2:6, -3, -10, -7, -10, -18, -5, -7
1,-1:6, -3, -10, 3, 1, 6, -14, -19
12,-9:6, -3, -5, -12, -16, -16, -11, -15
-6,9:6, -3, -5, 7, 11, 6, 6, 10
0,14:6, -3, 3, 2, -12, 8, -10, 1
1,-2:6, -3, 5, 2, -5, 13, 0, 2
13,1:6, 6, -4, 1, -5, 11, 13, 2
-2,2:6, 6, -4, 13, 2, -3, 17, 22
-3,2:6, 6, -2, 1, -2, -10, 3, 1
-3,3:6, 6, -2, 11, 9, 14, -6, -11
8,-5:6, 6, 3, -4, -8, -8, -3, -7
-10,13:6, 6, 3, 15, 19, 14, 14, 18
-4,18:6, 6, 11, 10, -4, 16, -2, 9
-3,2:6, 6, 13, 10, 3, 21, 8, 10
