4,-6:-4, -11, 7
4,-6:-4, -6, 0
4,-6:-4, -6, 7
0,7:5, -5, -1
0,-2:5, -3, 15
0,-2:5, 2, 8
0,-2:5, 2, 15
6,4:-5, -5, -14, -10
6,-5:-5, -5, -12, 6
6,-5:-5, -5, -7, -1
6,-5:-5, -5, -7, 6
2,8:-5, 4, -6, -2
2,-1:-5, 4, -4, 14
2,-1:-5, 4, 1, 7
2,-1:-5, 4, 1, 14
4,-6:-4, -6, 6, 13
4,-6:-4, 2, 0, -13
4,-6:-4, 2, 0, -12
4,-6:-4, 2, 0, -9
4,-6:-4, 2, 0, -2
4,-6:-4, 4, 7, -6
0,-2:5, 2, 14, 21
0,-2:5, 10, 8, -5
0,-2:5, 10, 8, -4
0,-2:5, 10, 8, -1
0,-2:5, 10, 8, 6
0,-2:5, 12, 15, 2
5,5:6, -3, -12, -8
5,-4:6, -3, -10, 8
5,-4:6, -3, -5, 1
5,-4:6, -3, -5, 8
1,9:6, 6, -4, 0
1,0:6, 6, -2, 16
1,0:6, 6, 3, 9
1,0:6, 6, 3, 16
