-1,-1:-4, -6, -7
8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-5,3:5, 2, -6
-5,3:5, 2, 1
4,3:5, 10, 10
-5,3:5, 12, -6
1,0:-5, -5, -7, -15
1,0:-5, -5, -7, -8
10,0:-5, -5, 1, 1
1,0:-5, -5, 3, -15
-3,4:-5, 4, 1, -7
-3,4:-5, 4, 1, 0
6,4:-5, 4, 9, 9
-3,4:-5, 4, 11, -7
-1,-1:-4, -13, -14, -5
-1,-1:-4, -13, -14, 2
-1,-1:-4, -13, -14, 5
-1,-1:-4, -13, -14, 6
-1,-1:-4, -11, -14, -1
-1,-1:-4, -6, -13, -20
-5,3:5, -5, -6, 3
-5,3:5, -5, -6, 10
-5,3:5, -5, -6, 13
-5,3:5, -5, -6, 14
-5,3:5, -3, -6, 7
-5,3:5, 2, -5, -12
0,1:6, -3, -5, -13
0,1:6, -3, -5, -6
9,1:6, -3, 3, 3
0,1:6, -3, 5, -13
-4,5:6, 6, 3, -5
-4,5:6, 6, 3, 2
5,5:6, 6, 11, 11
-4,5:6, 6, 13, -5
