-5,0:-4, -6, -13, 6, -8, -22
-5,0:-4, -6, -13, 6, -8, -17
-5,0:-4, -6, -13, 6, -8, -16
-5,0:-4, -6, -13, 6, -8, -11
4,0:-4, 2, 1, -5, 2, -2
1,-3:-4, 2, 1, 7, 11, -8
1,-3:-4, 2, 1, 7, 13, -8
5,3:-4, 2, 2, -3, -14, -9
2,-6:-4, 4, 1, 8, 1, 4
-8,-3:-4, 4, 4, -7, -13, -2
-8,7:5, 2, -6, 14, 3, 8
-9,4:5, 2, -5, 14, 0, -14
-9,4:5, 2, -5, 14, 0, -9
-9,4:5, 2, -5, 14, 0, -8
-9,4:5, 2, -5, 14, 0, -3
0,4:5, 10, 9, 3, 10, 6
-3,1:5, 10, 9, 15, 19, 0
-3,1:5, 10, 9, 15, 21, 0
1,7:5, 10, 10, 5, -6, -1
-2,-2:5, 12, 9, 16, 9, 12
-12,1:5, 12, 12, 1, -5, 6
-2,4:-5, -5, -7, -15, 5, -6, -1
-3,1:-5, -5, -7, -14, 5, -9, -23
-3,1:-5, -5, -7, -14, 5, -9, -18
-3,1:-5, -5, -7, -14, 5, -9, -17
-3,1:-5, -5, -7, -14, 5, -9, -12
6,1:-5, -5, 1, 0, -6, 1, -3
3,-2:-5, -5, 1, 0, 6, 10, -9
3,-2:-5, -5, 1, 0, 6, 12, -9
7,4:-5, -5, 1, 1, -4, -15, -10
4,-5:-5, -5, 3, 0, 7, 0, 3
-6,-2:-5, -5, 3, 3, -8, -14, -3
-6,8:-5, 4, 1, -7, 13, 2, 7
-7,5:-5, 4, 1, -6, 13, -1, -15
-7,5:-5, 4, 1, -6, 13, -1, -10
-7,5:-5, 4, 1, -6, 13, -1, -9
-7,5:-5, 4, 1, -6, 13, -1, -4
2,5:-5, 4, 9, 8, 2, 9, 5
-1,2:-5, 4, 9, 8, 14, 18, -1
-1,2:-5, 4, 9, 8, 14, 20, -1
3,8:-5, 4, 9, 9, 4, -7, -2
0,-1:-5, 4, 11, 8, 15, 8, 11
-10,2:-5, 4, 11, 11, 0, -6, 5
1,9:-4, -13, -13, -14, -8, -24, -18
1,9:-4, -13, -13, -14, -8, -24, -11
1,9:-4, -13, -13, -14, -8, -24, -8
1,9:-4, -13, -13, -14, -8, -24, -7
1,9:-4, -13, -13, -14, -8, -18, -24
1,9:-4, -13, -13, -14, -8, -18, -22
1,9:-4, -13, -13, -14, -8, -18, -21
9,-4:-4, -13, -13, -7, -4, -21, -8
6,-5:-4, -13, -13, -7, -4, -21, 0
6,-5:-4, -13, -13, -7, -4, -21, 7
0,7:-4, -13, -13, -7, -3, -16, 3
0,7:-4, -13, -13, -7, -3, -16, 6
0,7:-4, -13, -13, -7, -3, 3, -16
0,7:-4, -13, -13, -7, -3, 3, -15
0,7:-4, -13, -13, -7, -3, 3, -14
0,7:-4, -13, -13, -7, -3, 3, -13
0,7:-4, -13, -13, -7, -3, 3, -12
0,7:-4, -13, -13, -7, -3, 3, -11
4,2:-4, -13, -9, -4, -5, -10, -18
4,2:-4, -13, -9, -4, -5, -10, -17
4,2:-4, -13, -9, -4, -5, -10, -14
4,2:-4, -13, -9, -4, -5, -10, -7
9,-9:-4, -13, -8, -14, -5, -4, -13
9,-9:-4, -13, -8, -14, -5, -4, -12
9,-9:-4, -13, -8, -14, -5, -4, -11
9,-9:-4, -13, -8, -14, -5, -4, -10
9,-9:-4, -13, -8, -14, -5, -4, -9
9,-9:-4, -13, -8, -14, -5, -4, -8
16,2:-4, -13, -8, -2, -14, -8, -20
5,-11:-4, -13, -8, -2, -14, -8, -18
5,-11:-4, -13, -8, -2, -14, -8, -16
5,-11:-4, -13, -8, -2, -14, -8, -13
0,12:-4, -13, -8, 8, -11, 7, -21
0,12:-4, -13, -8, 8, -11, 7, -19
0,12:-4, -13, -8, 8, -11, 7, -16
7,-10:-4, -13, -8, 8, -11, 7, 8
7,-10:-4, -13, -8, 8, -11, 7, 10
7,-10:-4, -13, -8, 8, -11, 7, 13
5,-1:-4, -11, -14, 3, 10, 3, 2
4,-7:-4, -11, -13, -14, -19, -27, 7
4,-7:-4, -11, -13, -14, -19, 7, -27
4,-7:-4, -11, -13, -14, -19, 7, -26
4,-7:-4, -11, -13, -14, -19, 7, -23
4,-7:-4, -11, -13, -14, -19, 7, -16
4,-4:-4, -11, -13, -11, -13, -5, -4
2,-5:-4, -11, -13, -5, -11, -6, 5
6,18:-4, -11, -5, 1, 3, -9, 8
15,7:-4, -11, 3, 10, 2, 8, -5
-1,4:-4, -6, -14, 6, -5, 0, 10
0,1:-4, -6, -14, 6, 5, 5, 1
4,-7:-4, -6, -13, -14, -19, -27, -3
4,-7:-4, -6, -13, -14, -19, -27, 0
4,-7:-4, -6, -13, -14, -19, -27, 7
-2,1:-4, -6, -13, 6, -8, -22, 8
-5,0:-4, -6, -13, 6, -8, -18, -18
-5,0:-4, -6, -13, 6, -8, -18, -17
-5,0:-4, -6, -13, 6, -8, -18, -16
-5,0:-4, -6, -13, 6, -8, -18, -15
-5,0:-4, -6, -13, 6, -8, -18, -14
-5,0:-4, -6, -13, 6, -8, -18, -13
-5,0:-4, -6, -13, 6, -8, -15, -20
-5,0:-4, -6, -13, 6, -8, -15, -19
-5,0:-4, -6, -13, 6, -8, -15, -18
-5,0:-4, -6, -13, 6, -8, -15, -17
-5,0:-4, -6, -13, 6, -8, -15, -16
-5,0:-4, -6, -13, 6, -8, -15, -15
-2,1:-4, -6, -13, 6, -8, 8, -22
-2,1:-4, -6, -13, 6, -8, 8, -17
-2,1:-4, -6, -13, 6, -8, 8, -16
-2,1:-4, -6, -13, 6, -8, 8, -11
6,-1:-4, -6, -8, -17, -20, -11, -27
6,-1:-4, -6, -8, -17, -20, -11, -26
6,-1:-4, -6, -8, -17, -20, -11, -25
6,-1:-4, -6, -8, -17, -20, -11, -24
6,-1:-4, -6, -8, -17, -20, -11, -23
6,-1:-4, -6, -8, -17, -20, -11, -22
1,-2:-4, -6, -8, -17, -3, -5, -7
4,-6:-4, -6, -8, -16, -8, -40, 2
4,-6:-4, -6, -8, -16, -8, 2, -40
4,-6:-4, -6, -8, -16, -8, 2, -39
4,-6:-4, -6, -8, -16, -8, 2, -38
4,-6:-4, -6, -8, -16, -8, 2, -37
4,-6:-4, -6, -8, -16, -8, 2, -36
4,-6:-4, -6, -8, -16, -8, 2, -35
6,1:-4, -6, -8, -11, -14, -10, -16
4,1:-4, -6, 1, -8, -9, -12, 1
0,0:-4, -6, 1, -8, -9, -4, -4
9,12:-4, -6, 1, -8, 12, -15, 3
10,-15:-4, -6, 6, -8, -12, 6, -4
0,1:-4, -6, 6, 5, 5, 1, -14
0,1:-4, -6, 6, 5, 5, 1, -7
0,1:-4, -6, 6, 5, 5, 1, -4
5,3:-4, 2, -3, -14, -9, -14, 7
8,4:-4, 2, -3, -14, -9, 1, -9
5,3:-4, 2, -3, -14, -9, 7, -14
5,3:-4, 2, -3, -14, -9, 7, -7
9,1:-4, 2, -3, -4, -4, -8, 2
14,-18:-4, 2, 0, -8, 4, -23, -23
14,-18:-4, 2, 0, -8, 4, -23, -22
14,-18:-4, 2, 0, -8, 4, -23, -21
14,-18:-4, 2, 0, -8, 4, -23, -20
14,-18:-4, 2, 0, -8, 4, -23, -19
4,0:-4, 2, 1, -5, -4, 2, -2
7,1:-4, 2, 1, -5, 2, -2, -1
-6,1:-4, 2, 1, 2, 1, 13, 6
4,-2:-4, 2, 1, 7, 11, -8, -1
8,4:-4, 2, 2, -3, -14, -9, 1
9,1:-4, 2, 2, -3, -4, -4, -8
0,-3:-4, 2, 6, -8, -16, 9, 4
1,7:-4, 2, 6, -8, -9, 1, -8
1,7:-4, 2, 6, -8, -9, 1, -7
1,7:-4, 2, 6, -8, -9, 1, -6
1,7:-4, 2, 6, -8, -9, 1, -5
1,7:-4, 2, 6, -8, -9, 1, -4
1,7:-4, 2, 6, -8, -9, 1, -3
3,-7:-4, 2, 6, -8, 6, -2, -14
3,-7:-4, 2, 6, -8, 6, -2, -13
3,-7:-4, 2, 6, -8, 6, -2, -12
3,-7:-4, 2, 6, -8, 6, -2, -11
3,-7:-4, 2, 6, -8, 6, -2, -10
3,-7:-4, 2, 6, -8, 6, -2, -9
0,-3:-4, 2, 6, -8, 9, 4, -16
0,-3:-4, 2, 6, -8, 9, 4, -15
0,-3:-4, 2, 6, -8, 9, 4, -12
0,-3:-4, 2, 6, -8, 9, 4, -5
9,0:-4, 2, 6, 0, 3, 2, 8
-6,-1:-4, 4, -2, -12, -5, -3, -1
-6,-1:-4, 4, -2, -12, -5, -3, 4
5,0:-4, 4, -2, -5, 6, 0, 10
2,13:-4, 4, 1, -6, -9, -3, 9
-6,1:-4, 4, 1, -6, 12, -1, 8
5,-5:-4, 4, 1, 8, 1, 4, -5
-5,-2:-4, 4, 4, -7, -13, -2, 8
1,8:-4, 4, 4, -7, 6, -3, -9
1,8:-4, 4, 4, -7, 6, -3, -8
1,8:-4, 4, 4, -7, 6, -3, -7
1,8:-4, 4, 4, -7, 6, -3, -6
1,8:-4, 4, 4, -7, 6, -3, -5
1,8:-4, 4, 4, -7, 6, -3, -4
-4,-3:-4, 7, -28, -19, -22, -15, -10
8,-11:-4, 7, -18, -13, -14, -8, -23
-3,13:5, -5, -5, -6, 0, -16, -10
-3,13:5, -5, -5, -6, 0, -16, -3
-3,13:5, -5, -5, -6, 0, -16, 0
-3,13:5, -5, -5, -6, 0, -16, 1
-3,13:5, -5, -5, -6, 0, -10, -16
-3,13:5, -5, -5, -6, 0, -10, -14
-3,13:5, -5, -5, -6, 0, -10, -13
5,0:5, -5, -5, 1, 4, -13, 0
2,-1:5, -5, -5, 1, 4, -13, 8
2,-1:5, -5, -5, 1, 4, -13, 15
-4,11:5, -5, -5, 1, 5, -8, 11
-4,11:5, -5, -5, 1, 5, -8, 14
-4,11:5, -5, -5, 1, 5, 11, -8
-4,11:5, -5, -5, 1, 5, 11, -7
-4,11:5, -5, -5, 1, 5, 11, -6
-4,11:5, -5, -5, 1, 5, 11, -5
-4,11:5, -5, -5, 1, 5, 11, -4
-4,11:5, -5, -5, 1, 5, 11, -3
0,6:5, -5, -1, 4, 3, -2, -10
0,6:5, -5, -1, 4, 3, -2, -9
0,6:5, -5, -1, 4, 3, -2, -6
0,6:5, -5, -1, 4, 3, -2, 1
5,-5:5, -5, 0, -6, 3, 4, -5
5,-5:5, -5, 0, -6, 3, 4, -4
5,-5:5, -5, 0, -6, 3, 4, -3
5,-5:5, -5, 0, -6, 3, 4, -2
5,-5:5, -5, 0, -6, 3, 4, -1
5,-5:5, -5, 0, -6, 3, 4, 0
12,6:5, -5, 0, 6, -6, 0, -12
1,-7:5, -5, 0, 6, -6, 0, -10
1,-7:5, -5, 0, 6, -6, 0, -8
1,-7:5, -5, 0, 6, -6, 0, -5
-4,16:5, -5, 0, 16, -3, 15, -13
-4,16:5, -5, 0, 16, -3, 15, -11
-4,16:5, -5, 0, 16, -3, 15, -8
3,-6:5, -5, 0, 16, -3, 15, 16
3,-6:5, -5, 0, 16, -3, 15, 18
3,-6:5, -5, 0, 16, -3, 15, 21
1,3:5, -3, -6, 11, 18, 11, 10
0,-3:5, -3, -5, -6, -11, -19, 15
0,-3:5, -3, -5, -6, -11, 15, -19
0,-3:5, -3, -5, -6, -11, 15, -18
0,-3:5, -3, -5, -6, -11, 15, -15
0,-3:5, -3, -5, -6, -11, 15, -8
0,0:5, -3, -5, -3, -5, 3, 4
-2,-1:5, -3, -5, 3, -3, 2, 13
2,22:5, -3, 3, 9, 11, -1, 16
11,11:5, -3, 11, 18, 10, 16, 3
-5,8:5, 2, -6, 14, 3, 8, 18
-4,5:5, 2, -6, 14, 13, 13, 9
0,-3:5, 2, -5, -6, -11, -19, 5
0,-3:5, 2, -5, -6, -11, -19, 8
0,-3:5, 2, -5, -6, -11, -19, 15
-6,5:5, 2, -5, 14, 0, -14, 16
-9,4:5, 2, -5, 14, 0, -10, -10
-9,4:5, 2, -5, 14, 0, -10, -9
-9,4:5, 2, -5, 14, 0, -10, -8
-9,4:5, 2, -5, 14, 0, -10, -7
-9,4:5, 2, -5, 14, 0, -10, -6
-9,4:5, 2, -5, 14, 0, -10, -5
-9,4:5, 2, -5, 14, 0, -7, -12
-9,4:5, 2, -5, 14, 0, -7, -11
-9,4:5, 2, -5, 14, 0, -7, -10
-9,4:5, 2, -5, 14, 0, -7, -9
-9,4:5, 2, -5, 14, 0, -7, -8
-9,4:5, 2, -5, 14, 0, -7, -7
-6,5:5, 2, -5, 14, 0, 16, -14
-6,5:5, 2, -5, 14, 0, 16, -9
-6,5:5, 2, -5, 14, 0, 16, -8
-6,5:5, 2, -5, 14, 0, 16, -3
2,3:5, 2, 0, -9, -12, -3, -19
2,3:5, 2, 0, -9, -12, -3, -18
2,3:5, 2, 0, -9, -12, -3, -17
2,3:5, 2, 0, -9, -12, -3, -16
2,3:5, 2, 0, -9, -12, -3, -15
2,3:5, 2, 0, -9, -12, -3, -14
-3,2:5, 2, 0, -9, 5, 3, 1
0,-2:5, 2, 0, -8, 0, -32, 10
0,-2:5, 2, 0, -8, 0, 10, -32
0,-2:5, 2, 0, -8, 0, 10, -31
0,-2:5, 2, 0, -8, 0, 10, -30
0,-2:5, 2, 0, -8, 0, 10, -29
0,-2:5, 2, 0, -8, 0, 10, -28
0,-2:5, 2, 0, -8, 0, 10, -27
2,5:5, 2, 0, -3, -6, -2, -8
0,5:5, 2, 9, 0, -1, -4, 9
-4,4:5, 2, 9, 0, -1, 4, 4
5,16:5, 2, 9, 0, 20, -7, 11
6,-11:5, 2, 14, 0, -4, 14, 4
-4,5:5, 2, 14, 13, 13, 9, -6
-4,5:5, 2, 14, 13, 13, 9, 1
-4,5:5, 2, 14, 13, 13, 9, 4
1,7:5, 10, 5, -6, -1, -6, 15
4,8:5, 10, 5, -6, -1, 9, -1
1,7:5, 10, 5, -6, -1, 15, -6
1,7:5, 10, 5, -6, -1, 15, 1
5,5:5, 10, 5, 4, 4, 0, 10
10,-14:5, 10, 8, 0, 12, -15, -15
10,-14:5, 10, 8, 0, 12, -15, -14
10,-14:5, 10, 8, 0, 12, -15, -13
10,-14:5, 10, 8, 0, 12, -15, -12
10,-14:5, 10, 8, 0, 12, -15, -11
0,4:5, 10, 9, 3, 4, 10, 6
3,5:5, 10, 9, 3, 10, 6, 7
-10,5:5, 10, 9, 10, 9, 21, 14
0,2:5, 10, 9, 15, 19, 0, 7
4,8:5, 10, 10, 5, -6, -1, 9
