1,6:5, -3, -6, 3, 17
7,3:-5, -5, -12, -15, -6, 8
3,7:-5, 4, -4, -7, 2, 16
18,8:-4, -11, 3, 10, 2, 6
18,8:-4, -11, 3, 10, 2, 7
18,8:-4, -11, 3, 10, 2, 14
18,8:-4, -11, 3, 10, 2, 15
14,12:5, -3, 11, 18, 10, 14
14,12:5, -3, 11, 18, 10, 15
14,12:5, -3, 11, 18, 10, 22
14,12:5, -3, 11, 18, 10, 23
6,4:6, -3, -10, -13, -4, 10
2,8:6, 6, -2, -5, 4, 18
9,4:-5, -6, -6, -13, -16, -7, 7
5,8:-5, -6, 3, -5, -8, 1, 15
20,9:-5, -5, -12, 2, 9, 1, 5
20,9:-5, -5, -12, 2, 9, 1, 6
20,9:-5, -5, -12, 2, 9, 1, 13
20,9:-5, -5, -12, 2, 9, 1, 14
16,13:-5, 4, -4, 10, 17, 9, 13
16,13:-5, 4, -4, 10, 17, 9, 14
16,13:-5, 4, -4, 10, 17, 9, 21
16,13:-5, 4, -4, 10, 17, 9, 22
8,5:-5, 5, -4, -11, -14, -5, 9
4,9:-5, 5, 5, -3, -6, 3, 17
5,2:-4, -11, -13, -5, -8, 9, -21
5,2:-4, -11, -13, -5, -8, 9, -14
5,2:-4, -11, -13, -5, -8, 9, -11
5,2:-4, -11, -13, -5, -8, 9, -10
18,8:-4, -11, 3, 10, 2, 5, 5
18,8:-4, -11, 3, 10, 2, 5, 9
18,8:-4, -11, 3, 10, 2, 5, 10
18,8:-4, -11, 3, 10, 2, 5, 12
18,8:-4, -11, 3, 10, 2, 5, 15
18,8:-4, -11, 3, 10, 2, 8, 2
18,8:-4, -11, 3, 10, 2, 8, 9
18,8:-4, -11, 3, 10, 2, 10, 6
18,8:-4, -11, 3, 10, 2, 10, 7
18,8:-4, -11, 3, 10, 2, 10, 10
18,8:-4, -11, 3, 10, 2, 10, 17
18,8:-4, -11, 3, 10, 2, 11, 4
18,8:-4, -11, 3, 10, 2, 11, 11
18,8:-4, -11, 3, 10, 2, 11, 14
18,8:-4, -11, 3, 10, 2, 11, 15
18,8:-4, -11, 3, 10, 2, 13, 12
18,8:-4, -11, 3, 10, 2, 13, 19
18,8:-4, -11, 3, 10, 2, 13, 22
18,8:-4, -11, 3, 10, 2, 13, 23
18,8:-4, -11, 3, 10, 2, 16, 6
18,8:-4, -11, 3, 10, 2, 16, 9
18,8:-4, -11, 3, 10, 2, 16, 11
18,8:-4, -11, 3, 10, 2, 16, 12
18,8:-4, -11, 3, 10, 2, 16, 16
-9,2:-4, -6, 1, 2, 10, 6, 21
-9,2:-4, -6, 1, 2, 10, 6, 22
-9,2:-4, -6, 1, 2, 10, 6, 23
-9,2:-4, -6, 1, 2, 10, 6, 24
-9,2:-4, -6, 1, 2, 10, 6, 25
-9,2:-4, -6, 1, 2, 10, 6, 26
-9,2:-4, -6, 1, 2, 10, 21, 6
-9,2:-4, -6, 1, 2, 10, 21, 7
-9,2:-4, -6, 1, 2, 10, 21, 8
-9,2:-4, -6, 1, 2, 10, 21, 9
-9,2:-4, -6, 1, 2, 10, 21, 10
-9,2:-4, -6, 1, 2, 10, 21, 11
1,6:5, -3, -5, 3, 0, 17, -13
1,6:5, -3, -5, 3, 0, 17, -6
1,6:5, -3, -5, 3, 0, 17, -3
1,6:5, -3, -5, 3, 0, 17, -2
14,12:5, -3, 11, 18, 10, 13, 13
14,12:5, -3, 11, 18, 10, 13, 17
14,12:5, -3, 11, 18, 10, 13, 18
14,12:5, -3, 11, 18, 10, 13, 20
14,12:5, -3, 11, 18, 10, 13, 23
14,12:5, -3, 11, 18, 10, 16, 10
14,12:5, -3, 11, 18, 10, 16, 17
14,12:5, -3, 11, 18, 10, 18, 14
14,12:5, -3, 11, 18, 10, 18, 15
14,12:5, -3, 11, 18, 10, 18, 18
14,12:5, -3, 11, 18, 10, 18, 25
14,12:5, -3, 11, 18, 10, 19, 12
14,12:5, -3, 11, 18, 10, 19, 19
14,12:5, -3, 11, 18, 10, 19, 22
14,12:5, -3, 11, 18, 10, 19, 23
14,12:5, -3, 11, 18, 10, 21, 20
14,12:5, -3, 11, 18, 10, 21, 27
14,12:5, -3, 11, 18, 10, 21, 30
14,12:5, -3, 11, 18, 10, 21, 31
14,12:5, -3, 11, 18, 10, 24, 14
14,12:5, -3, 11, 18, 10, 24, 17
14,12:5, -3, 11, 18, 10, 24, 19
14,12:5, -3, 11, 18, 10, 24, 20
14,12:5, -3, 11, 18, 10, 24, 24
-13,6:5, 2, 9, 10, 18, 14, 29
-13,6:5, 2, 9, 10, 18, 14, 30
-13,6:5, 2, 9, 10, 18, 14, 31
-13,6:5, 2, 9, 10, 18, 14, 32
-13,6:5, 2, 9, 10, 18, 14, 33
-13,6:5, 2, 9, 10, 18, 14, 34
-13,6:5, 2, 9, 10, 18, 29, 14
-13,6:5, 2, 9, 10, 18, 29, 15
-13,6:5, 2, 9, 10, 18, 29, 16
-13,6:5, 2, 9, 10, 18, 29, 17
-13,6:5, 2, 9, 10, 18, 29, 18
-13,6:5, 2, 9, 10, 18, 29, 19
19,10:6, -3, -10, 4, 11, 3, 7
19,10:6, -3, -10, 4, 11, 3, 8
19,10:6, -3, -10, 4, 11, 3, 15
19,10:6, -3, -10, 4, 11, 3, 16
15,14:6, 6, -2, 12, 19, 11, 15
15,14:6, 6, -2, 12, 19, 11, 16
15,14:6, 6, -2, 12, 19, 11, 23
15,14:6, 6, -2, 12, 19, 11, 24
7,6:6, 7, -2, -9, -12, -3, 11
3,10:6, 7, 7, -1, -4, 5, 19
