1,8:-4, -11, -11, 0, -7, -9
4,4:-4, -11, -10, -9, -20, -9
4,4:-4, -11, -10, -8, -9, -23
4,4:-4, -11, -10, -8, -9, -18
4,4:-4, -11, -10, -8, -9, -17
4,4:-4, -11, -10, -8, -9, -12
14,-3:-4, 4, -10, 0, -1, -14
9,-1:-4, 4, 3, 1, 2, 5
9,-1:-4, 4, 3, 1, 2, 10
9,-1:-4, 4, 3, 1, 2, 11
9,-1:-4, 4, 3, 1, 2, 16
9,-1:-4, 4, 3, 1, 5, 2
13,-4:-4, 4, 4, -7, 0, 2
-2,13:5, -3, -6, 11, 2, 15
-3,12:5, -3, -3, 8, 1, -1
0,8:5, -3, -2, -1, -12, -1
0,8:5, -3, -2, 0, -1, -15
0,8:5, -3, -2, 0, -1, -10
0,8:5, -3, -2, 0, -1, -9
0,8:5, -3, -2, 0, -1, -4
10,1:5, 12, -2, 8, 7, -6
5,3:5, 12, 11, 9, 10, 13
5,3:5, 12, 11, 9, 10, 18
5,3:5, 12, 11, 9, 10, 19
5,3:5, 12, 11, 9, 10, 24
5,3:5, 12, 11, 9, 13, 10
9,0:5, 12, 12, 1, 8, 10
4,10:-5, -5, -12, -15, 2, -7, 6
3,9:-5, -5, -12, -12, -1, -8, -10
6,5:-5, -5, -12, -11, -10, -21, -10
6,5:-5, -5, -12, -11, -9, -10, -24
6,5:-5, -5, -12, -11, -9, -10, -19
6,5:-5, -5, -12, -11, -9, -10, -18
6,5:-5, -5, -12, -11, -9, -10, -13
16,-2:-5, -5, 3, -11, -1, -2, -15
11,0:-5, -5, 3, 2, 0, 1, 4
11,0:-5, -5, 3, 2, 0, 1, 9
11,0:-5, -5, 3, 2, 0, 1, 10
11,0:-5, -5, 3, 2, 0, 1, 15
11,0:-5, -5, 3, 2, 0, 4, 1
15,-3:-5, -5, 3, 3, -8, -1, 1
0,14:-5, 4, -4, -7, 10, 1, 14
-1,13:-5, 4, -4, -4, 7, 0, -2
2,9:-5, 4, -4, -3, -2, -13, -2
2,9:-5, 4, -4, -3, -1, -2, -16
2,9:-5, 4, -4, -3, -1, -2, -11
2,9:-5, 4, -4, -3, -1, -2, -10
2,9:-5, 4, -4, -3, -1, -2, -5
12,2:-5, 4, 11, -3, 7, 6, -7
7,4:-5, 4, 11, 10, 8, 9, 12
7,4:-5, 4, 11, 10, 8, 9, 17
7,4:-5, 4, 11, 10, 8, 9, 18
7,4:-5, 4, 11, 10, 8, 9, 23
7,4:-5, 4, 11, 10, 8, 12, 9
11,1:-5, 4, 11, 11, 0, 7, 9
7,2:-4, -13, -13, 7, -16, 7, 7
7,2:-4, -13, -13, 7, -16, 7, 8
7,2:-4, -13, -13, 7, -16, 7, 9
7,2:-4, -13, -13, 7, -16, 7, 10
7,2:-4, -13, -13, 7, -16, 7, 11
7,2:-4, -13, -13, 7, -16, 7, 12
-10,14:-4, -13, -13, 7, -16, 14, 18
7,2:-4, -13, -13, 7, 7, 7, -16
7,2:-4, -13, -13, 7, 7, 7, -11
-10,14:-4, -13, -13, 7, 14, 18, -16
-10,14:-4, -13, -13, 7, 14, 18, -11
14,-4:-4, -13, -8, -9, -10, -20, -10
14,-4:-4, -13, -8, -9, -10, -20, -9
11,-5:-4, -13, -8, -4, -4, -2, -4
9,0:-4, -13, -4, 2, 1, 0, 2
9,0:-4, -13, -4, 2, 1, 0, 3
9,0:-4, -13, -4, 2, 1, 0, 6
9,0:-4, -13, -4, 2, 1, 0, 13
9,2:-4, -11, -14, 3, -6, -4, -1
9,2:-4, -11, -14, 3, -6, -4, 0
9,2:-4, -11, -14, 3, -6, -4, 3
9,2:-4, -11, -14, 3, -6, -4, 10
15,-5:-4, -11, -11, -13, -18, -40, -25
4,4:-4, -11, -10, -17, -3, -9, -7
4,4:-4, -11, -10, -17, -3, -9, 4
11,8:-4, -11, -10, -17, -3, -9, 7
11,8:-4, -11, -10, -17, -3, 7, -9
11,8:-4, -11, -10, -17, 7, 2, -3
4,4:-4, -11, -10, -9, -11, -9, -19
4,4:-4, -11, -10, -9, -11, -9, -18
4,4:-4, -11, -10, -9, -11, -9, -17
4,4:-4, -11, -10, -9, -11, -9, -16
4,4:-4, -11, -10, -9, -11, -9, -15
4,4:-4, -11, -10, -9, -11, -9, -14
4,4:-4, -11, -10, -8, -19, -9, -19
4,4:-4, -11, -10, -8, -19, -9, -18
4,4:-4, -11, -10, -8, -19, -9, -17
4,4:-4, -11, -10, -8, -19, -9, -16
4,4:-4, -11, -10, -8, -19, -9, -15
4,4:-4, -11, -10, -8, -19, -9, -14
4,4:-4, -11, -10, -8, -16, -9, -21
4,4:-4, -11, -10, -8, -16, -9, -20
4,4:-4, -11, -10, -8, -16, -9, -19
4,4:-4, -11, -10, -8, -16, -9, -18
4,4:-4, -11, -10, -8, -16, -9, -17
4,4:-4, -11, -10, -8, -16, -9, -16
16,0:-4, -11, -10, -7, -1, -6, -4
16,0:-4, -11, -10, -7, -1, -6, -3
16,0:-4, -11, -10, -7, -1, -6, 0
16,0:-4, -11, -10, -7, -1, -6, 7
16,0:-4, -11, -10, -7, -1, 7, -6
6,-5:-4, -11, -8, 6, 10, -26, -21
6,-11:-4, -11, -8, 6, 10, -26, -13
6,-11:-4, -11, -8, 6, 10, -26, -12
6,-11:-4, -11, -8, 6, 10, -26, -11
6,-11:-4, -11, -8, 6, 10, -26, -10
6,-11:-4, -11, -8, 6, 10, -26, -9
6,-11:-4, -11, -8, 6, 10, -26, -8
6,-5:-4, -11, -8, 6, 10, -21, -26
6,-5:-4, -11, -8, 6, 10, -21, -25
6,-5:-4, -11, -8, 6, 10, -21, -24
6,-5:-4, -11, -8, 6, 10, -21, -23
6,-5:-4, -11, -8, 6, 10, -21, -22
6,-5:-4, -11, -8, 6, 10, -21, -21
