4,3:5, 12, 6, 15, -8
10,0:-5, -5, 3, -3, 6, -17
6,4:-5, 4, 11, 5, 14, -9
14,12:-4, 4, -10, -17, -9, -22
14,12:-4, 4, -10, -17, -9, -21
14,12:-4, 4, -10, -17, -9, -14
14,12:-4, 4, -10, -17, -9, -13
10,16:5, 12, -2, -9, -1, -14
10,16:5, 12, -2, -9, -1, -13
10,16:5, 12, -2, -9, -1, -6
10,16:5, 12, -2, -9, -1, -5
9,1:6, -3, 5, -1, 8, -15
5,5:6, 6, 13, 7, 16, -7
12,1:-5, -6, -6, 2, -4, 5, -18
8,5:-5, -6, 3, 10, 4, 13, -10
16,13:-5, -5, 3, -11, -18, -10, -23
16,13:-5, -5, 3, -11, -18, -10, -22
16,13:-5, -5, 3, -11, -18, -10, -15
16,13:-5, -5, 3, -11, -18, -10, -14
12,17:-5, 4, 11, -3, -10, -2, -15
12,17:-5, 4, 11, -3, -10, -2, -14
12,17:-5, 4, 11, -3, -10, -2, -7
12,17:-5, 4, 11, -3, -10, -2, -6
11,2:-5, 5, -4, 4, -2, 7, -16
7,6:-5, 5, 5, 12, 6, 15, -8
8,-15:-4, -6, -8, -9, -17, -33, -18
8,-15:-4, -6, -8, -9, -17, -33, -17
8,-15:-4, -6, -8, -9, -17, -33, -16
8,-15:-4, -6, -8, -9, -17, -33, -15
8,-15:-4, -6, -8, -9, -17, -33, -14
8,-15:-4, -6, -8, -9, -17, -33, -13
8,-15:-4, -6, -8, -9, -17, -18, -33
8,-15:-4, -6, -8, -9, -17, -18, -32
8,-15:-4, -6, -8, -9, -17, -18, -31
8,-15:-4, -6, -8, -9, -17, -18, -30
8,-15:-4, -6, -8, -9, -17, -18, -29
8,-15:-4, -6, -8, -9, -17, -18, -28
14,12:-4, 4, -10, -17, -9, -23, -23
14,12:-4, 4, -10, -17, -9, -23, -19
14,12:-4, 4, -10, -17, -9, -23, -18
14,12:-4, 4, -10, -17, -9, -23, -16
14,12:-4, 4, -10, -17, -9, -23, -13
14,12:-4, 4, -10, -17, -9, -20, -30
14,12:-4, 4, -10, -17, -9, -20, -29
14,12:-4, 4, -10, -17, -9, -20, -26
14,12:-4, 4, -10, -17, -9, -20, -19
14,12:-4, 4, -10, -17, -9, -18, -22
14,12:-4, 4, -10, -17, -9, -18, -21
14,12:-4, 4, -10, -17, -9, -18, -18
14,12:-4, 4, -10, -17, -9, -18, -11
14,12:-4, 4, -10, -17, -9, -17, -24
14,12:-4, 4, -10, -17, -9, -17, -17
14,12:-4, 4, -10, -17, -9, -17, -14
14,12:-4, 4, -10, -17, -9, -17, -13
14,12:-4, 4, -10, -17, -9, -15, -16
14,12:-4, 4, -10, -17, -9, -15, -9
14,12:-4, 4, -10, -17, -9, -12, -22
14,12:-4, 4, -10, -17, -9, -12, -19
14,12:-4, 4, -10, -17, -9, -12, -17
14,12:-4, 4, -10, -17, -9, -12, -16
14,12:-4, 4, -10, -17, -9, -12, -12
8,-1:-4, 4, -2, 6, 1, -16, 3
8,-1:-4, 4, -2, 6, 1, -16, 4
8,-1:-4, 4, -2, 6, 1, -16, 7
8,-1:-4, 4, -2, 6, 1, -16, 14
4,-11:5, 2, 0, -1, -9, -25, -10
4,-11:5, 2, 0, -1, -9, -25, -9
4,-11:5, 2, 0, -1, -9, -25, -8
4,-11:5, 2, 0, -1, -9, -25, -7
4,-11:5, 2, 0, -1, -9, -25, -6
4,-11:5, 2, 0, -1, -9, -25, -5
4,-11:5, 2, 0, -1, -9, -10, -25
4,-11:5, 2, 0, -1, -9, -10, -24
4,-11:5, 2, 0, -1, -9, -10, -23
4,-11:5, 2, 0, -1, -9, -10, -22
4,-11:5, 2, 0, -1, -9, -10, -21
4,-11:5, 2, 0, -1, -9, -10, -20
10,16:5, 12, -2, -9, -1, -15, -15
10,16:5, 12, -2, -9, -1, -15, -11
10,16:5, 12, -2, -9, -1, -15, -10
10,16:5, 12, -2, -9, -1, -15, -8
10,16:5, 12, -2, -9, -1, -15, -5
10,16:5, 12, -2, -9, -1, -12, -22
10,16:5, 12, -2, -9, -1, -12, -21
