6,-1:5, 2, 0, -12
12,-4:-5, -5, -7, -9, -21
8,0:-5, 4, 1, -1, -13
3,-6:-4, -11, 3, 3, 7
10,-8:-4, 7, -18, -25, -8
-1,-2:5, -3, 11, 11, 15
6,-4:5, 15, -10, -17, 0
11,-3:6, -3, -5, -7, -19
7,1:6, 6, 3, 1, -11
14,-3:-5, -6, -6, -8, -10, -22
10,1:-5, -6, 3, 0, -2, -14
5,-5:-5, -5, -12, 2, 2, 6
12,-7:-5, -5, 6, -19, -26, -9
1,-1:-5, 4, -4, 10, 10, 14
8,-3:-5, 4, 14, -11, -18, -1
13,-2:-5, 5, -4, -6, -8, -20
9,2:-5, 5, 5, 2, 0, -12
4,2:-4, -11, -14, 4, -10, -4
6,-8:-4, -11, -8, -15, 10, -1
-1,1:-4, -6, -13, -5, -26, 8
-1,1:-4, -6, -13, -5, 8, -26
-1,1:-4, -6, -13, -5, 8, -25
-1,1:-4, -6, -13, -5, 8, -24
-1,1:-4, -6, -13, -5, 8, -23
-1,1:-4, -6, -13, -5, 8, -22
-1,1:-4, -6, -13, -5, 8, -21
-3,-4:-4, -6, 1, -8, -7, -31
-3,-4:-4, -6, 1, -8, -7, -24
-3,-4:-4, -6, 1, -8, -7, -21
-3,-4:-4, -6, 1, -8, -7, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 15
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 17
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, -4, 19
5,-5:-4, -6, 6, -2, 14, -4
4,-6:-4, 4, 1, 6, 8, 5
4,-6:-4, 4, 1, 6, 8, 16
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
18,-12:-4, 4, 6, 6, -4, -1
0,6:5, -3, -6, 12, -2, 4
2,-4:5, -3, 0, -7, 18, 7
-5,5:5, 2, -5, 3, -18, 16
-5,5:5, 2, -5, 3, 16, -18
-5,5:5, 2, -5, 3, 16, -17
-5,5:5, 2, -5, 3, 16, -16
-5,5:5, 2, -5, 3, 16, -15
-5,5:5, 2, -5, 3, 16, -14
-5,5:5, 2, -5, 3, 16, -13
-7,0:5, 2, 9, 0, 1, -23
-7,0:5, 2, 9, 0, 1, -16
-7,0:5, 2, 9, 0, 1, -13
-7,0:5, 2, 9, 0, 1, -12
1,-1:5, 2, 14, 6, 4, 22
1,-1:5, 2, 14, 6, 4, 23
1,-1:5, 2, 14, 6, 4, 24
1,-1:5, 2, 14, 6, 4, 25
1,-1:5, 2, 14, 6, 4, 26
1,-1:5, 2, 14, 6, 4, 27
1,-1:5, 2, 14, 6, 22, 4
0,-2:5, 12, 9, 14, 16, 13
0,-2:5, 12, 9, 14, 16, 24
3,7:5, 12, 12, 12, -6, 16
3,7:5, 12, 12, 12, 16, -6
14,-8:5, 12, 14, 14, 4, 7
4,-4:6, -3, -10, 4, 4, 8
11,-6:6, -3, 8, -17, -24, -7
0,0:6, 6, -2, 12, 12, 16
7,-2:6, 6, 16, -9, -16, 1
12,-1:6, 7, -2, -4, -6, -18
8,3:6, 7, 7, 4, 2, -10
16,-2:-5, -6, -7, -7, -9, -11, -23
12,2:-5, -6, -7, 2, -1, -3, -15
7,-4:-5, -6, -6, -13, 1, 1, 5
14,-6:-5, -6, -6, 5, -20, -27, -10
3,0:-5, -6, 3, -5, 9, 9, 13
10,-2:-5, -6, 3, 13, -12, -19, -2
15,-1:-5, -6, 4, -5, -7, -9, -21
11,3:-5, -6, 4, 4, 1, -1, -13
6,3:-5, -5, -12, -15, 3, -11, -5
8,-7:-5, -5, -12, -9, -16, 9, -2
1,2:-5, -5, -7, -14, -6, -27, 7
1,2:-5, -5, -7, -14, -6, 7, -27
1,2:-5, -5, -7, -14, -6, 7, -26
1,2:-5, -5, -7, -14, -6, 7, -25
1,2:-5, -5, -7, -14, -6, 7, -24
1,2:-5, -5, -7, -14, -6, 7, -23
1,2:-5, -5, -7, -14, -6, 7, -22
-1,-3:-5, -5, -7, 0, -9, -8, -32
-1,-3:-5, -5, -7, 0, -9, -8, -25
-1,-3:-5, -5, -7, 0, -9, -8, -22
-1,-3:-5, -5, -7, 0, -9, -8, -21
7,-4:-5, -5, -7, 5, -3, -5, 13
7,-4:-5, -5, -7, 5, -3, -5, 14
7,-4:-5, -5, -7, 5, -3, -5, 15
7,-4:-5, -5, -7, 5, -3, -5, 16
7,-4:-5, -5, -7, 5, -3, -5, 17
7,-4:-5, -5, -7, 5, -3, -5, 18
7,-4:-5, -5, -7, 5, -3, 13, -5
6,-5:-5, -5, 3, 0, 5, 7, 4
6,-5:-5, -5, 3, 0, 5, 7, 15
9,4:-5, -5, 3, 3, 3, -15, 7
9,4:-5, -5, 3, 3, 3, 7, -15
20,-11:-5, -5, 3, 5, 5, -5, -2
2,7:-5, 4, -4, -7, 11, -3, 3
4,-3:-5, 4, -4, -1, -8, 17, 6
-3,6:-5, 4, 1, -6, 2, -19, 15
-3,6:-5, 4, 1, -6, 2, 15, -19
-3,6:-5, 4, 1, -6, 2, 15, -18
-3,6:-5, 4, 1, -6, 2, 15, -17
-3,6:-5, 4, 1, -6, 2, 15, -16
-3,6:-5, 4, 1, -6, 2, 15, -15
-3,6:-5, 4, 1, -6, 2, 15, -14
-5,1:-5, 4, 1, 8, -1, 0, -24
-5,1:-5, 4, 1, 8, -1, 0, -17
-5,1:-5, 4, 1, 8, -1, 0, -14
-5,1:-5, 4, 1, 8, -1, 0, -13
3,0:-5, 4, 1, 13, 5, 3, 21
3,0:-5, 4, 1, 13, 5, 3, 22
3,0:-5, 4, 1, 13, 5, 3, 23
3,0:-5, 4, 1, 13, 5, 3, 24
3,0:-5, 4, 1, 13, 5, 3, 25
3,0:-5, 4, 1, 13, 5, 3, 26
3,0:-5, 4, 1, 13, 5, 21, 3
2,-1:-5, 4, 11, 8, 13, 15, 12
2,-1:-5, 4, 11, 8, 13, 15, 23
5,8:-5, 4, 11, 11, 11, -7, 15
5,8:-5, 4, 11, 11, 11, 15, -7
16,-7:-5, 4, 11, 13, 13, 3, 6
6,-3:-5, 5, -4, -11, 3, 3, 7
13,-5:-5, 5, -4, 7, -18, -25, -8
2,1:-5, 5, 5, -3, 11, 11, 15
9,-1:-5, 5, 5, 15, -10, -17, 0
