2,-4:-4, -13, -8, -14, -22, 1
2,-4:-4, -13, -8, -14, -20, 1
5,-1:-4, -13, -8, -2, -9, -5
8,-9:-4, -11, -13, 7, -2, -7
2,-13:-4, -11, -11, 0, 1, -5
-1,-3:-4, -11, -8, -15, -8, -11
5,-10:-4, -6, -13, 6, 1, 4
5,-10:-4, -6, -13, 6, 1, 9
5,-10:-4, -6, -13, 6, 1, 10
5,-10:-4, -6, -13, 6, 1, 15
4,4:5, -5, -1, 4, 15, 10
-2,0:5, -5, 0, -6, -14, 9
-2,0:5, -5, 0, -6, -12, 9
1,3:5, -5, 0, 6, -1, 3
4,-5:5, -3, -5, 15, 6, 1
-2,-9:5, -3, -3, 8, 9, 3
-5,1:5, -3, 0, -7, 0, -3
1,-6:5, 2, -5, 14, 9, 12
1,-6:5, 2, -5, 14, 9, 17
1,-6:5, 2, -5, 14, 9, 18
1,-6:5, 2, -5, 14, 9, 23
10,1:-5, -5, -14, -10, -5, 6, 1
4,-3:-5, -5, -14, -9, -15, -23, 0
4,-3:-5, -5, -14, -9, -15, -21, 0
7,0:-5, -5, -14, -9, -3, -10, -6
10,-8:-5, -5, -12, -14, 6, -3, -8
4,-12:-5, -5, -12, -12, -1, 0, -6
1,-2:-5, -5, -12, -9, -16, -9, -12
7,-9:-5, -5, -7, -14, 5, 0, 3
7,-9:-5, -5, -7, -14, 5, 0, 8
7,-9:-5, -5, -7, -14, 5, 0, 9
7,-9:-5, -5, -7, -14, 5, 0, 14
6,5:-5, 4, -6, -2, 3, 14, 9
0,1:-5, 4, -6, -1, -7, -15, 8
0,1:-5, 4, -6, -1, -7, -13, 8
3,4:-5, 4, -6, -1, 5, -2, 2
6,-4:-5, 4, -4, -6, 14, 5, 0
0,-8:-5, 4, -4, -4, 7, 8, 2
-3,2:-5, 4, -4, -1, -8, -1, -4
3,-5:-5, 4, 1, -6, 13, 8, 11
3,-5:-5, 4, 1, -6, 13, 8, 16
3,-5:-5, 4, 1, -6, 13, 8, 17
3,-5:-5, 4, 1, -6, 13, 8, 22
-6,3:-4, -14, 11, 2, 7, 1, 16
2,-9:-4, -14, 21, 12, 10, 8, 3
8,0:-4, -13, -14, -4, 7, 2, 0
8,0:-4, -13, -14, -4, 7, 2, 7
-13,9:-4, -13, -14, 1, -11, 5, 12
-13,9:-4, -13, -14, 1, -11, 5, 13
-13,9:-4, -13, -14, 1, -11, 5, 14
-13,9:-4, -13, -14, 1, -11, 5, 15
-13,9:-4, -13, -14, 1, -11, 5, 16
