6,6,10,2,2,16
-4,-4,2,-8,8,4
-4,-6,6,6,0,-12
6,6,2,-4,-2,6
6,-2,-16,28,28,-16
-4,-4,-6,-14,-8,12
6,6,10,-18,2,2,16
-4,-4,2,-8,-18,8,4
6,6,10,-14,2,2,16
-4,2,6,0,8,-2,-14
6,-2,4,28,28,-16,-16
-4,2,6,2,0,-4,-10
-4,2,6,2,6,-4,-10
-4,2,6,6,-12,0,-12
-4,-4,2,12,18,18,-8
6,6,10,-4,2,2,16
-4,-6,-4,-8,-14,-20,-4
6,6,10,2,2,-22,16
6,6,10,2,2,-2,16
-4,-14,-2,2,-6,-6,8
6,-2,0,-10,0,8,4
-4,-12,-14,-4,6,2,0
6,-2,-16,28,-2,28,-16
6,-2,-16,28,10,28,-16
6,-2,-16,28,16,28,-16
-4,4,-8,-16,-16,-18,-28
-4,4,-2,-14,-4,-12,4
6,6,-2,16,0,-12,4
6,-2,4,-2,-16,2,-16
6,6,2,-4,-2,18,6
-4,-4,8,10,16,22,12
6,6,16,4,6,-6,2
-4,0,6,-6,-8,-14,2
-4,2,0,-8,-14,-14,-6
-4,-6,6,6,0,8,-12
-4,-6,6,6,0,10,-12
-4,-6,6,6,0,14,-12
-4,-6,6,6,0,26,-12
-4,-6,6,6,0,26,-6
-4,-14,20,10,12,12,20
-4,-12,-8,-10,-22,-14,2
-4,0,-4,-6,-16,-8,2
6,-2,-20,28,28,-22,-16
6,-2,-20,28,28,-14,-16
-4,-12,-6,-14,-4,-6,-4
-4,-4,-2,-8,-4,-10,-20
-4,0,-8,-12,-8,20,6
6,-2,-16,20,32,30,-16
-4,0,-8,-4,-8,-14,0
-4,0,0,4,-2,2,2
6,6,8,8,6,-6,6
-4,0,-12,-4,-14,-22,-6
-4,0,-12,0,-6,-12,4
-4,-6,-8,-18,-6,-18,-2
