-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
10,-4:-4, 2, 6, 0, 14, -4
-2,3:-4, -12, 4, 6, -8, -18, -20
-2,3:-4, -12, 4, 6, -8, -18, -10
-2,3:-4, -6, 6, -8, -18, -20, -8
-2,3:-4, -6, 6, -8, -18, -20, -6
-2,3:-4, -6, 6, -8, -18, -20, -4
-2,3:-4, -6, 6, -8, -10, -20, -12
-2,3:-4, -6, 6, -8, -10, -20, -10
-2,3:-4, -6, 6, -8, -10, -20, -8
-2,3:-4, -6, 6, -8, -8, -16, -20
-2,3:-4, -6, 6, -8, -8, -16, -18
-2,3:-4, -6, 6, -8, -8, -16, -16
-2,3:-4, 2, 6, -14, -18, -18, 2
-2,3:-4, 2, 6, -14, -18, -6, -18
-2,3:-4, 2, 6, -14, -18, -6, -8
-2,3:-4, 2, 6, -14, -18, 2, -18
-2,3:-4, 2, 6, -14, -18, 2, -16
-2,3:-4, 2, 6, -14, -18, 2, -14
-2,3:-4, 4, -10, -12, 6, -14, -6
-2,3:-4, 4, -10, -12, 6, -14, -4
-2,11:6, 6, -4, -4, 2, -12, 6
5,-1:6, 6, 8, -4, 10, 10, 14
5,-1:6, 6, 8, -4, 10, 10, 20
5,-1:6, 6, 8, -4, 10, 14, 16
