-2,-1:-4, -12, -8, -18, -20, 2
-2,-1:-4, -12, -8, -18, -20, 4
-2,-1:-4, -12, -8, -18, -20, 6
-2,-1:-4, -12, -8, -18, 2, -20
-2,-1:-4, -12, -8, -18, 2, -10
3,4:-4, -6, -14, 6, 12, 20
3,4:-4, -6, -14, 6, 12, 22
3,4:-4, -6, -14, 6, 12, 24
-10,6:6, 6, 8, 10, 4, 22
-2,-1:-4, -12, -8, -18, -20, -2, 0
-2,-1:-4, -12, -8, -18, -20, -2, 2
-2,-1:-4, -12, -8, -18, -20, -2, 4
3,4:-4, -6, -14, 6, 12, 28, 22
3,4:-4, -6, -14, 6, 12, 28, 24
3,4:-4, -6, -14, 6, 12, 28, 26
-1,0:-4, -6, 6, 10, -6, -10, 6
-1,0:-4, -6, 6, 10, -6, -10, 8
-1,0:-4, -6, 6, 10, -6, -10, 10
-1,0:-4, -6, 6, 10, -6, 6, -10
-1,0:-4, -6, 6, 10, -6, 6, -6
7,-8:6, -4, -4, -6, -8, -2, -20
5,5:6, 6, -2, -4, 16, -10, -22
5,5:6, 6, -2, -4, 16, -10, -20
5,5:6, 6, -2, -4, 16, -10, -18
0,0:6, 6, 14, 10, -4, 10, 12
0,0:6, 6, 14, 10, -4, 10, 22
0,0:6, 6, 14, 10, 10, 12, -4
0,0:6, 6, 14, 10, 10, 12, -2
0,0:6, 6, 14, 10, 10, 12, 0
