5,-11:-4, -12, -8, -2, -14, -8, -18
5,-11:-4, -12, -8, -2, -14, -8, -16
10,-15:-4, -6, 6, -8, -12, 6, -4
14,-18:-4, 2, 0, -8, 4, -22, -22
14,-18:-4, 2, 0, -8, 4, -22, -20
3,-7:-4, 2, 6, -8, 6, -2, -14
3,-7:-4, 2, 6, -8, 6, -2, -12
3,-7:-4, 2, 6, -8, 6, -2, -10
-16,18:-4, -14, 10, 10, 2, 6, 2, 28
5,-11:-4, -12, -8, -2, -14, -8, -12, -12
5,-11:-4, -12, -8, -2, -14, -8, -12, -8
5,-11:-4, -12, -8, -2, -14, -8, -10, -12
5,-11:-4, -12, -8, -2, -14, -8, -6, -10
5,-11:-4, -12, -8, -2, -14, -8, -6, -8
5,-11:-4, -12, -8, -2, -14, -8, -6, -6
4,-7:-4, -12, -4, -4, -10, -18, -8, 6
16,-22:-4, -6, -8, -4, -14, -2, -28, -28
16,-22:-4, -6, -8, -4, -14, -2, -28, -26
4,-5:-4, -6, 0, -2, -30, -4, 2, 0
4,-5:-4, -6, 0, -2, -30, -4, 2, 2
24,-1:-4, -6, 0, -2, -14, -20, -14, -16
24,-1:-4, -6, 0, -2, -14, -20, -14, -14
10,-15:-4, -6, 6, -8, -12, -4, -12, 2
10,-15:-4, -6, 6, -8, -12, -4, 2, -12
13,-14:-4, -6, 6, -8, -12, 6, -4, -22
-1,9:-4, -6, 6, 10, -14, -4, -2, -4
-1,9:-4, -6, 6, 10, -14, -4, -2, 0
14,-18:-4, 2, 0, -8, 4, -22, -16, -22
14,-18:-4, 2, 0, -8, 4, -22, -16, -20
14,-18:-4, 2, 0, -8, 4, -22, -16, -18
14,-18:-4, 2, 0, -8, 4, -18, -12, -22
14,-18:-4, 2, 0, -8, 4, -18, -12, -20
3,-7:-4, 2, 6, -8, 6, -2, -6, -12
3,-7:-4, 2, 6, -8, 6, -2, -6, -10
3,-7:-4, 2, 6, -8, 6, -2, -6, -8
3,1:-4, 4, -10, 2, -16, -10, -6, -10
-3,13:6, 6, -4, -4, 2, 6, -6, 12
-3,13:6, 6, -4, -4, 2, 6, 12, -6
-3,13:6, 6, -4, -4, 2, 6, 12, -4
-3,13:6, 6, -4, -4, 2, 6, 12, -2
1,-1:6, 6, -2, -4, -4, -10, -18, 16
1,-1:6, 6, -2, -4, -4, -10, 16, -18
1,-1:6, 6, -2, -4, -4, -10, 16, -14
-1,1:6, 6, -2, -4, 4, -2, 8, 14
1,-1:6, 6, 8, -4, -4, -10, -18, 6
1,-1:6, 6, 8, -4, -4, -10, -18, 16
15,19:-4, -14, 10, -2, 6, 20, 10, 20, 6
-16,18:-4, -14, 10, 10, 2, 6, 2, 22, 36
-16,18:-4, -14, 10, 10, 2, 6, 2, 22, 40
-16,18:-4, -14, 10, 10, 2, 6, 2, 24, 24
-16,18:-4, -14, 10, 10, 2, 6, 2, 24, 28
-16,18:-4, -14, 10, 10, 2, 6, 2, 32, 22
-16,18:-4, -14, 10, 10, 2, 6, 2, 32, 24
-16,18:-4, -14, 10, 10, 2, 6, 2, 32, 26
-16,18:-4, -14, 10, 10, 2, 6, 2, 36, 22
-16,18:-4, -14, 10, 10, 2, 6, 2, 36, 32
-16,18:-4, -14, 10, 10, 2, 6, 2, 38, 28
4,1:-4, -12, -8, -14, -4, -12, -14, -6, -20
10,-4:-4, -12, -8, -14, 0, 4, -14, -12, -6
16,-22:-4, -12, -8, -14, 2, -2, -28, -28, -2
16,-22:-4, -12, -8, -14, 2, -2, -28, -28, 2
1,6:-4, -12, -8, -4, -14, -10, -16, -20, -10
-4,-5:-4, -12, -8, -4, -4, -14, -6, -20, -6
-4,-5:-4, -12, -8, -4, -4, -14, -6, -6, -20
-4,-5:-4, -12, -8, -4, -4, -14, -6, -6, -18
-4,-5:-4, -12, -8, -4, -4, -14, -6, -6, -16
5,-11:-4, -12, -8, -2, -14, -8, -14, -20, -12
5,-11:-4, -12, -8, -2, -14, -8, -12, -10, -18
5,-11:-4, -12, -8, -2, -14, -8, -12, -10, -16
5,-11:-4, -12, -8, -2, -14, -8, -12, -10, -14
5,-11:-4, -12, -8, -2, -14, -8, -10, -10, -16
5,-11:-4, -12, -8, -2, -14, -8, -10, -10, -10
5,-11:-4, -12, -8, -2, -14, -8, -6, -2, -8
5,-11:-4, -12, -8, -2, -14, -8, -6, -2, -6
5,-11:-4, -12, -8, -2, -14, -8, -6, -2, -4
7,-6:-4, -12, -4, -4, -10, -18, -8, -8, 6
4,-7:-4, -12, -4, -4, -10, -18, -8, 2, 4
4,-7:-4, -12, -4, -4, -10, -18, -8, 2, 6
4,-7:-4, -12, -4, -4, -10, -18, -8, 2, 8
4,-7:-4, -12, -4, -4, -10, -18, -8, 4, 8
7,-6:-4, -12, -4, -4, -10, -18, -8, 6, -8
7,10:-4, -12, 4, -6, 6, -10, 16, 8, -8
9,7:-4, -6, -14, 6, -2, -22, -10, -18, 4
9,7:-4, -6, -14, 6, -2, -10, -18, 4, -22
9,7:-4, -6, -14, 6, -2, -10, -18, 4, -14
7,-1:-4, -6, -8, -18, -20, -10, -10, -16, -24
7,-1:-4, -6, -8, -18, -20, -10, -10, -16, -20
7,-1:-4, -6, -8, -18, -10, -10, -16, -24, -20
6,-8:-4, -6, -8, -10, -2, -8, -6, -14, -22
16,-22:-4, -6, -8, -4, -14, -2, -28, -22, -28
16,-22:-4, -6, -8, -4, -14, -2, -28, -22, -26
16,-22:-4, -6, -8, -4, -14, -2, -28, -22, -24
16,-22:-4, -6, -8, -4, -14, -2, -24, -18, -28
16,-22:-4, -6, -8, -4, -14, -2, -24, -18, -26
7,-4:-4, -6, 0, -2, -30, -4, 2, 0, -6
4,-5:-4, -6, 0, -2, -30, -4, 2, 6, 0
4,-5:-4, -6, 0, -2, -30, -4, 2, 6, 2
4,-5:-4, -6, 0, -2, -30, -4, 2, 6, 4
27,0:-4, -6, 0, -2, -14, -20, -14, -16, -22
24,-1:-4, -6, 0, -2, -14, -20, -14, -10, -16
24,-1:-4, -6, 0, -2, -14, -20, -14, -10, -14
24,-1:-4, -6, 0, -2, -14, -20, -14, -10, -12
10,-15:-4, -6, 6, -8, -12, -4, -14, 2, -12
10,-15:-4, -6, 6, -8, -12, -4, -14, 2, -2
13,-14:-4, -6, 6, -8, -12, -4, -12, -22, 2
10,-15:-4, -6, 6, -8, -12, -4, -12, 6, 6
10,-15:-4, -6, 6, -8, -12, -4, -12, 6, 8
10,-15:-4, -6, 6, -8, -12, -4, -12, 6, 10
10,-15:-4, -6, 6, -8, -12, -4, -12, 12, -4
10,-15:-4, -6, 6, -8, -12, -4, -12, 12, 6
10,-15:-4, -6, 6, -8, -12, -4, -2, 2, -14
10,-15:-4, -6, 6, -8, -12, -4, -2, 2, -12
10,-15:-4, -6, 6, -8, -12, -4, 2, -4, -10
10,-15:-4, -6, 6, -8, -12, -4, 2, -4, 0
10,-15:-4, -6, 6, -8, -12, -4, 6, -4, -4
10,-15:-4, -6, 6, -8, -12, -4, 6, -4, 4
10,-15:-4, -6, 6, -8, -12, 4, -4, -12, -2
10,-15:-4, -6, 6, -8, -12, 4, -4, -12, 0
10,-15:-4, -6, 6, -8, -12, 4, -4, -12, 2
16,-13:-4, -6, 6, -8, -12, 6, -4, -22, -24
10,-15:-4, -6, 6, -8, -12, 10, -4, -12, 6
10,-15:-4, -6, 6, -8, -12, 10, -4, -12, 10
19,10:-4, -6, 6, 0, 14, 0, -4, 2, 0
19,10:-4, -6, 6, 0, 14, 0, -4, 2, 2
-1,9:-4, -6, 6, 10, -14, -4, -12, -2, 2
-1,9:-4, -6, 6, 10, -14, -4, -2, -2, 2
-1,9:-4, -6, 6, 10, -14, -4, -2, -2, 4
0,-3:-4, -6, 6, 10, -14, 12, 16, 8, 22
0,-3:-4, -6, 6, 10, -14, 12, 16, 8, 26
0,-3:-4, -6, 6, 10, -14, 12, 16, 22, 8
0,-3:-4, -6, 6, 10, -14, 12, 16, 22, 10
0,-3:-4, -6, 6, 10, -14, 12, 16, 22, 12
11,-2:-4, -6, 6, 10, -6, -2, 12, 22, 12
11,-2:-4, -6, 6, 10, -6, -2, 12, 22, 14
11,-2:-4, -6, 6, 10, -6, -2, 12, 22, 16
5,-7:-4, 2, 0, -8, -14, -14, 4, -14, 0
5,-7:-4, 2, 0, -8, -14, -14, 4, -14, 2
5,-7:-4, 2, 0, -8, -14, -14, 4, -14, 4
5,-7:-4, 2, 0, -8, -14, -14, 4, 0, -14
5,-7:-4, 2, 0, -8, -14, -14, 4, 0, -12
-1,-5:-4, 2, 0, -8, -4, -2, -14, -10, -2
-1,-5:-4, 2, 0, -8, -4, -2, -14, -10, 8
-1,-5:-4, 2, 0, -8, -4, -2, -14, -8, 4
-1,-5:-4, 2, 0, -8, -4, -2, -14, -8, 6
-1,-5:-4, 2, 0, -8, -4, -2, -14, 8, -10
-1,-5:-4, 2, 0, -8, -4, -2, -14, 8, -6
-1,-5:-4, 2, 0, -8, -4, -2, -10, -2, -14
14,-18:-4, 2, 0, -8, 4, -18, -12, -16, -22
14,-18:-4, 2, 0, -8, 4, -18, -12, -16, -20
14,-18:-4, 2, 0, -8, 4, -18, -12, -16, -18
3,-7:-4, 2, 6, -8, 6, -2, -16, -18, -10
3,-7:-4, 2, 6, -8, 6, -2, -6, -16, -14
3,-7:-4, 2, 6, -8, 6, -2, -6, -16, -12
3,-7:-4, 2, 6, -8, 6, -2, -6, -16, -10
14,-18:-4, 2, 6, -8, 6, 4, -22, -22, -2
9,-5:-4, 2, 6, 0, 14, -16, -18, -20, -28
9,-5:-4, 2, 6, 0, 14, -16, -18, -20, -18
8,-7:-4, 2, 6, 4, 10, -8, -4, 0, -2
1,-1:-4, 4, -10, -12, -12, -14, 6, 0, 10
-4,5:-4, 4, -10, -12, 6, -14, 6, 0, 0
9,1:-4, 4, -10, 2, -16, -8, -6, -6, -2
14,-9:-4, 4, -2, -8, -10, -2, 2, -12, 0
14,-9:-4, 4, -2, -8, -10, -2, 2, -12, 2
14,-9:-4, 4, -2, -8, -10, -2, 2, -12, 4
14,-9:-4, 4, -2, -8, -10, -2, 2, 0, -12
14,-9:-4, 4, -2, -8, -10, -2, 2, 0, -8
14,-18:-4, 4, 6, 4, -8, 4, -22, -22, -2
14,-18:-4, 4, 6, 4, -8, 4, -22, -22, 0
14,-18:-4, 4, 6, 4, -8, 4, -22, -22, 2
19,5:6, -4, -4, -12, -8, -2, -14, -8, -20
8,-8:6, -4, -4, -12, -8, -2, -14, -8, -18
8,-8:6, -4, -4, -12, -8, -2, -14, -8, -16
13,-12:6, -4, -4, -6, 6, -8, -12, 6, -4
17,-15:6, -4, -4, 2, 0, -8, 4, -22, -22
17,-15:6, -4, -4, 2, 0, -8, 4, -22, -20
6,-4:6, -4, -4, 2, 6, -8, 6, -2, -14
6,-4:6, -4, -4, 2, 6, -8, 6, -2, -12
6,-4:6, -4, -4, 2, 6, -8, 6, -2, -10
4,9:6, 6, -4, -4, -4, -10, -18, 16, 18
4,9:6, 6, -4, -4, -4, -10, -18, 16, 22
4,9:6, 6, -4, -4, -4, -10, 16, 18, -18
4,9:6, 6, -4, -4, -4, -10, 16, 18, -14
-3,13:6, 6, -4, -4, 2, 6, -10, 12, -8
-3,13:6, 6, -4, -4, 2, 6, -10, 12, -6
-3,13:6, 6, -4, -4, 2, 6, -10, 12, -4
-3,13:6, 6, -4, -4, 2, 6, -6, 14, 8
-3,13:6, 6, -4, -4, 2, 6, -6, 14, 14
1,10:6, 6, -4, 0, 16, -12, 14, 20, 18
1,10:6, 6, -4, 0, 16, -12, 14, 20, 20
21,14:6, 6, -4, 0, 16, 4, -2, 4, 2
21,14:6, 6, -4, 0, 16, 4, -2, 4, 4
1,-1:6, 6, -2, -4, -4, -10, -16, 16, -12
1,-1:6, 6, -2, -4, -4, -10, -16, 16, -10
1,-1:6, 6, -2, -4, -4, -10, -16, 16, -8
-1,1:6, 6, 8, -4, 2, 10, 2, -8, 6
-1,1:6, 6, 8, -4, 2, 10, 2, -8, 10
4,-1:6, 6, 14, 6, 6, 12, 16, 10, 12
