3,4:-4, -6, 6, 10, -10, -2
8,-10:-4, -12, 4, -6, -14, -8, -12
-2,-4:-4, -6, 6, 6, 12, 16, 0
3,-2:-4, 4, -2, -12, -2, -2, -12
7,8:-4, 4, 4, 4, 6, 8, 16
7,3:6, 6, 8, -4, -8, 10, 4
2,-13:-4, -12, -8, -14, -22, 2, 4, -20
2,-9:-4, -12, -8, -14, -22, 2, 4, -14
2,-9:-4, -12, -8, -14, -22, 2, 4, -8
2,-9:-4, -12, -8, -14, 2, 4, -14, -18
2,-9:-4, -12, -8, -14, 2, 4, -14, -16
2,-9:-4, -12, -8, -14, 2, 4, -14, -14
2,-9:-4, -12, -8, -14, 2, 4, -8, -22
2,-9:-4, -12, -8, -14, 2, 4, -8, -20
2,-9:-4, -12, -8, -14, 2, 4, -8, -18
14,1:-4, -12, -8, -2, -14, -8, -20, -10
3,-12:-4, -12, -8, -2, -14, -8, -18, -12
14,1:-4, -12, -8, -2, -14, -8, -10, -20
14,1:-4, -12, -8, -2, -14, -8, -10, -18
-2,-4:-4, -6, -14, 6, 6, 12, 16, 0
12,-19:-4, 2, 0, -8, 4, -28, -22, -20
12,-19:-4, 2, 0, -8, 4, -22, -22, -28
15,4:-4, 2, 6, -14, -8, -12, -18, 4
15,4:-4, 2, 6, -14, -8, -12, 4, -18
15,4:-4, 2, 6, -14, -8, -12, 4, -16
1,-8:-4, 2, 6, -8, 6, -2, -14, -6
21,7:-4, 2, 6, 0, -4, -22, -22, 4
21,7:-4, 2, 6, 0, -4, -22, -22, 6
21,7:-4, 2, 6, 0, -4, -22, -22, 8
21,7:-4, 2, 6, 0, -4, -22, 4, -22
21,7:-4, 2, 6, 0, -4, -22, 4, -20
12,-8:-4, 2, 6, 0, -4, -10, 4, -18
-2,-4:-4, 2, 6, 6, 12, 16, 0, -12
-2,-4:-4, 2, 6, 6, 12, 16, 0, -2
0,-6:-4, 4, -2, -12, 6, 4, -12, -4
-1,-1:-4, 4, -2, -8, 6, 4, 2, -8
-1,-1:-4, 4, -2, -8, 6, 4, 2, -6
6,7:6, -4, -4, -6, 6, 10, -10, -2
11,7:6, 6, -2, -2, -2, -4, -6, -14
1,3:6, 6, -2, 4, 8, 4, 4, 14
-7,8:6, 6, -2, 14, 8, 16, 10, 14
-1,-2:6, 6, 8, -4, -4, -10, -18, 2
-2,8:-4, -14, -8, 20, 22, 10, 6, 24, 18
-18,17:-4, -14, 10, 10, 2, 6, 2, 28, 38
10,8:-4, -14, 10, 10, 8, 6, 10, 0, 12
18,6:-4, -14, 14, -2, 0, -12, -16, 2, -4
2,-9:-4, -12, -8, -14, -22, 2, 4, -12, -16
2,-9:-4, -12, -8, -14, -22, 2, 4, -12, -14
2,-9:-4, -12, -8, -14, -22, 2, 4, -12, -12
16,-8:-4, -12, -8, -14, -20, -20, -4, -6, -10
16,-8:-4, -12, -8, -14, -20, -20, -4, -6, 0
16,-8:-4, -12, -8, -14, -4, -12, -14, -6, -2
2,-9:-4, -12, -8, -14, 2, 4, -24, -8, -24
2,-9:-4, -12, -8, -14, 2, 4, -14, -22, -20
2,-9:-4, -12, -8, -14, 2, 4, -14, -22, -18
2,-9:-4, -12, -8, -14, 2, 4, -14, -22, -16
0,-4:-4, -12, -8, -4, -14, -20, -6, -14, -12
0,-4:-4, -12, -8, -4, -14, -20, -6, -14, -8
8,-10:-4, -12, 4, -6, -8, -8, -8, -12, -4
8,-10:-4, -12, 4, -6, -8, -8, -8, -12, -2
8,-10:-4, -12, 4, -6, -8, -8, -8, -12, 0
1,3:-4, -12, 4, 4, 4, 6, -8, -20, 0
1,3:-4, -12, 4, 4, 4, 6, -8, 0, -20
1,3:-4, -12, 4, 4, 4, 6, -8, 0, -10
1,5:-4, -12, 4, 6, -8, -14, -20, -14, -16
5,8:-4, -6, -14, 6, -2, -22, -10, -20, 2
14,-23:-4, -6, -8, -4, -14, -2, -34, -28, -26
14,-23:-4, -6, -8, -4, -14, -2, -28, -28, -34
5,0:-4, -6, 0, -8, -12, 0, 4, -16, -8
-2,-4:-4, -6, 6, 6, 12, 10, 12, 0, 10
-2,-4:-4, -6, 6, 6, 12, 10, 12, 0, 12
-2,-4:-4, -6, 6, 6, 12, 10, 12, 0, 14
-2,-4:-4, -6, 6, 6, 12, 10, 16, 0, 4
-2,-4:-4, -6, 6, 6, 12, 10, 16, 0, 14
-2,-4:-4, -6, 6, 6, 12, 18, 18, 0, 12
-2,-4:-4, -6, 6, 6, 12, 18, 18, 0, 14
-2,-4:-4, -6, 6, 6, 12, 18, 18, 0, 16
-3,8:-4, -6, 6, 10, -14, -4, -2, -4, 14
-3,8:-4, -6, 6, 10, -14, -4, -2, 14, -4
-3,8:-4, -6, 6, 10, -14, -4, -2, 14, 0
6,5:-4, -6, 6, 10, -14, 2, 2, 8, -8
10,10:-4, -6, 6, 10, -10, 0, 4, -14, -10
14,4:-4, -6, 6, 10, 2, -6, 2, 0, -2
12,-19:-4, 2, 0, -8, 4, -28, -22, -16, -20
15,-1:-4, 2, 2, -8, -4, -16, -20, -2, -8
15,4:-4, 2, 6, -14, -8, -12, -22, 4, -20
15,4:-4, 2, 6, -14, -8, -12, -22, 4, -18
