-2,-1:-4, -6, -14, 6, 6, 12, 20
-2,-1:-4, -6, 6, 6, 12, 16, -14
-2,-1:-4, -6, 6, 6, 12, 16, -4
12,-5:-4, 2, 6, 0, -4, -10, 4
12,-5:-4, 2, 6, 0, -4, -10, 6
12,-5:-4, 2, 6, 0, -4, -10, 8
12,-5:-4, 2, 6, 0, -4, 4, -10
0,-3:-4, 4, -2, -12, 6, 4, -12
-2,-1:-4, 4, 6, 6, 12, 16, -14
-2,2:-4, -12, -4, -4, -10, -18, -8, -10
-2,-1:-4, -6, -14, 6, 6, 12, 18, 10
-2,-1:-4, -6, -14, 6, 6, 12, 18, 12
-2,-1:-4, -6, -14, 6, 6, 12, 18, 14
0,-3:-4, -6, 6, 0, -8, -4, 10, -8
0,-3:-4, -6, 6, 0, -8, -4, 10, -4
13,19:-4, 2, 2, -14, -10, 4, -2, -2
13,19:-4, 2, 2, -14, -10, 4, -2, 0
9,-1:-4, 2, 2, -14, 6, -12, -18, -18
9,-1:-4, 2, 2, -14, 6, -12, -18, -16
12,-5:-4, 2, 6, 0, -4, -12, 4, -12
12,-5:-4, 2, 6, 0, -4, -12, 4, -6
12,-5:-4, 2, 6, 0, -4, -10, 12, 6
12,-5:-4, 2, 6, 0, -4, -10, 12, 8
12,-5:-4, 2, 6, 0, -4, -10, 12, 10
8,2:-4, 2, 6, 6, 12, -14, -20, 16
8,2:-4, 2, 6, 6, 12, -14, -20, 20
8,2:-4, 2, 6, 6, 12, -14, 16, -20
8,2:-4, 2, 6, 6, 12, -14, 16, -16
-5,4:6, 6, -4, -4, -4, 10, 4, 12
-5,4:6, 6, -4, -4, -4, 10, 4, 14
-5,4:6, 6, -4, -4, -4, 10, 4, 16
-16,15:6, 6, -4, 2, 10, -2, 14, 22
-16,15:6, 6, -4, 2, 10, -2, 14, 24
-13,11:6, 6, 8, -4, -4, 10, 14, 6
-9,6:6, 6, 14, 10, 4, 16, 10, 18
-9,6:6, 6, 14, 10, 4, 16, 10, 20
4,17:6, 6, 14, 10, 4, 16, 10, 22
20,8:-4, -14, 10, 10, 18, 12, 14, -4, 10
20,8:-4, -14, 10, 10, 18, 12, 14, -4, 12
20,8:-4, -14, 10, 10, 18, 12, 14, -4, 14
-2,-1:-4, -12, -14, -4, 2, 6, 6, 12, -2
-2,-1:-4, -12, -14, 4, 6, 6, 12, 16, -4
-2,-1:-4, -12, -14, 4, 6, 6, 12, 16, -2
-2,-1:-4, -12, -14, 4, 6, 6, 12, 16, 0
-1,5:-4, -12, -4, -4, -10, -18, -8, -10, 4
-2,2:-4, -12, -4, -4, -10, -18, -8, -8, -12
-2,2:-4, -12, -4, -4, -10, -18, -8, -6, -12
-2,2:-4, -12, -4, -4, -10, -18, -8, -6, -10
-2,2:-4, -12, -4, -4, -10, -18, -8, -6, -8
-1,5:-4, -12, -4, -4, -10, -18, -8, 4, -10
6,1:-4, -12, 4, 6, 4, -2, -4, -2, 2
-2,-1:-4, -6, -14, 6, 6, 12, 10, 10, 18
-2,-1:-4, -6, -14, 6, 6, 12, 10, 12, 10
-2,-1:-4, -6, -14, 6, 6, 12, 10, 12, 12
-2,-1:-4, -6, -14, 6, 6, 12, 10, 12, 14
-2,-1:-4, -6, -14, 6, 6, 12, 10, 16, 4
-2,-1:-4, -6, -14, 6, 6, 12, 10, 16, 14
-2,-1:-4, -6, -14, 6, 6, 12, 18, 18, 12
-2,-1:-4, -6, -14, 6, 6, 12, 18, 18, 14
-2,-1:-4, -6, -14, 6, 6, 12, 18, 18, 16
16,-16:-4, -6, -8, -2, -12, -16, -18, -34, -28
0,2:-4, -6, 6, 0, -8, -18, -2, -2, 4
0,-3:-4, -6, 6, 0, -8, -4, 10, -6, -14
0,-3:-4, -6, 6, 0, -8, -4, 10, -6, -12
0,-3:-4, -6, 6, 0, -8, -4, 10, -6, -10
4,-3:-4, -6, 6, 0, -8, 10, 6, -16, 4
-4,-2:-4, -6, 6, 0, -2, -30, -4, -14, 6
-3,-1:-4, -6, 6, 10, -14, -4, 0, -6, 8
-3,-1:-4, -6, 6, 10, -14, -4, 0, -6, 10
-3,-1:-4, -6, 6, 10, -14, -4, 0, -6, 12
4,-2:-4, -6, 6, 10, 12, 14, 2, 2, -2
3,-10:-4, 2, 0, -8, 4, -32, -46, -40, -36
3,-10:-4, 2, 0, -8, 4, -32, -46, -40, -30
3,-10:-4, 2, 0, -8, 4, -32, -46, -30, -40
3,-10:-4, 2, 0, -8, 4, -32, -46, -30, -38
3,-10:-4, 2, 0, -8, 4, -32, -46, -30, -36
13,19:-4, 2, 2, -14, -10, 4, -2, -6, -4
13,19:-4, 2, 2, -14, -10, 4, -2, -6, -2
13,19:-4, 2, 2, -14, -10, 4, -2, -6, 0
14,22:-4, 2, 2, -14, -10, 4, -2, -2, 6
9,-1:-4, 2, 2, -14, 6, -12, -18, -22, -20
9,-1:-4, 2, 2, -14, 6, -12, -18, -22, -18
9,-1:-4, 2, 2, -14, 6, -12, -18, -22, -16
10,2:-4, 2, 2, -14, 6, -12, -18, -18, -10
12,-5:-4, 2, 6, 0, -4, -18, -16, 4, -24
12,-5:-4, 2, 6, 0, -4, -12, -10, 4, -14
12,-5:-4, 2, 6, 0, -4, -12, -10, 4, -12
12,-5:-4, 2, 6, 0, -4, -12, -10, 4, -10
12,-5:-4, 2, 6, 0, -4, -8, -8, 4, -8
12,-5:-4, 2, 6, 0, -4, -8, -8, 4, -4
6,-1:-4, 2, 6, 4, 10, -8, -4, 0, -14
5,-7:-4, 2, 6, 6, 2, -4, -14, -2, 2
5,-7:-4, 2, 6, 6, 2, -4, -14, -2, 12
9,5:-4, 2, 6, 6, 12, -14, -20, -6, 16
9,5:-4, 2, 6, 6, 12, -14, -20, -6, 20
9,5:-4, 2, 6, 6, 12, -14, -20, 16, -6
8,2:-4, 2, 6, 6, 12, -14, -20, 18, 10
8,2:-4, 2, 6, 6, 12, -14, -20, 18, 12
8,2:-4, 2, 6, 6, 12, -14, -20, 18, 14
8,2:-4, 2, 6, 6, 12, -14, -18, 16, -14
8,2:-4, 2, 6, 6, 12, -14, -18, 16, -12
-2,-1:-4, 4, -2, -14, 6, 6, 12, 16, -12
-2,-1:-4, 4, -2, -14, 6, 6, 12, 16, -6
17,-4:-4, 4, -2, -12, -2, -2, -2, -8, 8
-2,-1:-4, 4, -2, -12, 6, 6, 12, 16, -14
