2,8:6, 6, -2, -4, 4, -2, -4, 18
7,11:-4, 4, 4, 4, -14, -4, 2, -4, 16
7,11:-4, 4, 4, 4, -14, -4, 2, 16, -4
2,8:6, 6, -2, -4, -4, 4, 0, 18, -8
-7,13:-4, -14, -8, 20, 12, 10, 18, 12, 10, 32
13,11:-4, -14, 14, -2, -10, -12, -4, -10, -12, 10
10,4:-4, 2, 0, -8, -14, -16, -8, -14, -16, 6
10,4:-4, 2, 2, -8, -14, -16, -8, -14, -16, 6
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -20, -16
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -20, -14
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -2, -16
7,11:-4, 4, 4, 6, 6, 4, -4, 2, 16, -2
5,11:6, -4, 6, 6, -2, -4, 4, -2, -4, 18
2,8:6, 6, -2, -4, -4, -10, -6, 4, 18, -18
2,8:6, 6, -2, -4, -4, -10, -6, 4, 18, -14
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -8
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -6
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -4
5,13:6, 6, -2, 14, 8, -4, 0, 6, -8, 20
1,13:6, 6, 14, 10, -4, 16, 12, 18, 16, -4
-7,13:-4, -14, -8, 20, 12, 10, 10, 18, 14, 32, 6
13,11:-4, -14, 10, -2, -10, -12, -4, -10, -12, 10, 12
13,11:-4, -14, 10, -2, -10, -12, -4, -10, -12, 10, 14
13,11:-4, -14, 10, -2, -10, -12, -4, -10, -12, 10, 16
13,11:-4, -14, 14, -2, -10, -12, -12, -4, -8, 10, -16
3,11:-4, -12, -8, -18, -20, -4, -4, 8, 0, 6, 20
6,0:-4, -12, -4, -8, -6, -14, -16, -8, -14, -16, 6
-1,7:-4, -6, -14, -2, 8, 0, -2, 6, 0, -2, 20
7,-11:-4, -6, -8, -16, -26, -28, -20, -26, -28, -6, -6
12,0:-4, -6, -8, -4, -14, -20, -22, -14, -20, -22, 0
-4,4:-4, -6, 6, 0, 8, 0, -6, 0, 6, 0, 20
0,12:-4, -6, 6, 10, -14, 12, -4, 4, 2, 10, 24
0,12:-4, -6, 6, 10, -14, 12, -4, 4, 10, 24, 2
0,12:-4, -6, 6, 10, -14, 12, -2, 4, 10, 24, 4
0,12:-4, -6, 6, 10, -6, -4, 12, 4, 10, 24, -10
0,12:-4, -6, 6, 10, -6, -4, 12, 4, 10, 24, -6
0,12:-4, -6, 6, 10, 12, 4, 2, -6, 10, 24, -2
0,12:-4, -6, 6, 10, 12, 4, 2, -6, 10, 24, 0
0,12:-4, -6, 6, 10, 12, 4, 2, -6, 10, 24, 2
10,4:-4, 2, 0, -8, -14, -16, -16, -8, -12, 6, -20
14,10:-4, 2, 0, -8, -14, -16, -16, 2, -4, -12, -20
8,-8:-4, 2, 0, -8, 4, -28, -18, -24, -18, -22, -4
8,-8:-4, 2, 0, -8, 4, -18, -24, -36, -18, -4, -36
8,-8:-4, 2, 0, -8, 4, -18, -24, -36, -18, -4, -26
8,-8:-4, 2, 0, -8, 4, -18, -24, -18, -22, -4, -24
8,-8:-4, 2, 0, -8, 4, -18, -24, -18, -22, -4, -22
4,-9:-4, 4, -10, -12, -12, 6, 0, -12, -20, -22, 14
13,5:-4, 4, -10, 0, -8, -16, -18, -10, -16, -18, 4
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, -12, 6, 20
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, -12, 6, 22
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, -12, 6, 24
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, -12, 20, 6
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, -12, 20, 10
-5,2:-4, 4, -2, -12, -2, -10, 8, 10, 6, 20, -12
-1,7:-4, 4, -2, -12, -2, 8, -12, 0, 6, 20, -12
-1,7:-4, 4, -2, -12, -2, 8, -12, 0, 6, 20, -6
-1,7:-4, 4, -2, -12, -2, 8, 0, 6, 0, 20, -16
-5,-6:-4, 4, -2, -8, -10, -12, -6, -2, 0, -2, -2
-5,-6:-4, 4, -2, -8, -10, -12, -6, -2, 0, -2, 0
-5,-6:-4, 4, -2, -8, -10, -12, -6, -2, 0, -2, 2
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -18, -20, -4
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -18, -4, -20
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -18, -4, -10
7,11:-4, 4, 4, 6, 6, 4, -14, -4, 2, 16, -2
1,7:-4, 4, 6, 4, 6, 6, -2, -10, 4, -6, 18
10,14:6, -4, -4, 4, 4, 4, -14, -4, 2, -4, 16
10,14:6, -4, -4, 4, 4, 4, -14, -4, 2, 16, -4
5,11:6, -4, 6, 6, -2, -4, -4, 4, 0, 18, -8
2,8:6, 6, -2, -4, -4, -10, -16, -4, 4, 18, -12
2,8:6, 6, -2, -4, -4, -10, -16, -4, 4, 18, -10
2,8:6, 6, -2, -4, -4, -10, -16, -4, 4, 18, -8
2,8:6, 6, -2, -4, -4, 4, 0, -10, 0, 18, -6
2,8:6, 6, -2, -4, -4, 4, 0, -10, 0, 18, -4
5,-2:6, 6, -2, -4, -4, 4, 0, 16, 4, -8, -4
4,12:6, 6, -2, -4, 4, -2, 16, 4, 0, 6, 20
0,18:6, 6, -2, -4, 12, 2, 18, 10, 16, -12, 30
4,16:6, 6, -2, 4, 10, 16, 12, 4, 10, 0, 24
-7,0:6, 6, -2, 14, 8, 16, 10, 22, 22, 6, 10
3,15:6, 6, 8, -4, -4, 10, 14, 30, 6, 26, 24
3,15:6, 6, 8, -4, -4, 10, 14, 30, 6, 26, 26
-2,10:6, 6, 8, -4, 2, 10, 4, 10, 4, -4, 24
-2,10:6, 6, 8, -4, 2, 10, 4, 10, 4, 0, 24
-6,12:6, 6, 14, 10, -4, 10, 16, 10, 16, 10, 30
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, -10, 18, 16
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, -2, 6, 12
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, -2, 6, 22
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, 18, 16, -10
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, 18, 16, -8
-6,-2:6, 6, 14, 10, 4, -6, 4, 12, 18, 16, -6
-6,12:6, 6, 14, 10, 10, 16, 10, 16, 10, 30, -4
-6,12:6, 6, 14, 10, 10, 16, 10, 16, 10, 30, -2
-6,12:6, 6, 14, 10, 10, 16, 10, 16, 10, 30, 0
