8,-1:-4, 4, -2, 6, 4, 4, -16
8,-1:-4, 4, -2, 6, 6, 2, -16, 10
13,-2:-4, -12, -8, -14, -10, -16, -14, 2, 6
13,2:-4, -12, 4, -6, 2, -4, 6, 10, -18
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 8
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 16
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 20
11,2:6, -4, -4, 4, -2, 6, 4, 4, -16
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 2
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 4
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 6
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, 2, -28
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 8
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 10
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 12
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, 8, -14
-2,-9:-4, -12, -8, -2, 8, -2, -10, 4, -4, -20
-2,-9:-4, -12, -8, -2, 8, -2, -10, 4, -4, -10
0,-10:-4, -12, 4, -6, -14, -8, -20, -20, -4, -8
10,-5:-4, -6, 0, -8, -2, -8, 0, -2, -2, -22
15,0:-4, -6, 6, -8, -12, -28, 6, -4, -24, -24
15,0:-4, -6, 6, -8, -12, -28, 6, -4, -24, -22
10,-5:-4, -6, 6, 0, -8, -2, -8, -2, 6, -22
18,-3:-4, 4, -10, 6, 0, -16, -8, -14, 14, -28
16,1:-4, 4, -2, -14, -8, -10, -2, -8, 2, -22
12,1:-4, 4, -2, -14, 6, 4, -2, 2, -4, -18
-2,2:-4, 4, -2, -14, 6, 6, 2, -2, 10, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 8
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 12
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 14
11,2:6, -4, -4, 4, -2, 6, 6, 2, -16, 10
14,7:6, 6, -2, -2, -2, 6, 0, -14, 16, 6
14,7:6, 6, -2, -2, -2, 6, 0, 16, 6, -14
22,5:-4, -14, -12, 14, -12, -4, -10, -2, -4, -4, -24
2,7:-4, -14, -8, 10, 10, 18, 12, 20, 18, 18, -2
2,0:-4, -14, 10, 10, 8, 14, 6, 0, -6, 8, 14
2,0:-4, -14, 10, 10, 8, 14, 6, 0, -6, 8, 22
2,0:-4, -14, 10, 10, 8, 14, 6, 0, -6, 14, 8
2,0:-4, -14, 10, 10, 8, 14, 6, 0, -6, 14, 10
2,0:-4, -14, 10, 10, 8, 14, 6, 0, 8, 14, -6
2,0:-4, -14, 10, 10, 8, 14, 6, 0, 8, 14, 2
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, -2, 0
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, -2, 2
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, -2, 4
16,-9:-4, -12, -8, -14, -20, -20, -2, -6, -4, -12, 2
16,-9:-4, -12, -8, -14, -20, -20, -2, -6, -4, -12, 4
16,-9:-4, -12, -8, -14, -20, -20, -2, -6, -4, -12, 6
16,-9:-4, -12, -8, -14, -20, -20, -2, -6, -4, 2, -12
13,-2:-4, -12, -8, -14, -10, -22, -16, -14, 2, 6, -28
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -20, 4, -4
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -20, 8, -10
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -20, 8, -8
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -20, 8, -6
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 4, 6
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 4, 8
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 4, 10
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -12, 8, -4
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, 4, -12, 0
-2,-9:-4, -12, -8, -2, 8, -2, -10, -12, -24, 8, -16
-2,-9:-4, -12, -8, -2, 8, -2, -10, -12, -24, 8, -12
-2,-9:-4, -12, -8, -2, 8, -2, -10, -12, -12, 8, -24
-2,-9:-4, -12, -8, -2, 8, -2, -10, -12, -12, 8, -14
9,-1:-4, -12, 4, -6, -8, -2, 6, 6, 12, -2, 16
9,-1:-4, -12, 4, -6, -8, -2, 6, 6, 12, -2, 20
9,-1:-4, -12, 4, -6, -8, -2, 6, 6, 12, 16, -2
