5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 2
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 4
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -16
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -14
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -12
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -4
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -2
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, 0
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -20
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -18
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -16
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 28
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 0
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 2
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 4
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 18
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 20
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 22
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 2
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 4
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 6
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 14
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 16
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 18
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, -2
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, 0
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, 2
