16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
16,-5:-4, -12, -8, -14, 2, 4, -8, -12, -14, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -6
4,-3:-4, -6, 6, -8, -12, -24, -8, -10, 0, -24
27,-11:-4, -6, 6, 10, -6, -16, -4, -4, -2, -10
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -10
-3,2:6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 16
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 24, 26
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 28
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 30
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 2, 4
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 6
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 8
-1,7:-4, -12, -8, -18, -2, -2, -10, -6, -12, -2, -4
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, -10
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, 0
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -6
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -4
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -20
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -18
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -14, -16
6,-9:-4, -6, 6, -8, -8, 0, 4, -4, 2, 4, 8
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -22
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -16, -14
-5,3:-4, -6, 6, 0, 8, 4, -4, 0, -8, -10, -14
11,-9:-4, -6, 6, 6, 2, -8, 2, -6, -14, 0, -8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 2
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, -2, 0
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 4
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -14
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -4
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, -16, 8
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -16
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -14
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -2, 8, -16
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -8
3,-1:6, -4, -4, -12, 4, -6, -8, 4, 4, -4, -8
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 10, 12
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 14
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 16
-10,29:6, 6, 8, -4, -8, 8, 6, 6, 18, 4, 12
-2,6:6, 6, 8, -4, 10, 14, 8, 2, 24, 12, 26
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 14, 14, 14
