3,3:6, -4
-8,7:-4, -14, -8
-8,7:-4, -14, -6
-8,7:-4, -14, -4
12,5:-4, -14, 14
12,5:-4, -14, 16
12,5:-4, -14, 18
4,5:6, -4, 6
-8,7:-4, -14, -12, -10
-8,7:-4, -14, -12, -8
-8,7:-4, -14, -12, -6
14,6:-4, -14, -12, 14
14,6:-4, -14, -12, 16
14,6:-4, -14, -12, 18
-6,8:-4, -14, -8, 10
-6,8:-4, -14, 10, -8
-6,8:-4, -14, 10, -6
-6,8:-4, -14, 10, -4
12,5:-4, -14, 10, 12
12,5:-4, -14, 10, 14
12,5:-4, -14, 10, 16
14,6:-4, -14, 14, -12
5,-6:-4, -12, -4, -8
-2,1:-4, -6, -14, -2
6,6:6, -4, 6, -4
6,14:6, 6, 16, -16
6,14:6, 6, 16, -14
6,14:6, 6, 16, -12
8,-6:6, 6, 16, 6
8,-6:6, 6, 16, 8
8,-6:6, 6, 16, 10
