4,-6:-4, 2, 0, -12
4,-6:-4, 2, 0, -2
1,9:6, 6, -4, 0
1,0:6, 6, -2, 16
1,0:6, 6, 8, 16
-1,5:-4, -6, -14, 6, 0
7,0:-4, -6, -8, -18, -20
6,-10:-4, -6, -8, -18, -4
6,-10:-4, -6, -8, -18, 0
6,-10:-4, -6, -8, -4, -18
6,-10:-4, -6, -8, -4, -8
6,-10:-4, -6, -8, -2, -14
-1,5:-4, -6, 6, 0, -14
-1,5:-4, -6, 6, 0, -4
4,-6:-4, -6, 6, 0, 2
4,-6:-4, -6, 6, 0, 12
4,-6:-4, -6, 6, 4, 2
4,-6:-4, -6, 6, 4, 4
4,-6:-4, -6, 6, 4, 6
4,-6:-4, 4, -10, -12, 2
4,-6:-4, 4, -10, 2, -14
4,-6:-4, 4, -10, 2, -12
4,-6:-4, 4, -10, 2, -10
6,6:-4, 4, -2, -12, -6
7,-3:6, -4, -4, -6, 0
1,0:6, 6, 14, 16, -4
1,0:6, 6, 14, 16, 0
-8,14:-4, -14, -8, 20, 10, 14
-8,5:-4, -14, -8, 20, 12, 30
-8,5:-4, -14, -8, 20, 22, 30
12,12:-4, -14, 14, -2, -12, -8
12,3:-4, -14, 14, -2, -10, 8
12,3:-4, -14, 14, -2, 0, 8
6,-10:-4, -12, -8, -18, 2, -2
6,-10:-4, -12, -8, -18, 2, 2
4,-6:-4, -12, 4, 6, 4, 0
4,-6:-4, -12, 4, 6, 4, 2
2,-8:-4, -12, 4, 6, 10, -6
2,-8:-4, -12, 4, 6, 10, -4
2,-8:-4, -12, 4, 6, 10, -2
6,-10:-4, -6, -8, -18, -2, -10
6,-10:-4, -6, -8, -18, -2, -8
6,-10:-4, -6, -8, -18, -2, -6
2,0:-4, -6, -8, -16, -16, -24
6,-10:-4, -6, -8, -10, -14, -6
6,-10:-4, -6, -8, -10, -14, -4
6,-10:-4, -6, -8, -10, -14, -2
6,-10:-4, -6, -8, -2, -12, -12
6,-10:-4, -6, -8, -2, -12, -10
6,-10:-4, -6, -8, -2, -12, -8
6,-10:-4, -6, 0, -8, -12, -6
4,-6:-4, -6, 6, 4, 10, 4
4,-6:-4, -6, 6, 4, 10, 6
4,-6:-4, -6, 6, 4, 10, 8
4,-6:-4, -6, 6, 6, 2, 4
4,-6:-4, -6, 6, 6, 2, 6
4,-6:-4, -6, 6, 6, 2, 8
10,-3:-4, -6, 6, 10, -6, 2
4,-6:-4, 2, 0, -8, -4, -12
9,5:-4, 2, 2, -8, -16, -12
9,-4:-4, 2, 2, -8, -14, 4
9,-4:-4, 2, 2, -8, -4, 4
4,-6:-4, 2, 6, 4, 0, -14
4,-6:-4, 4, -10, -12, 0, -8
4,-6:-4, 4, -10, -12, 0, -6
4,-6:-4, 4, -10, -12, 0, -4
4,-6:-4, 4, -10, 2, -6, -12
4,-6:-4, 4, -10, 2, -6, -10
4,-6:-4, 4, -10, 2, -6, -8
-10,-1:-4, 4, -2, -12, 6, -12
17,-10:-4, 4, -2, 6, 4, 0
4,-6:-4, 4, 4, -6, 0, 14
-4,10:-4, 4, 4, -6, 2, 4
-4,10:-4, 4, 4, -6, 4, 2
4,-6:-4, 4, 4, 4, 8, -8
4,-6:-4, 4, 4, 4, 8, -2
4,-6:-4, 4, 4, 4, 8, 2
7,-3:6, -4, -4, 2, 0, -12
7,-3:6, -4, -4, 2, 0, -2
4,12:6, -4, 6, 6, -4, 0
4,3:6, -4, 6, 6, -2, 16
4,3:6, -4, 6, 6, 8, 16
-3,7:6, 6, -2, 4, 8, 2
1,0:6, 6, -2, 4, 8, 16
1,0:6, 6, -2, 4, 16, 8
1,0:6, 6, -2, 4, 16, 14
1,0:6, 6, -2, 14, 16, 2
1,0:6, 6, -2, 14, 16, 4
1,0:6, 6, -2, 14, 16, 6
5,11:6, 6, 14, 6, 0, 0
