16,2:-4, -12, -8, -2, -14, -8, -20
5,-11:-4, -12, -8, -2, -14, -8, -18
5,-11:-4, -12, -8, -2, -14, -8, -16
10,-15:-4, -6, 6, -8, -12, 6, -4
14,-18:-4, 2, 0, -8, 4, -22, -22
14,-18:-4, 2, 0, -8, 4, -22, -20
3,-7:-4, 2, 6, -8, 6, -2, -14
3,-7:-4, 2, 6, -8, 6, -2, -12
3,-7:-4, 2, 6, -8, 6, -2, -10
-16,18:-4, -14, 10, 10, 2, 6, 2, 28
5,-11:-4, -12, -8, -2, -14, -8, -12, -12
5,-11:-4, -12, -8, -2, -14, -8, -12, -8
5,-11:-4, -12, -8, -2, -14, -8, -10, -12
5,-11:-4, -12, -8, -2, -14, -8, -6, -10
5,-11:-4, -12, -8, -2, -14, -8, -6, -8
5,-11:-4, -12, -8, -2, -14, -8, -6, -6
4,-7:-4, -12, -4, -4, -10, -18, -8, 6
16,-22:-4, -6, -8, -4, -14, -2, -28, -28
16,-22:-4, -6, -8, -4, -14, -2, -28, -26
4,-5:-4, -6, 0, -2, -30, -4, 2, 0
4,-5:-4, -6, 0, -2, -30, -4, 2, 2
24,-1:-4, -6, 0, -2, -14, -20, -14, -16
24,-1:-4, -6, 0, -2, -14, -20, -14, -14
10,-15:-4, -6, 6, -8, -12, -4, -12, 2
10,-15:-4, -6, 6, -8, -12, -4, 2, -12
13,-14:-4, -6, 6, -8, -12, 6, -4, -22
-1,9:-4, -6, 6, 10, -14, -4, -2, -4
-1,9:-4, -6, 6, 10, -14, -4, -2, 0
14,-18:-4, 2, 0, -8, 4, -22, -16, -22
14,-18:-4, 2, 0, -8, 4, -22, -16, -20
14,-18:-4, 2, 0, -8, 4, -22, -16, -18
14,-18:-4, 2, 0, -8, 4, -18, -12, -22
14,-18:-4, 2, 0, -8, 4, -18, -12, -20
3,-7:-4, 2, 6, -8, 6, -2, -6, -12
3,-7:-4, 2, 6, -8, 6, -2, -6, -10
3,-7:-4, 2, 6, -8, 6, -2, -6, -8
3,1:-4, 4, -10, 2, -16, -10, -6, -10
-3,13:6, 6, -4, -4, 2, 6, -6, 12
-3,13:6, 6, -4, -4, 2, 6, 12, -6
-3,13:6, 6, -4, -4, 2, 6, 12, -4
-3,13:6, 6, -4, -4, 2, 6, 12, -2
1,-1:6, 6, -2, -4, -4, -10, -18, 16
1,-1:6, 6, -2, -4, -4, -10, 16, -18
1,-1:6, 6, -2, -4, -4, -10, 16, -14
-1,1:6, 6, -2, -4, 4, -2, 8, 14
1,-1:6, 6, 8, -4, -4, -10, -18, 6
1,-1:6, 6, 8, -4, -4, -10, -18, 16
