5,-6:-4, -6, 6, -2, 14
5,-6:-4, -6, 6, -2, 16
5,-6:-4, -6, 6, -2, 18
5,-6:-4, -6, 6, -2, 22, 16
5,-6:-4, -6, 6, -2, 22, 18
5,-6:-4, -6, 6, -2, 22, 20
-4,6:6, 6, 8, -4, 4, -16
-4,6:6, 6, 8, -4, 4, -14
-4,6:6, 6, 8, -4, 4, -12
10,5:-4, -12, -14, -4, -4, -6, 6
5,-6:-4, -12, 4, 6, 4, -2, 0
5,-6:-4, -12, 4, 6, 4, -2, 2
5,-14:-4, -6, -14, 6, -2, -16, -4
5,-14:-4, -6, -14, 6, -2, -16, 0
5,-14:-4, -6, -14, 6, -2, -4, -16
5,-14:-4, -6, -14, 6, -2, -4, -6
4,2:-4, -6, -8, -10, -20, -2, -8
4,2:-4, -6, -8, -10, -20, -2, -6
4,2:-4, -6, -8, -10, -20, -2, -4
4,2:-4, -6, -8, -10, -2, -8, -20
4,2:-4, -6, -8, -10, -2, -8, -10
0,-3:-4, -6, 6, -8, -12, -14, 0
0,-3:-4, -6, 6, -8, -8, 0, -18
0,-3:-4, -6, 6, -8, -8, 0, -12
5,-6:-4, -6, 6, -2, 12, 10, 18
5,-6:-4, -6, 6, -2, 22, 12, 14
5,-6:-4, -6, 6, -2, 22, 12, 16
5,-6:-4, -6, 6, -2, 22, 12, 18
4,-2:-4, 2, 6, 0, 14, -4, -6
36,-8:-4, 4, -10, 2, -16, -26, -8
36,-8:-4, 4, -10, 2, -16, -26, -6
36,-8:-4, 4, -10, 2, -16, -26, -4
8,-3:6, -4, -4, -6, 6, -2, 14
8,-3:6, -4, -4, -6, 6, -2, 16
8,-3:6, -4, -4, -6, 6, -2, 18
-4,6:6, 6, 8, -4, 4, -20, -18
-4,6:6, 6, 8, -4, 4, -20, -16
-4,6:6, 6, 8, -4, 4, -20, -14
-13,11:-4, -14, -8, 20, 22, 10, 18, -2
-13,11:-4, -14, -8, 20, 22, 10, 18, 0
-13,11:-4, -14, -8, 20, 22, 10, 18, 2
7,9:-4, -14, 14, -2, 0, -12, -4, -24
7,9:-4, -14, 14, -2, 0, -12, -4, -22
7,9:-4, -14, 14, -2, 0, -12, -4, -20
-9,9:-4, -12, -14, -4, 4, 2, -4, 8
-9,9:-4, -12, -14, -4, 4, 2, -4, 18
-9,9:-4, -12, -14, -4, 4, 2, 8, -4
-9,9:-4, -12, -14, -4, 4, 2, 8, 0
6,-12:-4, -12, 4, -6, -14, -8, -2, -12
0,-3:-4, -12, 4, 6, -8, -18, 0, -20
0,-3:-4, -12, 4, 6, -8, -18, 0, -10
5,-6:-4, -12, 4, 6, 4, -2, 6, 0
5,-6:-4, -12, 4, 6, 4, -2, 6, 2
5,-6:-4, -12, 4, 6, 4, -2, 6, 4
7,-10:-4, -6, 0, -8, -12, 0, -8, 8
7,-10:-4, -6, 0, -8, -12, 0, -8, 10
7,-10:-4, -6, 0, -8, -12, 0, -8, 12
0,-3:-4, -6, 6, -8, -10, -20, 0, -12
0,-3:-4, -6, 6, -8, -10, -20, 0, -10
0,-3:-4, -6, 6, -8, -10, -20, 0, -8
0,-3:-4, -6, 6, -8, -8, -16, 0, -20
0,-3:-4, -6, 6, -8, -8, -16, 0, -18
0,-3:-4, -6, 6, -8, -8, -16, 0, -16
16,-4:-4, -6, 6, -8, 0, 2, -10, -10
5,-6:-4, -6, 6, -2, 12, 10, 2, 12
5,-6:-4, -6, 6, -2, 12, 10, 2, 16
5,-6:-4, -6, 6, -2, 12, 10, 16, 2
5,-6:-4, -6, 6, -2, 12, 10, 16, 12
5,-6:-4, -6, 6, -2, 12, 18, 18, 4
5,-6:-4, -6, 6, -2, 12, 18, 18, 14
5,-6:-4, -6, 6, -2, 22, 12, 22, 16
5,-6:-4, -6, 6, -2, 22, 12, 22, 18
5,-6:-4, -6, 6, -2, 22, 12, 22, 20
1,-6:-4, -6, 6, 0, -8, -18, 14, -8
4,2:-4, 2, 2, -8, -4, -16, -8, -28
4,2:-4, 2, 2, -8, -4, -16, -8, -26
4,2:-4, 2, 2, -8, -4, -16, -8, -24
0,-3:-4, 2, 6, -14, -18, -6, 0, -18
0,-3:-4, 2, 6, -14, -18, -6, 0, -8
0,-3:-4, 2, 6, -14, -18, 2, 0, -18
0,-3:-4, 2, 6, -14, -18, 2, 0, -16
0,-3:-4, 2, 6, -14, -18, 2, 0, -14
36,-8:-4, 4, -10, 2, -16, -26, -12, -10
36,-8:-4, 4, -10, 2, -16, -26, -12, -8
36,-8:-4, 4, -10, 2, -16, -26, -12, -6
-10,16:-4, 4, 4, -6, 4, -8, 22, 4
-10,16:-4, 4, 4, -6, 4, -8, 22, 6
-10,16:-4, 4, 4, -6, 4, -8, 22, 8
5,-6:-4, 4, 4, 6, -6, -2, 16, 14
8,-3:6, -4, -4, -6, 6, -2, 22, 16
8,-3:6, -4, -4, -6, 6, -2, 22, 18
8,-3:6, -4, -4, -6, 6, -2, 22, 20
-1,9:6, -4, 6, 6, 8, -4, 4, -16
-1,9:6, -4, 6, 6, 8, -4, 4, -14
-1,9:6, -4, 6, 6, 8, -4, 4, -12
0,5:6, 6, -4, -4, 2, -12, 6, 8
-4,6:6, 6, -2, -4, -2, 4, 4, 0
-4,6:6, 6, -2, -4, -2, 4, 4, 2
-12,6:6, 6, -2, -4, 16, 4, 2, 8
-12,6:6, 6, -2, -4, 16, 4, 2, 18
-12,6:6, 6, -2, -4, 16, 4, 8, 2
-12,6:6, 6, -2, -4, 16, 4, 8, 6
-6,37:6, 6, -2, 12, 0, 18, 28, 6
-6,37:6, 6, -2, 12, 0, 18, 28, 8
-6,37:6, 6, -2, 12, 0, 18, 28, 10
-4,6:6, 6, 8, -4, 4, -20, -10, -16
-4,6:6, 6, 8, -4, 4, -20, -10, -14
-4,6:6, 6, 8, -4, 4, -20, -10, -12
-4,6:6, 6, 8, -4, 4, -10, -8, -16
-1,1:6, 6, 8, -4, 10, 10, 2, 14
-1,1:6, 6, 8, -4, 10, 10, 2, 20
-1,1:6, 6, 8, -4, 10, 10, 14, 2
4,5:6, 6, 8, 10, 12, 4, 6, 12
4,5:6, 6, 8, 10, 12, 4, 6, 22
