4,-8:-4, -6, 6, 10, -4, -2
-2,3:-4, -6, 6, -8, -12, -14, 6
-2,3:-4, -6, 6, -8, -12, 6, -14
-2,3:-4, -6, 6, -8, -8, 6, -18
-2,3:-4, -6, 6, -8, -8, 6, -12
4,-8:-4, -6, 6, 10, -4, -6, 6
4,-8:-4, -6, 6, 10, -4, -6, 8
4,-8:-4, -6, 6, 10, -4, -6, 10
4,-8:-4, -6, 6, 10, -4, 6, -6
4,-8:-4, -6, 6, 10, -4, 6, -4
4,-8:-4, -6, 6, 10, -4, 6, -2
10,-4:-4, 2, 6, 0, 14, -12, -4
10,-4:-4, 2, 6, 0, 14, -4, -12
-6,5:6, 6, 8, -4, -8, 6, 4
-2,3:-4, -12, 4, 6, -8, -18, 6, -20
-2,3:-4, -12, 4, 6, -8, -18, 6, -10
-2,3:-4, -6, 6, -8, -18, -20, 6, -8
-2,3:-4, -6, 6, -8, -18, -20, 6, -6
-2,3:-4, -6, 6, -8, -18, -20, 6, -4
-2,3:-4, -6, 6, -8, -10, -20, 6, -12
-2,3:-4, -6, 6, -8, -10, -20, 6, -10
-2,3:-4, -6, 6, -8, -10, -20, 6, -8
-2,3:-4, -6, 6, -8, -8, -16, 6, -20
-2,3:-4, -6, 6, -8, -8, -16, 6, -18
-2,3:-4, -6, 6, -8, -8, -16, 6, -16
4,-8:-4, -6, 6, 10, -4, -6, 2, 4
4,-8:-4, -6, 6, 10, -4, -6, 2, 6
4,-8:-4, -6, 6, 10, -4, -6, 2, 8
-2,3:-4, 2, 6, -14, -18, -18, 6, 2
-2,3:-4, 2, 6, -14, -18, -6, 6, -18
-2,3:-4, 2, 6, -14, -18, -6, 6, -8
-2,3:-4, 2, 6, -14, -18, 2, 6, -18
-2,3:-4, 2, 6, -14, -18, 2, 6, -16
-2,3:-4, 2, 6, -14, -18, 2, 6, -14
-2,3:-4, 2, 6, -8, 6, 4, -36, -20
-2,3:-4, 4, -10, -12, 6, -14, 6, -6
-2,3:-4, 4, -10, -12, 6, -14, 6, -4
7,-5:6, -4, -4, -6, 6, 10, -4, -2
-2,11:6, 6, -4, -4, 2, -12, 6, 14
-2,11:6, 6, -4, -4, 2, -12, 14, 6
-6,5:6, 6, 8, -4, -8, -8, 6, 4
-6,5:6, 6, 8, -4, -8, -8, 6, 6
-6,5:6, 6, 8, -4, -8, -8, 6, 8
-6,5:6, 6, 8, -4, -8, 6, 6, -8
-6,5:6, 6, 8, -4, -8, 6, 6, -6
-6,5:6, 6, 8, -4, -8, 6, 6, -4
5,-1:6, 6, 8, -4, -4, 10, 10, 14
5,-1:6, 6, 8, -4, -4, 10, 10, 20
5,-1:6, 6, 8, -4, -4, 10, 14, 16
5,-1:6, 6, 8, -4, 10, 10, 14, -4
