-2,3:-4, -6, 6, -8, -12, -14
-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
10,-4:-4, 2, 6, 0, 14, -4
-2,3:-4, -12, 4, 6, -8, -18, -20
-2,3:-4, -12, 4, 6, -8, -18, -10
-2,3:-4, -6, 6, -8, -18, -20, -8
-2,3:-4, -6, 6, -8, -18, -20, -6
-2,3:-4, -6, 6, -8, -18, -20, -4
-2,3:-4, -6, 6, -8, -10, -20, -12
-2,3:-4, -6, 6, -8, -10, -20, -10
-2,3:-4, -6, 6, -8, -10, -20, -8
-2,3:-4, -6, 6, -8, -8, -16, -20
-2,3:-4, -6, 6, -8, -8, -16, -18
-2,3:-4, -6, 6, -8, -8, -16, -16
-2,3:-4, 2, 6, -14, -18, -18, 2
-2,3:-4, 2, 6, -14, -18, -6, -18
-2,3:-4, 2, 6, -14, -18, -6, -8
-2,3:-4, 2, 6, -14, -18, 2, -18
-2,3:-4, 2, 6, -14, -18, 2, -16
-2,3:-4, 2, 6, -14, -18, 2, -14
-2,3:-4, 4, -10, -12, 6, -14, -6
-2,3:-4, 4, -10, -12, 6, -14, -4
-2,11:6, 6, -4, -4, 2, -12, 6
5,-1:6, 6, 8, -4, 10, 10, 14
5,-1:6, 6, 8, -4, 10, 10, 20
5,-1:6, 6, 8, -4, 10, 14, 16
-8,11:-4, -14, 10, 10, 16, 20, 0, 4
-8,11:-4, -14, 10, 10, 16, 20, 0, 6
13,0:-4, -12, -8, -14, 0, -14, -24, -8
-2,3:-4, -12, 4, 6, -8, -14, -10, -14
10,-20:-4, -6, -8, -16, -28, -28, -8, -24
-2,3:-4, -6, 6, -8, -18, -20, 0, -6
-2,3:-4, -6, 6, -8, -18, -20, 0, -4
-2,3:-4, -6, 6, -8, -18, -20, 0, -2
-2,3:-4, -6, 6, -8, -18, -14, -24, -10
-2,3:-4, -6, 6, -8, -18, -14, -10, -24
-2,3:-4, -6, 6, -8, -18, -14, -10, -14
-2,3:-4, -6, 6, -8, -12, -24, -20, -8
-2,3:-4, -6, 6, -8, -12, -24, -20, -6
-2,3:-4, -6, 6, -8, -12, -24, -8, -20
-2,3:-4, -6, 6, -8, -12, -24, -8, -14
-2,3:-4, -6, 6, -8, -10, -20, -4, -10
-2,3:-4, -6, 6, -8, -10, -20, -4, -8
-2,3:-4, -6, 6, -8, -10, -20, -4, -6
-2,3:-4, -6, 6, -8, -8, -22, -16, -24
-2,3:-4, -6, 6, -8, -8, -16, -24, -22
-2,3:-4, -6, 6, -8, -8, -16, -24, -20
-2,3:-4, -6, 6, -8, -8, -16, -24, -18
-2,3:-4, -6, 6, -8, 0, -12, -20, -2
7,-6:-4, 2, 0, -8, -14, -8, -4, 2
0,2:-4, 2, 0, -8, -14, 2, -2, -2
0,2:-4, 2, 0, -8, -14, 2, -2, 8
13,-5:-4, 2, 0, -8, -4, -16, -2, 2
-2,3:-4, 2, 6, -14, -22, -6, -8, -20
-2,3:-4, 2, 6, -14, -22, -6, -8, -18
-2,3:-4, 2, 6, -14, -22, -6, -8, -16
-2,3:-4, 2, 6, -14, -18, -22, 2, -20
-2,3:-4, 2, 6, -14, -18, -22, 2, -18
-2,3:-4, 2, 6, -14, -18, -22, 2, -16
-2,3:-4, 2, 6, -14, -18, -18, -8, -12
-2,3:-4, 2, 6, -14, -18, -18, -8, -10
-2,3:-4, 2, 6, -14, -18, -18, -8, -8
-2,3:-4, 2, 6, -14, -8, -12, -18, -10
-2,3:-4, 2, 6, -8, -14, 4, -8, -14
-2,3:-4, 2, 6, -8, -14, 4, -8, -12
-2,3:-4, 2, 6, -8, -14, 4, -8, -10
12,5:-4, 2, 6, -8, 2, -6, 2, -22
12,5:-4, 2, 6, -8, 2, -6, 2, -16
8,-3:-4, 4, -2, -8, -10, -18, -2, 2
29,-1:-4, 4, -2, -8, -10, 2, -28, -16
16,-16:-4, 4, 6, 4, -8, 4, -30, -20
1,6:6, -4, -4, -6, 6, -8, -12, -14
1,6:6, -4, -4, -6, 6, -8, -8, -18
1,6:6, -4, -4, -6, 6, -8, -8, -12
13,-1:6, -4, -4, 2, 6, 0, 14, -4
5,-1:6, 6, -4, -4, 16, 0, 16, 16
5,-1:6, 6, -4, -4, 16, 0, 16, 18
5,-1:6, 6, -4, -4, 16, 0, 16, 20
5,-1:6, 6, -4, -4, 16, 16, 8, 10
5,-1:6, 6, -4, -4, 16, 16, 8, 20
5,-1:6, 6, -4, -4, 16, 16, 16, 0
5,-1:6, 6, -2, -4, 12, 12, 16, 6
5,-1:6, 6, -2, -4, 12, 12, 16, 8
5,-1:6, 6, -2, -4, 14, 10, 10, 12
5,-1:6, 6, -2, -4, 14, 10, 10, 22
5,-1:6, 6, 8, -4, 10, 10, 18, 18
5,-1:6, 6, 8, -4, 10, 10, 18, 20
5,-1:6, 6, 8, -4, 10, 10, 18, 22
5,-1:6, 6, 8, -4, 10, 12, 22, 10
5,-1:6, 6, 8, -4, 10, 12, 22, 12
5,-1:6, 6, 8, -4, 10, 12, 22, 14
5,-1:6, 6, 8, -4, 10, 20, 22, 6
5,-1:6, 6, 8, -4, 10, 20, 22, 8
5,-1:6, 6, 8, -4, 10, 20, 22, 10
