-2,-1:-4, -12, -8, -18, -20, 2
-2,-1:-4, -12, -8, -18, -20, 4
-2,-1:-4, -12, -8, -18, -20, 6
-2,-1:-4, -12, -8, -18, 2, -20
-2,-1:-4, -12, -8, -18, 2, -10
3,4:-4, -6, -14, 6, 12, 20
3,4:-4, -6, -14, 6, 12, 22
3,4:-4, -6, -14, 6, 12, 24
-10,6:6, 6, 8, 10, 4, 22
-2,-1:-4, -12, -8, -18, -20, -2, 0
-2,-1:-4, -12, -8, -18, -20, -2, 2
-2,-1:-4, -12, -8, -18, -20, -2, 4
3,4:-4, -6, -14, 6, 12, 28, 22
3,4:-4, -6, -14, 6, 12, 28, 24
3,4:-4, -6, -14, 6, 12, 28, 26
-1,0:-4, -6, 6, 10, -6, -10, 6
-1,0:-4, -6, 6, 10, -6, -10, 8
-1,0:-4, -6, 6, 10, -6, -10, 10
-1,0:-4, -6, 6, 10, -6, 6, -10
-1,0:-4, -6, 6, 10, -6, 6, -6
7,-8:6, -4, -4, -6, -8, -2, -20
5,5:6, 6, -2, -4, 16, -10, -22
5,5:6, 6, -2, -4, 16, -10, -20
5,5:6, 6, -2, -4, 16, -10, -18
0,0:6, 6, 14, 10, -4, 10, 12
0,0:6, 6, 14, 10, -4, 10, 22
0,0:6, 6, 14, 10, 10, 12, -4
0,0:6, 6, 14, 10, 10, 12, -2
0,0:6, 6, 14, 10, 10, 12, 0
-19,11:-4, -14, -8, 20, 22, 24, 18, 36
1,9:-4, -14, 14, -2, 0, 2, -4, 14
-2,-1:-4, -12, -8, -18, -20, -2, 8, 2
-2,-1:-4, -12, -8, -18, -20, -2, 8, 4
-2,-1:-4, -12, -8, -18, -20, -2, 8, 6
-2,-1:-4, -12, -8, -18, -20, 8, 10, 2
-2,-1:-4, -12, -8, -18, -14, -18, 2, -10
-2,-1:-4, -12, -8, -14, -22, -16, -20, 0
-2,-1:-4, -12, -8, -14, 2, -2, -34, -30
4,-6:-4, -12, -4, -4, -10, -18, -2, -4
4,-6:-4, -12, -4, -4, -10, -2, -4, -18
4,-6:-4, -12, -4, -4, -10, -2, -4, -14
4,5:-4, -12, 4, 4, -8, -10, -20, -20
4,5:-4, -12, 4, 4, -8, -10, -20, -10
4,5:-4, -12, 4, 4, -8, -10, -10, -20
4,5:-4, -12, 4, 4, -8, -10, -10, -16
16,-4:-4, -12, 4, 4, -8, -10, -10, -2
16,-4:-4, -12, 4, 4, -8, -10, -10, 2
16,-4:-4, -12, 4, 4, -8, -10, -2, -10
3,4:-4, -6, -14, 6, 12, 28, 18, 20
3,4:-4, -6, -14, 6, 12, 28, 18, 22
3,4:-4, -6, -14, 6, 12, 28, 18, 24
11,5:-4, -6, -8, -18, -20, -10, -16, -28
11,5:-4, -6, -8, -18, -20, -10, -16, -26
11,5:-4, -6, -8, -18, -20, -10, -16, -24
6,-15:-4, -6, 0, -8, -12, -14, -8, -26
-5,6:-4, -6, 6, 0, 8, 4, 0, 4
-1,0:-4, -6, 6, 10, -6, -8, 6, -16
-1,0:-4, -6, 6, 10, -6, -8, 6, -14
-1,0:-4, -6, 6, 10, -6, -8, 6, -12
-1,0:-4, -6, 6, 10, 2, -6, -10, 4
-1,0:-4, -6, 6, 10, 2, -6, -10, 6
-1,0:-4, -6, 6, 10, 2, -6, -10, 8
-1,7:-4, -6, 6, 10, 12, 14, 4, 16
-2,2:-4, 2, 2, -8, -4, -2, -8, 10
-5,6:-4, 2, 6, 0, 8, 4, -10, 4
15,-1:-4, 4, -2, 6, 6, 12, -16, 16
15,-1:-4, 4, -2, 6, 6, 12, -16, 20
15,-1:-4, 4, -2, 6, 6, 12, 16, -16
1,2:6, -4, -4, -12, -8, -18, -20, 2
1,2:6, -4, -4, -12, -8, -18, -20, 4
1,2:6, -4, -4, -12, -8, -18, -20, 6
1,2:6, -4, -4, -12, -8, -18, 2, -20
1,2:6, -4, -4, -12, -8, -18, 2, -10
6,7:6, -4, -4, -6, -14, 6, 12, 20
6,7:6, -4, -4, -6, -14, 6, 12, 22
6,7:6, -4, -4, -6, -14, 6, 12, 24
-7,9:6, -4, 6, 6, 8, 10, 4, 22
5,5:6, 6, -2, -4, 16, -10, -26, -24
5,5:6, 6, -2, -4, 16, -10, -26, -22
5,5:6, 6, -2, -4, 16, -10, -26, -20
1,1:6, 6, 8, -4, -8, -8, 8, 8
1,1:6, 6, 8, -4, -8, -8, 8, 12
1,1:6, 6, 8, -4, -8, 8, 8, -8
1,1:6, 6, 8, -4, -8, 8, 8, -6
1,1:6, 6, 8, -4, -8, 8, 8, -4
0,0:6, 6, 14, 10, 4, 10, 12, -2
0,0:6, 6, 14, 10, 4, 10, 12, 0
0,0:6, 6, 14, 10, 4, 10, 12, 2
