7,1:-4, 4, 6, 4, -8, -14, 4, -4, 6, -4, -4
10,14:6, 6, 16, -8, -8, -6, -4, 4, 10, -10, 6
-1,15:-4, -12, -14, 4, 4, 4, 6, 8, -2, -2, -2, -12
2,17:-4, -6, 6, 0, 8, -2, 6, 12, 16, 12, 12, 2
2,17:-4, -6, 6, 0, 8, -2, 6, 12, 16, 12, 12, 4
2,17:-4, -6, 6, 0, 8, -2, 6, 12, 16, 12, 12, 6
0,-2:-4, -6, 6, 6, 2, -8, -2, -8, 2, -22, -8, 8
0,-2:-4, -6, 6, 6, 2, -8, -2, -8, 2, -22, -8, 12
0,-2:-4, -6, 6, 6, 2, -8, -2, -8, 2, -22, 8, -8
0,-2:-4, -6, 6, 6, 2, -8, -2, -8, 2, -22, 8, -6
13,5:-4, 2, 6, 6, 12, -14, -18, -18, -6, -6, -6, 16
13,5:-4, 2, 6, 6, 12, -14, -18, -18, -6, -6, -6, 20
13,5:-4, 2, 6, 6, 12, -14, -18, -18, -6, -6, 16, -6
2,10:-4, 4, -10, 6, 6, 2, -8, 4, -8, -10, 12, 10
2,16:6, 6, -2, 12, 0, 18, 20, 8, 16, 24, 26, 16
