2,5:-4, -6, 6, 10, -14, -4, -12, -2, 14, 4
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 16
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 18
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 20
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, 16, -4
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, 16, 0
12,-1:-4, -6, -8, -16, -10, -18, -12, -24, -24, 6, -2
12,-1:-4, -6, -8, -16, -10, -18, -12, -24, 6, -2, -24
-5,11:-4, -6, 6, 6, 2, -8, -2, -8, 2, -22, -4
8,2:6, 6, 8, -4, -8, 16, 6, 14, 4, -12, -2
11,3:-4, -14, 10, -2, 0, 2, -4, 12, 8, -8, -4, 10
11,3:-4, -14, 10, -2, 0, 2, -4, 12, 8, -8, -4, 20
11,3:-4, -14, 10, -2, 0, 2, -4, 12, 8, -8, 20, -4
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 12, 14
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 12, 16
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -4, 12, 18
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -2, 16, -10
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -2, 16, -8
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, -2, 16, -6
4,-5:-4, -12, -8, -4, -14, 0, -12, -12, -6, 12, 12, 8
3,-10:-4, -12, -8, -2, -2, -4, 8, 0, 2, 16, -16, -16
3,-10:-4, -12, -8, -2, -2, -4, 8, 0, 2, 16, -16, -14
3,-10:-4, -12, -8, -2, -2, -4, 8, 0, 2, 16, -16, -12
3,-10:-4, -12, -8, -2, -2, -4, 8, 0, 16, -16, -16, -2
3,-10:-4, -12, -8, -2, -2, -4, 8, 0, 16, -16, -16, 2
2,-11:-4, -12, 4, 4, -6, -6, -14, -16, -8, -4, -12, -10
2,-11:-4, -12, 4, 4, -6, -6, -14, -16, -8, -4, -12, -8
2,-11:-4, -12, 4, 4, -6, -6, -14, -16, -8, -4, -12, -6
12,-1:-4, -6, -8, -16, -10, -18, -12, -28, -18, 6, -2, -18
12,-1:-4, -6, -8, -16, -10, -18, -12, -26, -20, 6, -2, -30
12,-1:-4, -6, -8, -16, -10, -18, -12, -26, -20, 6, -2, -20
12,-1:-4, -6, -8, -16, -10, -18, -12, -24, -22, 6, -2, -18
12,-1:-4, -6, -8, -16, -10, -18, -12, -18, -22, 6, -2, -20
12,-1:-4, -6, -8, -16, -10, -18, -8, -12, -24, 6, -2, -22
12,-1:-4, -6, -8, -16, -10, -18, -8, -12, -24, 6, -2, -18
2,5:-4, -6, 6, 10, -14, -4, -2, 14, 4, -6, -4, -6
2,5:-4, -6, 6, 10, -14, -4, -2, 14, 4, -6, -4, -4
16,-17:-4, 2, 0, -8, 4, -30, -36, -18, -14, -24, -40, -28
16,-17:-4, 2, 0, -8, 4, -30, -36, -18, -14, -24, -28, -40
16,-17:-4, 2, 0, -8, 4, -30, -36, -18, -14, -24, -28, -38
21,7:-4, 4, -10, 2, -16, -8, -6, -6, 0, -6, 0, -4
21,7:-4, 4, -10, 2, -16, -8, -6, -6, 0, -6, 0, -2
14,11:-4, 4, -2, -12, 6, 2, -10, 18, -10, 0, -10, 8
14,11:-4, 4, -2, -12, 6, 2, -10, 18, -10, 0, 8, -10
14,11:-4, 4, -2, -12, 6, 2, -10, 18, -10, 0, 8, -8
5,8:6, -4, -4, -6, 6, 10, -14, -4, -12, -2, 14, 4
14,-5:6, 6, 8, -4, -4, 0, 10, 4, 10, 0, 24, 6
2,12:6, 6, 8, 10, 18, 12, 20, 14, -4, 4, 22, 26
2,12:6, 6, 8, 10, 18, 12, 20, 14, -4, 22, 26, 4
-2,4:6, 6, 14, 10, 6, 16, 2, 12, 14, 8, -18, 2
-2,4:6, 6, 14, 10, 6, 16, 2, 12, 14, 8, -18, 6
-2,4:6, 6, 14, 10, 6, 16, 2, 12, 14, 8, 2, -18
-2,4:6, 6, 14, 10, 6, 16, 2, 12, 14, 8, 2, -16
-2,4:6, 6, 14, 10, 6, 16, 2, 12, 14, 8, 2, -14
