8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 18
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 18, 8
2,0:-4, -6, 6, 10, -4, 2, 2, 8, -4, 0, 2
12,16:-4, 2, 2, -14, -10, 4, 12, 12, 12, 14, -6
8,-4:-4, 2, 2, -14, 6, -12, -4, -4, -4, -2, -22
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -32, -6
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -6, -32
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -6, -22
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -14, -6, -32
20,11:-4, 2, 6, 0, -4, -18, -28, -28, -14, -24, -18
5,3:6, 6, -2, 12, 10, 18, 12, 2, 20, 20, 4
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 14, 16
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 20, 14
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 20, 20
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 20, 22
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 24, 20
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 24, 22
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 24, 24
3,-2:-4, -12, -8, -18, -14, -8, -8, -4, -8, -26, -6, 6
3,6:-4, -12, -8, -4, -4, -14, -20, -14, -2, -16, -14, -12
3,6:-4, -12, -8, -4, -4, -14, -20, -14, -2, -16, -14, -4
8,1:-4, -6, 6, 0, -8, 14, -10, -2, 6, -6, 2, -4
12,16:-4, 2, 2, -14, -10, 4, 12, 12, 12, 20, -6, 2
12,16:-4, 2, 2, -14, -10, 4, 12, 12, 12, 20, -6, 6
8,-4:-4, 2, 2, -14, 6, -12, -4, -4, -4, 4, -22, -14
8,-4:-4, 2, 2, -14, 6, -12, -4, -4, -4, 4, -22, -10
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, -14, 12, 20
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, -14, 12, 22
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, -14, 12, 24
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, -14, 20, 12
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, 12, 20, -14
7,10:-4, 4, -10, -12, -12, -14, -2, 6, 12, 12, 20, -4
0,22:6, 6, 8, 2, 4, 8, 22, 30, 30, 30, 32, 12
-4,2:6, 6, 8, 2, 4, 24, 6, 14, 14, 14, 16, -4
