5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -12
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -2
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -20
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -10
10,-1:-4, -12, 4, 4, -6, -8, -10, -8, -2, -20
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 2
7,5:-4, -6, 6, 10, -10, -14, 12, 14, 2, -6
16,1:-4, -12, -8, -4, -14, -4, -2, -2, 0, -12, -6
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -14
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -12
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -10
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -8
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -6
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -4
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -6, -10
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -4, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -4, 12
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, -2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, 0
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 4
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 6
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 4, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, -6
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, -2
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, -6
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, 4
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 4, 0
-2,4:-4, -6, 6, -2, -4, 12, 20, 14, 22, 20, 6
-6,8:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, -8
7,5:-4, -6, 6, 10, -10, -14, 12, 2, 2, -6, 10
7,5:-4, -6, 6, 10, -10, -14, 12, 2, 2, -6, 20
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 4, 22
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 14, 12
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 14, 22
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 22, 4
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 22, 14
7,8:6, 6, 8, -4, -8, -10, -12, 0, 10, 16, 8
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 0
6,9:-4, -14, 10, 10, 16, 16, 6, -4, 12, 8, 6, 8
0,-1:-4, -12, -8, -18, -2, -2, 4, 2, -6, 2, 8, 0
16,1:-4, -12, -8, -4, -14, -4, -2, -2, 6, -12, -6, 0
16,1:-4, -12, -8, -4, -14, -4, -2, -2, 6, -12, -6, 2
16,1:-4, -12, -8, -4, -14, -4, -2, -2, 6, -12, -6, 4
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -6, -12
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -6, -10
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -6, -8
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -12, -10
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -12, -8
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -12, -6
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -6, -8, -14
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, 4, -2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, 4, 0
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, 4, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, -2, 0
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, -2, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, -2, 4
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 4, 2, 2
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -14, -18, -10
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -8, -36, -20
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -8, -36, -12
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -8, -20, -36
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -8, -20, -28
2,0:-4, -6, -8, -16, -28, -24, 0, -4, 2, -12, -2, -8
7,-5:-4, -6, -8, -16, -28, -24, 0, -4, 2, -12, -2, 2
4,-9:-4, -6, -8, -2, -12, -6, 2, -2, -6, 2, -14, -4
9,-2:-4, -6, 6, -8, -18, -10, -12, 0, -14, 2, -18, -22
14,-7:-4, -6, 6, -8, -18, -10, -12, 0, -14, 2, -18, -12
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, -8, 4
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, 0, -2
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, 4, -8
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, 4, -4
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, -4, -2
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, -4, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, -4, 2
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, -2, 2
9,-9:-4, -6, 6, -8, -12, -18, -12, -16, -14, -38, -18, -24
14,-14:-4, -6, 6, -8, -12, -18, -12, -16, -14, -38, -18, -14
-2,4:-4, -6, 6, -2, -4, 12, 20, 14, 22, 20, 20, 6
-6,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 2, 14, 8
-1,3:-4, -6, 6, 10, -14, 12, 2, 22, -6, 2, 14, 18
-6,8:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, 8, -6
-6,8:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, 8, -2
-1,3:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, 18, -6
-1,3:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, 18, -2
7,5:-4, -6, 6, 10, -10, -14, 12, 4, 2, 18, 18, -6
-1,0:-4, 2, 6, -14, -18, 10, 4, -12, -10, -16, -6, -10
4,-5:-4, 2, 6, -14, -18, 10, 4, -12, -10, -16, -6, 0
-1,1:-4, 2, 6, -8, -16, -16, -2, -6, 6, -4, -12, -4
-1,1:-4, 2, 6, -8, -16, -16, -2, -6, 6, -4, -12, -2
3,-1:-4, 2, 6, 6, 2, -8, -4, 4, 10, -8, 12, 12
3,-1:-4, 2, 6, 6, 2, -8, -4, 4, 10, -8, 18, 12
11,7:-4, 2, 6, 6, 12, -14, -18, -18, 10, -8, 10, 8
6,6:-4, 4, -10, -8, -6, -18, 6, -4, -22, 0, -12, -12
11,1:-4, 4, -10, -8, -6, -18, 6, -4, -16, 0, 4, 0
6,6:-4, 4, -10, -8, -6, -18, 6, 4, -4, -16, 0, -6
11,1:-4, 4, -10, -8, -6, -18, 6, 4, -4, -16, 0, 4
0,5:-4, 4, -10, 6, 4, 10, 0, -8, -6, -12, -2, -6
5,0:-4, 4, -10, 6, 4, 10, 0, -8, -6, -12, -2, 4
12,4:-4, 4, -10, 6, 6, -14, 10, -6, 12, 4, -4, 6
12,4:-4, 4, -10, 6, 6, -14, 10, -6, 12, 4, 6, 0
2,-8:-4, 4, 6, 4, 6, 6, -2, -2, 14, 8, -20, -20
2,-8:-4, 4, 6, 4, 6, 6, -2, -2, 14, 8, -20, -18
2,-8:-4, 4, 6, 4, 6, 6, -2, -2, 14, 8, -20, -16
8,7:6, -4, -4, -12, 4, 4, -6, -8, -10, -20, -8, -12
13,2:6, -4, -4, -12, 4, 4, -6, -8, -10, -20, -8, -2
8,7:6, -4, -4, -12, 4, 4, -6, -8, -10, -8, -12, -20
8,7:6, -4, -4, -12, 4, 4, -6, -8, -10, -8, -12, -10
13,2:6, -4, -4, -12, 4, 4, -6, -8, -10, -8, -2, -20
0,10:6, -4, -4, -6, 6, -8, -18, -10, -2, -2, -20, 2
10,8:6, -4, -4, -6, 6, 10, -10, -14, 12, 14, 2, -6
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, -2, 22, 2
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 0, 22, -4
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 0, 22, -2
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 0, 22, 0
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 2, 22, 2
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 2, 22, 4
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 6, 22, -10
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 6, 22, 0
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 8, 22, 12
