2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 18
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 2
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -4
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, 0
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -12
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -10
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -10
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -16
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -14
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 0
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 2, 8
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 2, 10
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 2, 12
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 8, 0
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 8, 2
7,8:-4, -14, 10, -2, 20, 10, 12, 2, 4, 8, 8, 4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 18, 0
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 18, 2
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 18, 4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 2, 10
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 2, 18
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 14, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 12, 12, 16
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 12, 12, 22
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 12, 16, 18
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, -10, 8, -8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, -10, 8, -6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, -10, 8, -4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 12, 12, 16, 0
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -10, -6
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -10, -4
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -10, -2
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -4, -14
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -4, -12
14,2:-4, -12, -8, -18, -20, -4, -2, -2, 4, -12, -4, -10
14,2:-4, -12, -8, -18, -4, -2, -2, 4, -12, -10, -6, -20
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -8, -6
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -8, -4
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -8, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -16, -14
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -16, -12
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -16, -10
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 4, 8
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 4, 10
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 4, 12
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 10, 0
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 10, 2
4,6:-4, -12, -4, 2, 6, 2, 4, 0, 6, 16, 10, 4
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 6, 12
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 6, 14
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 6, 16
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 12, 4
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 12, 6
6,11:-4, -12, 4, 4, 6, 10, 6, 4, -6, 14, 12, 8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -10, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -10, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -10, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, -4, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, -4, 0
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, -2, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, -2, 0
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, -2, 2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, 0, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -6, 0, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, 0, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, 0, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, 0, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -14, -20
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -14, -12
