14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 2
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 4
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 6
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, 2, -16
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, 2, -14
-1,8:-4, -6, 6, 10, -14, 12, -2, 2, -2, 6, -2
-1,8:-4, -6, 6, 10, -14, 12, -2, 2, -2, 6, 2
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 10, 4
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 10, 6
14,-3:-4, -12, 4, -6, 0, 4, -10, 0, 0, -16, 10, 8
-1,8:-4, -6, 6, 10, -14, 12, -2, 2, -2, 6, 0, -8
-1,8:-4, -6, 6, 10, -14, 12, -2, 2, -2, 6, 0, -6
-1,8:-4, -6, 6, 10, -14, 12, -2, 2, -2, 6, 0, -4
2,12:6, 6, -2, 14, 8, -2, -2, 12, 2, 2, -4, 16
2,12:6, 6, -2, 14, 8, -2, -2, 12, 2, 2, -4, 18
2,12:6, 6, -2, 14, 8, -2, -2, 12, 2, 2, 16, -4
2,12:6, 6, -2, 14, 8, -2, -2, 12, 2, 2, 16, -2
2,12:6, 6, -2, 14, 8, -2, -2, 12, 2, 2, 16, 0
13,-3:6, 6, 8, -4, -8, -10, -4, 16, 4, 4, -4, 0
13,-3:6, 6, 8, -4, -8, -10, -4, 16, 4, 4, -4, 4
