10,-9:-4, -6, 6, -8, -8, 4
10,-9:-4, -6, 6, -8, 4, -8
10,-9:-4, -6, 6, -8, -8, 0, -6
10,-9:-4, -6, 6, -8, -8, 0, 2
10,-9:-4, -6, 6, -8, -8, 6, 0
10,-9:-4, -6, 6, -8, -8, 6, 6
10,-9:-4, -6, 6, -8, -8, 6, 8
10,-9:-4, -6, 6, -8, -8, 10, 6
10,-9:-4, -6, 6, -8, -8, 10, 8
10,-9:-4, -6, 6, -8, -8, 10, 10
2,4:-4, -6, 6, 10, -10, -2, 4
4,3:-4, -6, 6, 10, 6, 6, -2
9,1:-4, 4, -2, -14, 6, 4, 4
9,1:-4, 4, -2, -14, 6, 4, 6
9,1:-4, 4, -2, 6, 4, 4, -14
-7,11:6, 6, 8, -4, 10, -2, 10
-7,11:6, 6, 8, -4, 10, 10, -2
0,1:-4, -14, 10, 10, 18, 12, 14, -6
0,1:-4, -14, 10, 10, 18, 12, 14, 4
7,-10:-4, -12, 4, -6, -14, -8, -12, -16
6,-10:-4, -6, 6, -8, -12, -24, -8, 4
6,-10:-4, -6, 6, -8, -12, -24, 4, -8
6,-10:-4, -6, 6, -8, -12, -24, 4, -6
6,-10:-4, -6, 6, -8, -12, -8, 4, -24
6,-10:-4, -6, 6, -8, -12, -8, 4, -22
10,-9:-4, -6, 6, -8, -8, 0, -2, -6
10,-9:-4, -6, 6, -8, -8, 0, -2, -2
10,-9:-4, -6, 6, -8, -8, 0, 4, -6
10,-9:-4, -6, 6, -8, -8, 0, 4, 0
10,-9:-4, -6, 6, -8, -8, 0, 4, 4
10,-9:-4, -6, 6, -8, -8, 6, 10, 4
10,-9:-4, -6, 6, -8, -8, 6, 10, 6
10,-9:-4, -6, 6, -8, -8, 6, 10, 8
10,-9:-4, -6, 6, -8, -8, 10, 2, 4
10,-9:-4, -6, 6, -8, -8, 10, 2, 6
10,-9:-4, -6, 6, -8, -8, 10, 2, 8
7,-3:-4, -6, 6, 4, -2, -30, -4, 2
7,-3:-4, -6, 6, 4, -2, -30, -4, 6
-3,-4:-4, -6, 6, 6, 12, 16, 0, 0
8,-10:-4, 2, 6, -8, 2, -6, 2, -8
0,6:-4, 2, 6, 0, -8, 6, -8, -22
0,6:-4, 2, 6, 0, -8, 6, -8, -18
6,7:-4, 2, 6, 0, 8, 12, 10, -6
9,1:-4, 4, -2, -14, 6, 4, 10, 4
9,1:-4, 4, -2, -14, 6, 4, 10, 6
9,1:-4, 4, -2, -14, 6, 4, 10, 8
9,1:-4, 4, -2, -14, 6, 6, 2, 6
9,1:-4, 4, -2, -14, 6, 6, 2, 8
9,1:-4, 4, -2, -14, 6, 6, 6, 2
2,-2:-4, 4, -2, -12, -2, -2, -12, -2
7,-1:-4, 4, -2, 6, 4, 4, -16, -8
6,8:-4, 4, 4, 4, 6, 8, 16, 4
-3,-3:-4, 4, 6, 4, -8, -4, -16, -8
13,-6:6, -4, -4, -6, 6, -8, -8, 4
13,-6:6, -4, -4, -6, 6, -8, 4, -8
3,10:6, 6, -2, -4, 4, -2, -4, 16
3,10:6, 6, -2, -4, 4, -2, 16, -4
3,10:6, 6, -2, -4, 4, -2, 16, -2
5,5:6, 6, 8, -4, -8, -8, -4, 4
6,3:6, 6, 8, -4, -8, 10, 4, -2
-7,11:6, 6, 8, -4, -4, 10, 10, -6
-7,11:6, 6, 8, -4, -4, 10, 10, -4
-7,11:6, 6, 8, -4, -4, 10, 10, 2
-7,11:6, 6, 8, -4, 10, -8, 10, -8
-7,11:6, 6, 8, -4, 10, -8, 10, -6
-7,11:6, 6, 8, -4, 10, -8, 10, -4
-7,11:6, 6, 8, -4, 10, 10, 2, 0
-7,11:6, 6, 8, -4, 10, 10, 2, 8
-16,16:-4, -14, -8, 20, 22, 10, 24, 12, 24
-16,16:-4, -14, -8, 20, 22, 10, 24, 24, 12
-4,7:-4, -14, 10, 10, 16, 20, 6, 24, 4
-4,7:-4, -14, 10, 10, 16, 20, 6, 24, 6
-4,7:-4, -14, 10, 10, 16, 20, 6, 24, 8
1,3:-4, -14, 10, 10, 18, 4, 16, 0, 4
0,14:-4, -14, 10, 20, 10, 10, 2, 18, 4
4,14:-4, -14, 14, -2, 0, -12, 2, -10, 2
4,14:-4, -14, 14, -2, 0, -12, 2, 2, -10
1,-13:-4, -12, -8, -14, -22, 2, 4, -20, -12
1,-9:-4, -12, -8, -14, -22, 2, 4, -14, -8
5,-12:-4, -12, -8, -14, -10, -16, -14, -2, -2
5,-12:-4, -12, -8, -14, -10, -16, -14, -2, 2
1,-9:-4, -12, -8, -14, 2, 4, -14, -8, -18
1,-9:-4, -12, -8, -14, 2, 4, -14, -8, -16
1,-9:-4, -12, -8, -14, 2, 4, -14, -8, -14
1,-9:-4, -12, -8, -14, 2, 4, -8, -8, -22
1,-9:-4, -12, -8, -14, 2, 4, -8, -8, -20
1,-9:-4, -12, -8, -14, 2, 4, -8, -8, -18
11,-2:-4, -12, -8, -4, -14, 0, -2, 8, -6
13,1:-4, -12, -8, -2, -14, -8, -20, -10, -10
2,-12:-4, -12, -8, -2, -14, -8, -18, -12, -12
13,1:-4, -12, -8, -2, -14, -8, -10, -10, -20
13,1:-4, -12, -8, -2, -14, -8, -10, -10, -18
14,4:-4, -12, 4, -6, 2, -4, -16, 6, 10
14,4:-4, -12, 4, -6, 2, -4, 6, 10, -16
2,-11:-4, -6, -8, -16, -26, -12, -24, 6, -12
2,-11:-4, -6, -8, -16, -26, -12, 6, -16, -12
12,-13:-4, -6, 0, -8, -12, 0, -14, -14, -2
12,-13:-4, -6, 0, -8, -12, 0, -14, -2, -14
6,-10:-4, -6, 6, -8, -12, -28, -8, 4, -26
6,-10:-4, -6, 6, -8, -12, -28, -8, 4, -24
6,-10:-4, -6, 6, -8, -12, -28, -8, 4, -22
6,-10:-4, -6, 6, -8, -12, -24, -8, 0, -6
6,-10:-4, -6, 6, -8, -12, -24, -8, 0, 2
6,-10:-4, -6, 6, -8, -12, -24, -8, 6, 0
6,-10:-4, -6, 6, -8, -12, -24, -8, 6, 6
6,-10:-4, -6, 6, -8, -12, -24, -8, 6, 8
6,-10:-4, -6, 6, -8, -12, -24, -8, 10, 6
6,-10:-4, -6, 6, -8, -12, -24, -8, 10, 8
6,-10:-4, -6, 6, -8, -12, -24, -8, 10, 10
10,12:-4, -6, 6, -8, -10, 4, -18, -18, -6
10,12:-4, -6, 6, -8, -10, 4, -18, -18, -4
10,-9:-4, -6, 6, -8, -8, 0, -2, -4, 0
10,-9:-4, -6, 6, -8, -8, 0, -2, -4, 2
10,-9:-4, -6, 6, -8, -8, 0, -2, -4, 4
10,-9:-4, -6, 6, -8, -8, 6, 10, 0, 2
10,-9:-4, -6, 6, -8, -8, 6, 10, 0, 4
10,-9:-4, -6, 6, -8, -8, 6, 10, 0, 6
10,-9:-4, -6, 6, -8, -8, 10, 2, 12, 6
10,-9:-4, -6, 6, -8, -8, 10, 2, 12, 8
10,-9:-4, -6, 6, -8, -8, 10, 2, 12, 10
10,-9:-4, -6, 6, -8, -8, 10, 12, 14, 6
6,-9:-4, -6, 6, 0, -8, 14, 0, -20, 6
6,-9:-4, -6, 6, 0, -8, 14, 0, -20, 10
6,-9:-4, -6, 6, 0, -8, 14, 0, 6, -20
7,-3:-4, -6, 6, 4, -2, -30, -4, 4, 8
7,-3:-4, -6, 6, 4, -2, -30, -4, 4, 10
7,-3:-4, -6, 6, 4, -2, -30, -4, 4, 12
16,-8:-4, -6, 6, 10, -4, 6, -8, -30, -28
16,-8:-4, -6, 6, 10, -4, 6, -8, -30, -24
10,-2:-4, -6, 6, 10, 2, -6, -4, -4, -4
9,-3:-4, 2, 0, -8, -14, -14, 4, -10, -10
15,-22:-4, 2, 0, -8, 4, -32, -46, -40, -8
15,-22:-4, 2, 0, -8, 4, -32, -46, -40, -6
15,-22:-4, 2, 0, -8, 4, -32, -46, -8, -40
15,-22:-4, 2, 0, -8, 4, -32, -46, -8, -38
15,-22:-4, 2, 0, -8, 4, -32, -46, -8, -36
11,-19:-4, 2, 0, -8, 4, -28, -28, -22, -20
11,-19:-4, 2, 0, -8, 4, -28, -22, -20, -28
1,7:-4, 2, 2, -8, -4, -16, -2, -14, -2
1,7:-4, 2, 2, -8, -4, -16, -2, -2, -14
14,4:-4, 2, 6, -14, -8, -12, -18, -8, 4
14,4:-4, 2, 6, -14, -8, -12, -18, 4, -8
14,4:-4, 2, 6, -14, -8, -12, -8, 4, -18
14,4:-4, 2, 6, -14, -8, -12, -8, 4, -16
3,-6:-4, 2, 6, -14, 2, -12, -8, 12, 0
3,-6:-4, 2, 6, -14, 2, -12, -8, 12, 2
6,-11:-4, 2, 6, -8, -14, -16, -14, 10, -4
6,-11:-4, 2, 6, -8, -14, -16, -14, 10, -2
6,-11:-4, 2, 6, -8, -14, -16, -14, 10, 0
11,6:-4, 2, 6, -8, -14, -8, 4, 6, 10
1,0:-4, 2, 6, -8, -4, -16, 6, -2, -28
1,0:-4, 2, 6, -8, -4, -16, 6, -2, -20
8,-10:-4, 2, 6, -8, 2, -6, -6, -6, 2
8,-10:-4, 2, 6, -8, 2, -6, -6, 2, -12
8,-10:-4, 2, 6, -8, 2, -6, -6, 2, -6
8,-10:-4, 2, 6, -8, 2, -6, -6, 2, -4
8,-10:-4, 2, 6, -8, 2, -6, 2, -12, -18
8,-10:-4, 2, 6, -8, 2, -6, 2, -12, -10
8,-10:-4, 2, 6, -8, 2, -6, 2, -2, -6
8,-10:-4, 2, 6, -8, 2, -6, 2, -2, -4
8,-10:-4, 2, 6, -8, 2, -6, 2, -2, -2
0,-8:-4, 2, 6, -8, 6, -2, -14, -6, -6
-2,-1:-4, 2, 6, 0, -8, -16, 14, -10, -4
-2,-1:-4, 2, 6, 0, -8, -16, 14, -10, -2
-2,-1:-4, 2, 6, 0, -8, -16, 14, -10, 0
-2,-1:-4, 2, 6, 0, -8, -16, 14, -4, -10
0,6:-4, 2, 6, 0, -8, -4, -10, -14, 6
0,6:-4, 2, 6, 0, -8, -4, -10, 6, -14
0,6:-4, 2, 6, 0, -8, -4, -10, 6, -4
0,6:-4, 2, 6, 0, -8, -4, 6, -4, -10
0,6:-4, 2, 6, 0, -8, -4, 6, -4, -6
0,6:-4, 2, 6, 0, -8, 6, -8, -20, -28
0,6:-4, 2, 6, 0, -8, 6, -8, -20, -26
0,6:-4, 2, 6, 0, -8, 6, -8, -20, -24
20,7:-4, 2, 6, 0, -4, -22, -22, -12, 4
20,7:-4, 2, 6, 0, -4, -22, -22, -12, 6
20,7:-4, 2, 6, 0, -4, -22, -22, -12, 8
20,7:-4, 2, 6, 0, -4, -22, -22, 4, -12
20,7:-4, 2, 6, 0, -4, -22, -12, 4, -22
20,7:-4, 2, 6, 0, -4, -22, -12, 4, -20
11,-8:-4, 2, 6, 0, -4, -10, 4, -18, -18
9,2:-4, 2, 6, 4, 10, 0, 10, -6, -14
8,-1:-4, 2, 6, 6, 12, -14, -18, -2, 16
8,-1:-4, 2, 6, 6, 12, -14, -18, -2, 20
8,-1:-4, 2, 6, 6, 12, -14, -18, 16, -2
-3,-4:-4, 2, 6, 6, 12, 16, 0, 0, -12
-3,-4:-4, 2, 6, 6, 12, 16, 0, 0, -2
10,-9:-4, 4, -10, -12, 6, -4, -8, -8, 8
10,-9:-4, 4, -10, -12, 6, -4, -8, -8, 12
-4,-5:-4, 4, -10, -12, 6, -4, 2, 4, -6
8,1:-4, 4, -10, -8, -6, -18, -16, -12, -22
8,1:-4, 4, -10, -8, -6, -18, -16, -12, -18
-2,3:-4, 4, -10, 6, 0, -6, -16, 14, -4
4,2:-4, 4, -10, 6, 0, -4, 8, -2, 0
4,2:-4, 4, -10, 6, 0, -4, 8, 4, 0
9,1:-4, 4, -2, -14, 6, 6, 2, 12, 6
9,1:-4, 4, -2, -14, 6, 6, 2, 12, 8
9,1:-4, 4, -2, -14, 6, 6, 2, 12, 10
9,1:-4, 4, -2, -14, 6, 6, 6, 6, 2
9,1:-4, 4, -2, -14, 6, 6, 6, 6, 4
9,1:-4, 4, -2, -14, 6, 6, 12, 2, 6
9,1:-4, 4, -2, -14, 6, 6, 12, 6, 16
9,1:-4, 4, -2, -14, 6, 6, 12, 6, 20
9,1:-4, 4, -2, -14, 6, 6, 12, 16, 6
9,1:-4, 4, -2, -14, 6, 6, 12, 16, 8
16,-2:-4, 4, -2, -12, -2, -2, -2, -16, 8
16,-2:-4, 4, -2, -12, -2, -2, -2, 8, -16
2,-6:-4, 4, -2, -12, -2, 8, -12, 0, 18
2,-6:-4, 4, -2, -12, -2, 8, -12, 10, 8
2,-6:-4, 4, -2, -12, -2, 8, -12, 10, 18
2,-6:-4, 4, -2, -12, -2, 8, 0, 18, -12
-1,-6:-4, 4, -2, -12, 6, 4, -12, -4, -4
-2,-1:-4, 4, -2, -8, 6, 4, 2, -8, 2
-2,-1:-4, 4, -2, -8, 6, 4, 2, 2, -8
-2,-1:-4, 4, -2, -8, 6, 4, 2, 2, -6
7,-10:-4, 4, -2, 6, 4, 10, 10, 16, 12
7,-10:-4, 4, -2, 6, 4, 10, 10, 16, 22
7,-1:-4, 4, -2, 6, 6, 2, -16, -8, 10
10,-9:-4, 4, 4, -6, 4, 6, -8, -8, 10
10,-9:-4, 4, 4, -6, 4, 6, -8, -8, 14
8,13:-4, 4, 4, 4, -14, -4, 2, -4, 14
8,13:-4, 4, 4, 4, -14, -4, 2, 14, -4
5,-11:-4, 4, 4, 4, 6, 8, 12, -8, -14
13,-6:6, -4, -4, -6, 6, -8, -8, 0, -6
13,-6:6, -4, -4, -6, 6, -8, -8, 0, 2
13,-6:6, -4, -4, -6, 6, -8, -8, 6, 0
13,-6:6, -4, -4, -6, 6, -8, -8, 6, 6
13,-6:6, -4, -4, -6, 6, -8, -8, 6, 8
13,-6:6, -4, -4, -6, 6, -8, -8, 10, 6
13,-6:6, -4, -4, -6, 6, -8, -8, 10, 8
13,-6:6, -4, -4, -6, 6, -8, -8, 10, 10
5,7:6, -4, -4, -6, 6, 10, -10, -2, 4
7,6:6, -4, -4, -6, 6, 10, 6, 6, -2
12,4:6, -4, -4, 4, -2, -14, 6, 4, 4
12,4:6, -4, -4, 4, -2, -14, 6, 4, 6
12,4:6, -4, -4, 4, -2, 6, 4, 4, -14
-4,14:6, -4, 6, 6, 8, -4, 10, -2, 10
-4,14:6, -4, 6, 6, 8, -4, 10, 10, -2
9,7:6, 6, -4, -4, 2, -6, -14, -8, 8
8,1:6, 6, -4, -4, 2, 10, -4, 10, 20
8,1:6, 6, -4, -4, 2, 10, -4, 10, 24
-8,9:6, 6, -4, -4, 10, 0, 8, 0, 10
3,10:6, 6, -2, -4, -4, -6, 4, 16, 0
3,10:6, 6, -2, -4, -4, 4, 0, 16, -6
3,10:6, 6, -2, -4, -4, 4, 0, 16, -4
-1,-2:6, 6, -2, -4, -2, 10, 6, 18, 10
3,10:6, 6, -2, -4, 4, -2, -8, 16, -6
3,10:6, 6, -2, -4, 4, -2, -8, 16, -4
3,10:6, 6, -2, -4, 4, -2, -8, 16, -2
1,8:6, 6, -2, -4, 4, -2, -4, 18, 10
10,7:6, 6, -2, -2, -2, -4, -6, -14, -2
0,3:6, 6, -2, 4, 8, 4, 4, 14, 4
-8,8:6, 6, -2, 14, 8, 16, 10, 14, 18
-2,-2:6, 6, 8, -4, -4, -10, -18, 2, 2
-7,11:6, 6, 8, -4, -4, 10, -8, 10, -6
-7,11:6, 6, 8, -4, -4, 10, -8, 10, -4
-7,11:6, 6, 8, -4, -4, 10, -8, 10, -2
-1,8:6, 6, 8, -4, -2, 4, 24, 6, -4
-1,8:6, 6, 8, -4, -2, 4, 24, 6, 0
-7,11:6, 6, 8, -4, 10, -8, 0, 10, -6
-7,11:6, 6, 8, -4, 10, -8, 0, 10, -4
-7,11:6, 6, 8, -4, 10, -8, 0, 10, -2
-8,7:6, 6, 8, -4, 10, -2, 14, 8, 24
-8,7:6, 6, 8, -4, 10, -2, 14, 8, 26
-8,7:6, 6, 8, -4, 10, -2, 14, 24, 8
-8,7:6, 6, 8, -4, 10, -2, 14, 24, 10
-7,11:6, 6, 8, -4, 10, 10, 2, -2, -2
-7,11:6, 6, 8, -4, 10, 10, 2, -2, 2
-7,11:6, 6, 8, -4, 10, 10, 2, -2, 8
-7,11:6, 6, 8, -4, 10, 10, 2, 4, 4
-7,11:6, 6, 8, -4, 10, 10, 2, 4, 8
-8,7:6, 6, 8, -4, 10, 14, 8, 24, -2
3,1:6, 6, 16, -8, -8, -16, -10, -12, -2
3,1:6, 6, 16, -8, -8, -16, -10, -12, 8
24,-3:-4, -14, -12, 14, -12, -14, -2, -16, -16, -4
24,-3:-4, -14, -12, 14, -12, -14, -2, -16, -4, -16
4,-1:-4, -14, -8, 10, 10, 8, 20, 6, 6, 18
4,-1:-4, -14, -8, 10, 10, 8, 20, 6, 18, 6
-6,15:-4, -14, -8, 20, 12, 10, 18, 12, 10, 30
-6,15:-4, -14, -8, 20, 12, 10, 18, 12, 30, 10
-6,15:-4, -14, -8, 20, 12, 10, 18, 12, 30, 12
-4,10:-4, -14, -8, 20, 22, 10, 6, 6, 10, 18
-3,8:-4, -14, -8, 20, 22, 10, 6, 24, 18, 12
-16,16:-4, -14, -8, 20, 22, 10, 10, 24, 24, 8
-16,16:-4, -14, -8, 20, 22, 10, 10, 24, 24, 10
-16,16:-4, -14, -8, 20, 22, 10, 10, 24, 24, 16
-16,16:-4, -14, -8, 20, 22, 10, 24, 6, 24, 6
-16,16:-4, -14, -8, 20, 22, 10, 24, 6, 24, 8
-16,16:-4, -14, -8, 20, 22, 10, 24, 6, 24, 10
-16,16:-4, -14, -8, 20, 22, 10, 24, 24, 16, 14
-16,16:-4, -14, -8, 20, 22, 10, 24, 24, 16, 22
-19,17:-4, -14, 10, 10, 2, 6, 2, 28, 38, 38
9,8:-4, -14, 10, 10, 8, 6, 10, 0, 12, 0
