5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 0
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 2
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 4
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -16
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -14
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -12
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -4
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -2
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, 0
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -20
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -18
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -16
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 28
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 0
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 2
20,13:-4, -6, 6, 0, 14, 0, -4, 2, -2, -2, 4
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 18
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 20
2,13:6, 6, -4, 0, 16, -12, 14, 20, 16, 16, 22
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 2
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 4
22,17:6, 6, -4, 0, 16, 4, -2, 4, 0, 0, 6
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 14
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 16
3,27:6, 6, 8, 2, 4, 8, 22, 16, 20, 20, 18
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, -2
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, 0
-1,7:6, 6, 8, 2, 4, 24, 6, 0, 4, 4, 2
17,25:-4, -12, -14, -4, 2, 6, -12, 6, 0, 4, 4, -2
17,25:-4, -12, -14, -4, 2, 6, -12, 6, 0, 4, 4, 0
17,25:-4, -12, -14, -4, 2, 6, -12, 6, 0, 4, 4, 2
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 16, 24
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 16, 34
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 18, 28
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 24, 30
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 24, 32
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 24, 34
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 32, 28
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 32, 32
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 34, 16
-10,7:-4, -12, -4, -4, 0, 0, 2, 4, 12, 0, 34, 20
13,5:-4, -12, -4, 2, 2, -12, 8, -10, -16, -12, -12, -18
13,5:-4, -12, -4, 2, 2, -12, 8, -10, -16, -12, -12, -16
13,5:-4, -12, -4, 2, 2, -12, 8, -10, -16, -12, -12, -14
0,9:-4, -6, -14, 6, 0, 14, -14, 12, 18, 14, 14, 16
0,9:-4, -6, -14, 6, 0, 14, -14, 12, 18, 14, 14, 18
0,9:-4, -6, -14, 6, 0, 14, -14, 12, 18, 14, 14, 20
7,-6:-4, -6, -8, -18, -4, -8, -36, -10, -4, -8, -8, -6
7,-6:-4, -6, -8, -18, -4, -8, -36, -10, -4, -8, -8, -4
7,-6:-4, -6, -8, -18, -4, -8, -36, -10, -4, -8, -8, -2
27,-2:-4, -6, -8, -18, -4, -8, -20, -26, -20, -24, -24, -22
27,-2:-4, -6, -8, -18, -4, -8, -20, -26, -20, -24, -24, -20
27,-2:-4, -6, -8, -18, -4, -8, -20, -26, -20, -24, -24, -18
8,2:-4, -6, -8, -16, -28, -22, -14, -2, -18, -16, -16, -14
12,6:-4, -6, -8, -2, -2, -16, -6, -18, -16, -16, -12, 2
12,6:-4, -6, -8, -2, -2, -16, -6, -18, -16, -16, 2, -12
6,6:-4, -6, 6, 0, -8, 14, 2, -12, -20, -10, -10, -10
6,6:-4, -6, 6, 0, -8, 14, 2, -12, -20, -10, -10, -6
6,6:-4, -6, 6, 0, -8, 14, 2, -12, -10, -10, -6, -20
6,6:-4, -6, 6, 0, -8, 14, 2, -12, -10, -10, -6, -10
-7,11:-4, -6, 6, 10, -10, -14, -14, -8, -10, -4, -10, -20
-7,11:-4, -6, 6, 10, -10, -14, -14, -8, -10, -4, -10, -16
7,10:-4, 4, -2, -12, -6, 8, -20, 6, 12, 8, 8, 10
7,10:-4, 4, -2, -12, -6, 8, -20, 6, 12, 8, 8, 12
7,10:-4, 4, -2, -12, -6, 8, -20, 6, 12, 8, 8, 14
27,14:-4, 4, -2, -12, -6, 8, -4, -10, -4, -8, -8, -6
27,14:-4, 4, -2, -12, -6, 8, -4, -10, -4, -8, -8, -4
27,14:-4, 4, -2, -12, -6, 8, -4, -10, -4, -8, -8, -2
-3,-1:-4, 4, -2, -12, -2, 8, 16, 12, -10, -8, 12, 14
-3,-1:-4, 4, -2, -12, -2, 8, 16, 12, -10, -8, 12, 24
-3,-1:-4, 4, -2, -12, -2, 8, 16, 12, -10, 12, 14, -8
13,17:-4, 4, -2, -12, 0, -16, -12, 2, -4, 0, 0, -6
13,17:-4, 4, -2, -12, 0, -16, -12, 2, -4, 0, 0, -4
13,17:-4, 4, -2, -12, 0, -16, -12, 2, -4, 0, 0, -2
9,-3:-4, 4, -2, -12, 0, -16, 4, -14, -20, -16, -16, -22
9,-3:-4, 4, -2, -12, 0, -16, 4, -14, -20, -16, -16, -20
9,-3:-4, 4, -2, -12, 0, -16, 4, -14, -20, -16, -16, -18
8,1:6, -4, -4, -6, 0, -2, -30, -4, 2, -2, -2, 0
8,1:6, -4, -4, -6, 0, -2, -30, -4, 2, -2, -2, 2
8,1:6, -4, -4, -6, 0, -2, -30, -4, 2, -2, -2, 4
28,5:6, -4, -4, -6, 0, -2, -14, -20, -14, -18, -18, -16
28,5:6, -4, -4, -6, 0, -2, -14, -20, -14, -18, -18, -14
28,5:6, -4, -4, -6, 0, -2, -14, -20, -14, -18, -18, -12
18,24:6, -4, -4, 2, 2, -14, -10, 4, -2, 2, 2, -4
18,24:6, -4, -4, 2, 2, -14, -10, 4, -2, 2, 2, -2
18,24:6, -4, -4, 2, 2, -14, -10, 4, -2, 2, 2, 0
14,4:6, -4, -4, 2, 2, -14, 6, -12, -18, -14, -14, -20
14,4:6, -4, -4, 2, 2, -14, 6, -12, -18, -14, -14, -18
14,4:6, -4, -4, 2, 2, -14, 6, -12, -18, -14, -14, -16
14,22:6, 6, 8, -4, 2, -12, 2, 6, 0, 4, 4, -2
14,22:6, 6, 8, -4, 2, -12, 2, 6, 0, 4, 4, 0
14,22:6, 6, 8, -4, 2, -12, 2, 6, 0, 4, 4, 2
8,-8:6, 6, 14, 6, 6, 2, 2, 0, -2, -10, 2, -26
