6,14:-4, 4, 4, -6, 2
5,-4:-4, -6, 6, 10, 0, 6
5,-4:-4, -6, 6, 10, 0, 8
5,-4:-4, -6, 6, 10, 0, 10
5,-4:-4, -6, 6, 10, 6, 0
5,-4:-4, -6, 6, 10, 6, 2
6,14:-4, 4, 4, -6, -14, -4
6,14:-4, 4, 4, -6, -14, 0
6,14:-4, 4, 4, -6, 0, -14
6,14:-4, 4, 4, -6, 0, -4
15,8:6, 6, -2, -2, 8, 0
5,-4:-4, -6, 6, 10, 0, 2, 4
5,-4:-4, -6, 6, 10, 0, 2, 6
5,-4:-4, -6, 6, 10, 0, 2, 8
5,-4:-4, -6, 6, 10, 6, 6, 0
5,-4:-4, -6, 6, 10, 6, 6, 2
5,-4:-4, -6, 6, 10, 6, 6, 4
5,-4:-4, -6, 6, 10, 12, 22, 12
5,-4:-4, -6, 6, 10, 12, 22, 14
5,-4:-4, -6, 6, 10, 12, 22, 16
6,14:-4, 4, 4, -6, -14, -2, 2
6,14:-4, 4, 4, 6, 6, -6, -2
9,17:6, -4, -4, 4, 4, -6, 2
15,8:6, 6, -2, -2, 8, 2, 6
15,8:6, 6, -2, -2, 8, 2, 16
15,8:6, 6, -2, -2, 8, 16, 2
15,8:6, 6, -2, -2, 8, 16, 6
-3,7:6, 6, 8, -4, -8, -8, 0
-3,7:6, 6, 8, -4, -8, -8, 2
-3,7:6, 6, 8, -4, -8, 2, -8
-3,7:6, 6, 8, -4, -8, 2, -6
-3,7:6, 6, 8, -4, -8, 2, -4
6,13:-4, -14, -8, 20, 12, 12, 22, 14
26,11:-4, -14, 14, -2, -10, -10, 0, -8
8,10:-4, -6, 0, -8, -2, -2, -12, -4
-3,4:-4, -6, 6, -8, -12, -24, -20, -4
-3,4:-4, -6, 6, -8, -12, -24, -16, -4
-3,4:-4, -6, 6, -8, -12, -16, -4, -24
-3,4:-4, -6, 6, -8, -12, -16, -4, -22
-3,4:-4, -6, 6, -8, -12, -16, -4, -20
-3,4:-4, -6, 6, -8, -12, -4, -24, -12
-3,4:-4, -6, 6, -8, -12, -4, -12, -24
-3,4:-4, -6, 6, -8, -12, -4, -2, -16
5,-4:-4, -6, 6, 10, 0, 2, 12, 6
5,-4:-4, -6, 6, 10, 0, 2, 12, 8
5,-4:-4, -6, 6, 10, 0, 2, 12, 10
5,-4:-4, -6, 6, 10, 0, 12, 14, 6
-9,10:-4, -6, 6, 10, 12, 14, 4, 6
23,4:-4, 2, 0, -8, -14, -14, -4, -8
23,4:-4, 2, 2, -8, -14, -14, -4, -12
6,14:-4, 4, 4, -6, -14, -2, -2, 0
6,14:-4, 4, 4, -6, -14, -2, -2, 2
6,14:-4, 4, 4, 6, -6, -14, 0, 2
6,14:-4, 4, 4, 6, -6, -2, -14, 16
6,14:-4, 4, 4, 6, -6, -2, -14, 18
6,14:-4, 4, 4, 6, -6, -2, 16, -14
6,14:-4, 4, 4, 6, -6, -2, 16, -6
6,14:-4, 4, 4, 6, 6, -6, -14, -2
8,-1:6, -4, -4, -6, 6, 10, 0, 6
8,-1:6, -4, -4, -6, 6, 10, 0, 8
8,-1:6, -4, -4, -6, 6, 10, 0, 10
8,-1:6, -4, -4, -6, 6, 10, 6, 0
8,-1:6, -4, -4, -6, 6, 10, 6, 2
9,17:6, -4, -4, 4, 4, -6, -14, -4
9,17:6, -4, -4, 4, 4, -6, -14, 0
9,17:6, -4, -4, 4, 4, -6, 0, -14
9,17:6, -4, -4, 4, 4, -6, 0, -4
18,11:6, -4, 6, 6, -2, -2, 8, 0
15,8:6, 6, -2, -4, -4, -2, 8, 4
15,8:6, 6, -2, -2, 8, 16, 4, 0
-3,7:6, 6, 8, -4, -8, -10, -20, -14
-3,7:6, 6, 8, -4, -8, -10, -20, -12
-3,7:6, 6, 8, -4, -8, -10, -20, -10
-3,7:6, 6, 8, -4, -8, -8, -4, -2
-3,7:6, 6, 8, -4, -8, -8, -4, 0
-3,7:6, 6, 8, -4, -8, -8, -4, 2
-3,7:6, 6, 8, -4, -8, 0, 2, -6
-3,7:6, 6, 8, -4, -8, 0, 2, -4
-3,7:6, 6, 8, -4, -8, 0, 2, -2
20,20:-4, -14, -12, 14, -12, -4, -4, -14, -6
0,22:-4, -14, -8, 10, 10, 18, 18, 8, 16
6,13:-4, -14, -8, 20, 12, 12, 22, 16, 20
6,13:-4, -14, -8, 20, 12, 12, 22, 16, 30
6,13:-4, -14, -8, 20, 12, 12, 22, 30, 16
6,13:-4, -14, -8, 20, 12, 12, 22, 30, 20
-12,12:-4, -14, -8, 20, 22, 10, 6, 6, 14
-12,12:-4, -14, -8, 20, 22, 10, 6, 6, 16
-12,12:-4, -14, -8, 20, 22, 10, 6, 16, 6
-12,12:-4, -14, -8, 20, 22, 10, 6, 16, 8
-12,12:-4, -14, -8, 20, 22, 10, 6, 16, 10
0,22:-4, -14, 10, 10, 18, 18, 8, 16, -8
0,22:-4, -14, 10, 10, 18, 18, 8, 16, -6
0,22:-4, -14, 10, 10, 18, 18, 8, 16, -4
26,11:-4, -14, 14, -2, -10, -10, 0, -6, -2
26,11:-4, -14, 14, -2, -10, -10, 0, -6, 8
26,11:-4, -14, 14, -2, -10, -10, 0, 8, -6
26,11:-4, -14, 14, -2, -10, -10, 0, 8, -2
8,10:-4, -14, 14, -2, 0, -12, -16, -16, -8
8,10:-4, -14, 14, -2, 0, -12, -16, -16, -6
8,10:-4, -14, 14, -2, 0, -12, -16, -6, -16
8,10:-4, -14, 14, -2, 0, -12, -16, -6, -14
8,10:-4, -14, 14, -2, 0, -12, -16, -6, -12
11,17:-4, -12, -14, 4, -6, 2, 2, -8, -8
19,0:-4, -12, -4, -8, -6, -14, -14, -4, -12
5,-4:-4, -12, -4, 2, 6, 10, 6, 2, -10
5,-4:-4, -12, -4, 2, 6, 10, 6, 2, 0
6,-7:-4, -12, 4, -6, -8, -2, -8, -14, -4
6,-7:-4, -12, 4, -6, -8, -2, -8, -14, 0
6,-7:-4, -12, 4, -6, -8, -2, -8, -4, -14
6,-7:-4, -12, 4, -6, -8, -2, -8, -4, -12
6,-7:-4, -12, 4, -6, -8, -2, -8, -4, -10
5,-4:-4, -12, 4, 4, 6, 10, 12, 18, 12
5,-4:-4, -12, 4, 4, 6, 10, 12, 18, 14
5,-4:-4, -12, 4, 4, 6, 10, 12, 18, 16
12,7:-4, -6, -14, -2, 8, 0, 0, 10, 2
14,8:-4, -6, -8, -20, -20, -10, -10, -20, -12
20,-11:-4, -6, -8, -16, -26, -26, -16, -24, -6
20,-11:-4, -6, -8, -16, -26, -26, -16, -24, 4
20,-11:-4, -6, -8, -16, -26, -26, -16, -6, -24
25,0:-4, -6, -8, -4, -14, -20, -20, -10, -14
7,-8:-4, -6, 0, -8, -12, 0, 4, -6, 0
7,-8:-4, -6, 0, -8, -12, 0, 4, -6, 2
7,-8:-4, -6, 0, -8, -12, 0, 4, -6, 4
7,-8:-4, -6, 0, -8, -12, 0, 4, 0, -6
7,-8:-4, -6, 0, -8, -12, 0, 4, 0, -4
8,10:-4, -6, 0, -8, -2, -2, -12, -20, -10
8,10:-4, -6, 0, -8, -2, -2, -12, -20, -6
8,10:-4, -6, 0, -8, -2, -2, -12, -6, -20
8,10:-4, -6, 0, -8, -2, -2, -12, -6, -10
-3,4:-4, -6, 6, -8, -12, -28, -18, -4, -12
-3,4:-4, -6, 6, -8, -12, -28, -18, -4, -2
-3,4:-4, -6, 6, -8, -12, -28, -16, -4, -26
-3,4:-4, -6, 6, -8, -12, -28, -16, -4, -24
-3,4:-4, -6, 6, -8, -12, -28, -16, -4, -22
-3,4:-4, -6, 6, -8, -12, -18, -20, -4, -28
-3,4:-4, -6, 6, -8, -12, -4, -24, -2, -16
-3,4:-4, -6, 6, -8, -12, -4, -24, -2, -14
-3,4:-4, -6, 6, -8, -12, -4, -24, -2, -12
-3,4:-4, -6, 6, -8, -12, -4, -20, -30, -8
-3,4:-4, -6, 6, -8, -12, -4, -20, -12, -26
-3,4:-4, -6, 6, -8, -12, -4, -20, -12, -24
-3,4:-4, -6, 6, -8, -12, -4, -20, -12, -22
-3,4:-4, -6, 6, -8, -12, -4, -20, -2, -22
-3,4:-4, -6, 6, -8, -12, -4, -12, -22, -26
5,-4:-4, -6, 6, 10, 0, 2, 12, 2, 4
