16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
16,-5:-4, -12, -8, -14, 2, 4, -8, -12, -14, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -6
4,-3:-4, -6, 6, -8, -12, -24, -8, -10, 0, -24
27,-11:-4, -6, 6, 10, -6, -16, -4, -4, -2, -10
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -10
-3,2:6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 16
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 24, 26
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 28
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 30
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 2, 4
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 6
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 8
-1,7:-4, -12, -8, -18, -2, -2, -10, -6, -12, -2, -4
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, -10
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, 0
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -6
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -4
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -20
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -18
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -14, -16
6,-9:-4, -6, 6, -8, -8, 0, 4, -4, 2, 4, 8
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -22
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -16, -14
-5,3:-4, -6, 6, 0, 8, 4, -4, 0, -8, -10, -14
11,-9:-4, -6, 6, 6, 2, -8, 2, -6, -14, 0, -8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 2
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, -2, 0
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 4
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -14
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -4
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, -16, 8
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -16
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -14
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -2, 8, -16
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -8
3,-1:6, -4, -4, -12, 4, -6, -8, 4, 4, -4, -8
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 10, 12
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 14
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 16
-10,29:6, 6, 8, -4, -8, 8, 6, 6, 18, 4, 12
-2,6:6, 6, 8, -4, 10, 14, 8, 2, 24, 12, 26
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 14, 14, 14
30,1:-4, -14, -12, 14, -12, -20, -16, -22, -6, -4, -18, -22
30,1:-4, -14, -12, 14, -12, -20, -16, -22, -6, -4, -18, -20
30,1:-4, -14, -12, 14, -12, -20, -16, -22, -6, -4, -16, -18
10,3:-4, -14, -8, 10, 10, 2, 6, 0, 16, 18, 4, 0
10,3:-4, -14, -8, 10, 10, 2, 6, 0, 16, 18, 4, 2
10,3:-4, -14, -8, 10, 10, 2, 6, 0, 16, 18, 6, 4
-12,7:-4, -14, -8, 20, 12, 28, 22, 24, 12, 12, 20, 24
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 24, 24, 24
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 24, 24, 30
-8,7:-4, -14, 10, 10, 16, 14, 6, -4, -4, -6, 4, -2
9,8:-4, -14, 10, 10, 18, 12, 14, -2, -2, 10, 14, 24
9,8:-4, -14, 10, 10, 18, 12, 14, -2, -2, 10, 14, 28
8,5:-4, -14, 14, -2, -10, 6, 0, 2, -10, -10, -2, 2
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 2, 2, 2
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 2, 2, 8
3,-1:-4, -12, -14, 4, -6, -8, -16, 6, 6, 12, 6, 20
3,-1:-4, -12, -14, 4, -6, -8, -16, 6, 6, 12, 6, 26
3,-1:-4, -12, -14, 4, -6, -8, -16, 6, 6, 12, 20, 6
3,-1:-4, -12, -14, 4, -6, -8, 6, 6, 12, 6, 20, -16
39,-9:-4, -12, -8, -14, -20, -22, -2, -10, -14, -26, -12, -20
2,7:-4, -12, -8, -14, -4, -12, -12, 2, 0, -16, -12, -8
2,7:-4, -12, -8, -14, -4, -12, -12, 2, 0, -16, -8, -12
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -6, -12, 2
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -6, 6, 0
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -6, 6, 2
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -12, -14, -6
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -12, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -12, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -12, -6
-7,1:-4, -12, -8, -4, -14, -20, 0, -4, -12, 8, 4, -10
-7,1:-4, -12, -8, -4, -14, -20, 0, -4, -12, 8, 4, -8
-7,1:-4, -12, -8, -4, -14, -20, 0, -4, -12, 8, 4, -6
0,10:-4, -12, -4, -8, -6, 2, -2, -16, 4, -14, -2, 0
0,10:-4, -12, -4, -8, -6, 2, -2, -16, 4, -14, 0, 2
0,10:-4, -12, -4, -8, -6, 2, -2, -16, 4, -14, 0, 4
-1,-14:-4, -12, 4, -6, 0, -16, -12, 10, 10, 10, -8, 2
-1,-14:-4, -12, 4, -6, 0, -16, -12, 10, 10, 10, -8, 4
-1,-14:-4, -12, 4, -6, 0, -16, -12, 10, 10, 10, -8, 6
-2,-3:-4, -12, 4, -6, 0, -16, 10, 10, 10, -6, 20, 4
11,6:-4, -12, 4, -6, 2, -4, 4, 8, 4, 4, 2, 4
11,6:-4, -12, 4, -6, 2, -4, 4, 8, 4, 4, 2, 8
11,6:-4, -12, 4, -6, 2, -4, 4, 8, 4, 4, 14, 2
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, -4, 12
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 0, 10
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 0, 20
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 10, 0
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 10, 2
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 10, 4
1,-3:-4, -12, 4, 4, 6, 10, 12, 2, -4, 22, 18, 4
9,-10:-4, -12, 4, 6, -8, -14, -22, -16, 10, 4, -14, -4
9,-10:-4, -12, 4, 6, -8, -14, -22, -16, 10, 4, -14, -2
9,-10:-4, -12, 4, 6, -8, -14, -22, -16, 10, 4, -14, 0
-13,-8:-4, -12, 4, 6, -8, -14, -20, -4, -8, -8, 6, -6
-7,17:-4, -6, -14, -2, 8, 16, 12, -2, 18, 0, 12, 14
-7,17:-4, -6, -14, -2, 8, 16, 12, -2, 18, 0, 14, 16
-7,17:-4, -6, -14, -2, 8, 16, 12, -2, 18, 0, 14, 18
24,-11:-4, -6, -8, -20, -20, -26, -22, -28, -12, -10, -24, -28
24,-11:-4, -6, -8, -20, -20, -26, -22, -28, -12, -10, -24, -26
24,-11:-4, -6, -8, -20, -20, -26, -22, -28, -12, -10, -22, -24
1,-1:-4, -6, -8, -16, -10, -14, -28, -6, -8, -26, -14, -12
1,-1:-4, -6, -8, -16, -10, -14, -28, -6, -8, -26, -12, -10
1,-1:-4, -6, -8, -16, -10, -14, -28, -6, -8, -26, -12, -8
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -14, -14, -20
