7,11:-4, 4, 4, 4, -14, -4, 2, -4, 16
7,11:-4, 4, 4, 4, -14, -4, 2, 16, -4
2,8:6, 6, -2, -4, -4, 4, 0, 18, -8
-7,13:-4, -14, -8, 20, 12, 10, 18, 12, 10, 32
13,11:-4, -14, 14, -2, -10, -12, -4, -10, -12, 10
10,4:-4, 2, 0, -8, -14, -16, -8, -14, -16, 6
10,4:-4, 2, 2, -8, -14, -16, -8, -14, -16, 6
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -20, -16
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -20, -14
7,11:-4, 4, 4, 4, -4, 2, 16, -8, -2, -16
7,11:-4, 4, 4, 6, 6, 4, -4, 2, 16, -2
5,11:6, -4, 6, 6, -2, -4, 4, -2, -4, 18
2,8:6, 6, -2, -4, -4, -10, -6, 4, 18, -18
2,8:6, 6, -2, -4, -4, -10, -6, 4, 18, -14
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -8
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -6
2,8:6, 6, -2, -4, -4, 4, 0, -10, 18, -4
5,13:6, 6, -2, 14, 8, -4, 0, 6, -8, 20
1,13:6, 6, 14, 10, -4, 16, 12, 18, 16, -4
