13,-2:-4, -6, -8, -10, -20, -10, -2
13,-2:-4, -6, -8, -10, -20, -10, 0
13,-2:-4, -6, -8, -10, -20, -10, 2
13,-2:-4, -6, -8, -10, -10, -2, -20
7,2:-4, 2, 6, -14, -18, -18, 4
7,2:-4, 2, 6, -14, -18, 4, -18
7,2:-4, 2, 6, -14, -18, 4, -16
7,2:-4, 2, 6, -14, -18, 4, -14
9,-11:-4, -6, -8, -16, -28, -28, -8, -26
9,-11:-4, -6, -8, -16, -26, -28, -26, -8
13,-2:-4, -6, -8, -10, -20, -10, -6, -4
13,-2:-4, -6, -8, -10, -20, -10, -6, -2
13,-2:-4, -6, -8, -10, -20, -10, -6, 0
9,0:-4, -6, 6, -8, 0, -12, -20, 4
9,0:-4, -6, 6, -8, 0, -12, 4, -20
-1,6:-4, -6, 6, 0, -2, -30, -4, 0
-4,-9:-4, -6, 6, 4, -8, -16, -14, -14
-4,-9:-4, -6, 6, 4, -8, -16, -14, -10
-5,12:-4, -6, 6, 10, 12, 4, 10, 4
7,2:-4, 2, 6, -14, -18, -22, 4, -20
7,2:-4, 2, 6, -14, -18, -22, 4, -18
7,2:-4, 2, 6, -14, -18, -22, 4, -16
7,2:-4, 2, 6, -14, -18, -18, 6, 6
7,2:-4, 2, 6, -14, -18, -18, 6, 8
7,2:-4, 2, 6, -14, -18, -18, 10, 6
7,2:-4, 2, 6, -14, -18, -18, 10, 8
7,2:-4, 2, 6, -14, -18, -18, 10, 10
3,1:-4, 2, 6, -14, 2, -12, 4, -8
0,-9:-4, 2, 6, -8, -4, 10, -18, -4
0,-9:-4, 2, 6, -8, -4, 10, -18, -2
0,-9:-4, 2, 6, -8, -4, 10, -18, 0
0,-9:-4, 2, 6, -8, -4, 10, -4, -18
0,-9:-4, 2, 6, -8, -4, 10, -4, -16
0,-9:-4, 2, 6, -8, -4, 10, -4, -14
15,-2:-4, 2, 6, 6, 12, -14, 0, 16
15,-2:-4, 2, 6, 6, 12, -14, 0, 20
15,-2:-4, 2, 6, 6, 12, -14, 16, 0
9,-3:-4, 4, -2, -12, -2, -10, -18, -2
4,8:6, 6, -4, -4, 16, -2, 16, 16
4,8:6, 6, -4, -4, 16, -2, 16, 18
4,8:6, 6, -4, -4, 16, -2, 16, 20
4,8:6, 6, -4, -4, 16, 16, 16, -2
0,14:6, 6, 8, 10, 12, 12, 0, 22
0,14:6, 6, 8, 10, 12, 12, 22, 0
0,14:6, 6, 8, 10, 12, 12, 22, 2
0,14:6, 6, 8, 10, 12, 12, 22, 4
-3,12:6, 6, 14, 10, 4, 6, 6, 6
5,1:-4, -12, -14, -4, -4, -10, -18, -6, 6
5,1:-4, -12, -14, -4, -4, -10, -18, -6, 8
5,1:-4, -12, -14, -4, -4, -10, -18, -6, 10
5,1:-4, -12, -14, -4, -4, -10, -6, 6, -18
5,1:-4, -12, -14, -4, -4, -10, -6, 6, -14
5,-2:-4, -12, -8, -18, -20, -4, 8, 14, 8
3,13:-4, -12, 4, -6, -14, 2, 2, 2, 8
2,-1:-4, -12, 4, -6, 0, -16, -10, -4, -4
-2,10:-4, -12, 4, 4, 4, 10, -12, -4, 6
-2,10:-4, -12, 4, 4, 4, 10, -12, 6, -4
-2,10:-4, -12, 4, 4, 4, 10, -12, 6, -2
-2,10:-4, -12, 4, 4, 4, 10, -12, 6, 0
-2,10:-4, -12, 4, 4, 4, 10, -4, 6, -12
-2,10:-4, -12, 4, 4, 4, 10, -4, 6, -8
9,-11:-4, -6, -8, -16, -28, -28, -28, -8, -30
9,-11:-4, -6, -8, -16, -28, -28, -28, -8, -28
9,-11:-4, -6, -8, -16, -28, -28, -8, -32, -32
9,-11:-4, -6, -8, -16, -28, -28, -8, -32, -30
9,-11:-4, -6, -8, -16, -28, -28, -8, -32, -28
13,-2:-4, -6, -8, -10, -20, -10, -6, 4, -2
13,-2:-4, -6, -8, -10, -20, -10, -6, 4, 0
13,-2:-4, -6, -8, -10, -20, -10, -6, 4, 2
13,-2:-4, -6, -8, -10, -20, -10, 4, 6, -2
5,1:-4, -6, -8, -10, -20, -2, 2, 2, 6
5,1:-4, -6, -8, -10, -20, -2, 2, 2, 8
5,1:-4, -6, -8, -10, -20, -2, 2, 2, 10
5,1:-4, -6, -8, -10, -20, -2, 2, 10, 4
5,1:-4, -6, -8, -10, -20, -2, 2, 10, 6
5,1:-4, -6, -8, -10, -20, -2, 2, 10, 8
5,1:-4, -6, -8, -10, -2, 2, 2, 6, -20
5,1:-4, -6, -8, -10, -2, 2, 2, 6, -10
16,-8:-4, -6, -8, -2, -12, -16, -18, -34, -30
9,-3:-4, -6, 6, -8, -10, 4, -18, -20, -28
9,0:-4, -6, 6, -8, 0, -12, -20, 0, 2
9,0:-4, -6, 6, -8, 0, -12, -20, 6, 0
9,0:-4, -6, 6, -8, 0, -12, -20, 6, 6
9,0:-4, -6, 6, -8, 0, -12, -20, 6, 8
9,0:-4, -6, 6, -8, 0, -12, -20, 10, 6
9,0:-4, -6, 6, -8, 0, -12, -20, 10, 8
9,0:-4, -6, 6, -8, 0, -12, -20, 10, 10
-4,-9:-4, -6, 6, 4, -8, -16, -22, -10, -2
-4,-9:-4, -6, 6, 4, -8, -16, -22, -10, 8
-4,-9:-4, -6, 6, 4, -8, -16, -22, -2, -10
-4,-9:-4, -6, 6, 4, -8, -16, -18, -2, -10
-4,-9:-4, -6, 6, 4, -8, -16, -18, -2, -8
-4,-9:-4, -6, 6, 4, -8, -16, -18, -2, -6
-4,-9:-4, -6, 6, 4, -8, -16, -14, -12, -20
-4,-9:-4, -6, 6, 4, -8, -16, -14, -12, -18
-4,-9:-4, -6, 6, 4, -8, -16, -14, -12, -16
-4,-9:-4, -6, 6, 4, -8, -16, -10, -2, -18
-4,-9:-4, -6, 6, 4, -8, -16, -10, -2, -16
-4,-9:-4, -6, 6, 4, -8, -16, -10, -2, -14
-4,-9:-4, -6, 6, 4, -8, -16, -8, -2, -18
-4,-9:-4, -6, 6, 4, -8, -16, -8, -2, -16
-4,-9:-4, -6, 6, 4, -8, -16, 2, 14, 0
-4,-9:-4, -6, 6, 4, -8, -16, 2, 14, 2
-4,-9:-4, -6, 6, 4, -8, -16, 2, 14, 4
13,7:-4, -6, 6, 10, -10, 0, 4, -14, -6
4,-8:-4, -6, 6, 10, -4, 2, 2, 0, 2
4,-8:-4, -6, 6, 10, -4, 2, 2, 0, 6
4,-8:-4, -6, 6, 10, -4, 2, 2, 4, -6
4,-8:-4, -6, 6, 10, -4, 2, 2, 4, -4
4,-8:-4, -6, 6, 10, -4, 2, 2, 4, -2
-5,12:-4, -6, 6, 10, 12, 4, 10, 14, 4
-5,12:-4, -6, 6, 10, 12, 4, 10, 16, 4
12,-32:-4, 2, 0, -8, 4, -30, -22, -16, -24
7,2:-4, 2, 6, -14, -18, -22, -12, 4, -18
7,2:-4, 2, 6, -14, -18, -22, -12, 4, -16
7,2:-4, 2, 6, -14, -18, -22, -12, 4, -14
7,2:-4, 2, 6, -14, -18, -18, 6, 10, 4
7,2:-4, 2, 6, -14, -18, -18, 6, 10, 6
7,2:-4, 2, 6, -14, -18, -18, 6, 10, 8
3,1:-4, 2, 6, -14, 2, -12, -8, 6, 6
3,1:-4, 2, 6, -14, 2, -12, 10, -8, 6
3,1:-4, 2, 6, -14, 2, -12, 10, -8, 8
3,1:-4, 2, 6, -14, 2, -12, 10, -8, 10
0,-9:-4, 2, 6, -8, -4, 10, -18, -8, -6
0,-9:-4, 2, 6, -8, -4, 10, -18, -8, -4
0,-9:-4, 2, 6, -8, -4, 10, -18, -8, -2
0,-9:-4, 2, 6, -8, -4, 10, -10, -4, -16
0,-9:-4, 2, 6, -8, -4, 10, -10, -4, -14
0,-9:-4, 2, 6, -8, -4, 10, -10, -4, -12
