16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
16,-5:-4, -12, -8, -14, 2, 4, -8, -12, -14, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -6
4,-3:-4, -6, 6, -8, -12, -24, -8, -10, 0, -24
27,-11:-4, -6, 6, 10, -6, -16, -4, -4, -2, -10
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -10
-3,2:6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 16
