-4,-6:-4, -6, -6, 2, 8, -10, -18, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -6
-4,-6:-4, -6, -6, 2, 8, -10, -8, -18
-4,-6:-4, -6, -6, 2, 8, -10, -8, -14
5,8:-4, 0, 0, 10, -2, 16, 6, 2
-3,6:6, 6, 6, -6, 10, 8, -6, -2
-3,6:6, 6, 6, -6, 10, 8, -6, 2
-3,6:6, 6, 6, -6, 10, 8, 2, -6
-3,6:6, 6, 6, -6, 10, 8, 2, -4
-3,6:6, 6, 6, -6, 10, 8, 2, -2
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -10
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -6
2,-2:-4, -6, -6, -4, 10, 8, 16, 14, -4
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -10
-4,-6:-4, -6, -6, 2, 8, -10, -20, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -10
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -6
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -24
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -22
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -14
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 0
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 2
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -10
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -6
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -10
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -8
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -6
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -38
11,9:6, 6, 6, -6, -8, -12, 6, -6, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -8
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 6
