6,-3:-4, -12, -6, -4, -4, 8, -12, 6
6,-3:-4, -12, -6, -4, -4, 8, -12, 8
6,-3:-4, -12, -6, -4, -4, 8, -12, 10
6,-3:-4, -12, -6, -4, -4, 8, 6, -12
6,-3:-4, -12, -6, -4, -4, 8, 6, -10
6,-3:-4, -12, -6, -4, -4, 8, 6, -8
11,16:-4, -4, -14, 8, 6, 8, -4, -4
11,16:-4, -4, -14, 8, 6, 8, -4, 0
7,10:-4, 0, -12, -10, 6, 4, 6, -6
7,10:-4, 0, -12, -10, 6, 4, 6, -4
7,10:-4, 0, -12, -10, 6, 4, 6, -2
7,10:-4, 0, -12, 6, 4, 6, -12, -20
7,10:-4, 0, -12, 6, 4, 6, -12, -16
7,10:-4, 0, -12, 6, 4, 6, -10, -20
7,10:-4, 0, -12, 6, 4, 6, -8, -30
7,10:-4, 0, -12, 6, 4, 6, -8, -20
7,10:-4, 0, -12, 6, 4, 6, -4, -10
7,10:-4, 0, -12, 6, 4, 6, -4, -6
6,1:-4, 4, -8, -16, 6, 0, 14, -6
6,-3:-4, -12, -6, -4, -4, 8, -12, 2, 6
6,-3:-4, -12, -6, -4, -4, 8, -12, 2, 8
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -10
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -8
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -6
11,16:-4, -4, -8, -20, -16, 8, 6, 8, -4
11,16:-4, -4, -8, -20, -16, 8, 6, 8, -2
11,16:-4, -4, -8, -20, -16, 8, 6, 8, 0
11,16:-4, -4, -8, -20, 8, 6, 8, -4, -16
11,16:-4, -4, -8, -20, 8, 6, 8, -4, -14
6,14:-4, -4, -8, -18, -20, -10, -10, -6, 2
11,16:-4, -4, -8, -10, -20, 8, 6, 8, -8
11,16:-4, -4, -8, -10, -20, 8, 6, 8, -6
11,16:-4, -4, -6, -14, 8, 6, 8, -4, -4
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -14
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -12
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -10
7,10:-4, 0, -12, 6, 4, 6, -12, -14, -14
7,10:-4, 0, -12, 6, 4, 6, -10, -18, -2
7,10:-4, 0, -12, 6, 4, 6, -10, -2, -18
7,10:-4, 0, -12, 6, 4, 6, -10, -2, -8
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -12
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -10
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -8
7,0:-4, 0, -8, -4, -2, 8, 2, -12, -12
12,7:-4, 0, 6, 4, 0, -4, -2, -4, -2
10,-1:-4, 0, 8, -2, 22, 0, -2, 0, 0
6,1:-4, 4, -8, -16, 6, 0, 14, -8, 2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, -4
6,1:-4, 4, -8, -16, 6, 0, 14, -4, -2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, 0
4,6:6, 6, -2, -4, 10, 2, 18, -12, 8
13,7:6, 6, 2, -4, -2, -4, 4, 10, 8
13,7:6, 6, 2, -4, -2, -4, 4, 10, 12
13,7:6, 6, 2, -4, -2, -4, 10, 10, 22
13,7:6, 6, 2, -4, -2, -4, 10, 10, 32
13,7:6, 6, 2, -4, -2, -4, 10, 12, 22
13,7:6, 6, 2, -4, -2, -4, 10, 14, 18
13,7:6, 6, 2, -4, -2, -4, 10, 14, 22
13,7:6, 6, 2, -4, -2, 12, 12, -4, 4
13,7:6, 6, 2, -4, -2, 12, 12, -4, 6
13,7:6, 6, 2, -4, -2, 12, 12, -4, 8
19,11:6, 6, 6, -6, -4, 16, -6, 2, 2
19,11:6, 6, 6, -6, -4, 16, -6, 2, 6
0,6:6, 6, 14, 8, 6, 6, -6, -8, 10
0,6:6, 6, 14, 8, 6, 6, -6, -8, 12
0,6:6, 6, 14, 8, 6, 6, -6, -8, 14
0,6:6, 6, 14, 8, 6, 6, -6, 10, -8
0,6:6, 6, 14, 8, 6, 6, -6, 10, -6
0,6:6, 6, 14, 8, 6, 6, -6, 10, -4
