3,-4:-4, 0, -16, -6, 4, -4, 0, -8
-14,7:-4, 0, -2, 4, -14, -2, 6, 10
-14,7:-4, 0, -2, 4, -14, -2, 6, 14
-14,7:-4, 0, -2, 4, -14, -2, 10, 6
-14,7:-4, 0, -2, 4, -14, 4, 12, 0
-14,7:-4, 0, -2, 4, -14, 4, 12, 2
-14,7:-4, 0, -2, 4, -14, 4, 12, 4
-14,7:-4, 0, -2, 4, -14, 6, 10, -2
-14,7:-4, 0, -2, 4, -14, 6, 10, 2
6,8:-4, 0, 8, -6, -12, 10, 8, 0
2,8:6, 6, -2, -4, 4, -2, -4, 18
4,-9:-4, -12, -6, -16, -6, -4, 2, 4, -10
10,7:-4, -12, -4, 6, 16, 2, 10, 6, -4
2,-2:-4, -6, -14, 2, 4, -2, 14, 10, -4
-4,2:-4, -6, -6, -14, 0, -2, -6, 4, 6
8,7:-4, -6, -6, 0, -10, -8, -14, 0, -12
3,-4:-4, 0, -16, -6, 4, -4, 0, -10, -14
3,-4:-4, 0, -16, -6, 4, -4, 0, -10, -12
13,2:-4, 0, -16, 6, 4, 4, 4, 4, 10
2,6:-4, 0, -12, 6, -2, -12, -4, 2, 16
-6,-3:-4, 0, -12, 6, -2, 6, -2, -18, -6
-6,-3:-4, 0, -12, 6, -2, 6, -2, -2, -22
-6,-3:-4, 0, -12, 6, -2, 6, -2, -2, -20
-6,-3:-4, 0, -12, 6, -2, 6, -2, -2, -18
4,-1:-4, 0, -12, 10, -10, 6, 8, -6, 0
-4,0:-4, 0, -8, -4, -8, -2, -6, -10, -10
-14,7:-4, 0, -2, 4, -14, -2, 2, 14, 8
-14,7:-4, 0, -2, 4, -14, -2, 4, 14, 0
-14,7:-4, 0, -2, 4, -14, -2, 4, 14, 2
-14,7:-4, 0, -2, 4, -14, -2, 6, 12, 16
-14,7:-4, 0, -2, 4, -14, -2, 6, 12, 18
-14,7:-4, 0, -2, 4, -14, -2, 6, 12, 20
-14,7:-4, 0, -2, 4, -14, -2, 6, 16, 16
-14,7:-4, 0, -2, 4, -14, -2, 12, 16, 4
-14,7:-4, 0, -2, 4, -14, -2, 12, 20, 6
-14,7:-4, 0, -2, 4, -14, -2, 12, 20, 10
-14,7:-4, 0, -2, 4, -14, 0, 6, 10, 4
-14,7:-4, 0, -2, 4, -14, 0, 6, 10, 6
-14,7:-4, 0, -2, 4, -14, 0, 6, 10, 8
-14,7:-4, 0, -2, 4, -14, 0, 12, 2, -10
-14,7:-4, 0, -2, 4, -14, 0, 12, 2, -8
-14,7:-4, 0, -2, 4, -14, 0, 12, 20, 2
-14,7:-4, 0, -2, 4, -14, 2, 0, 4, 14
-14,7:-4, 0, -2, 4, -14, 2, 0, 4, 16
-14,7:-4, 0, -2, 4, -14, 2, 0, 4, 18
-14,7:-4, 0, -2, 4, -14, 2, 0, 14, 4
-14,7:-4, 0, -2, 4, -14, 4, 12, 8, 2
-14,7:-4, 0, -2, 4, -14, 4, 12, 8, 4
-14,7:-4, 0, -2, 4, -14, 4, 12, 8, 6
-14,7:-4, 0, -2, 4, -14, 6, 4, 10, 4
-14,7:-4, 0, -2, 4, -14, 12, 2, -10, -8
-14,7:-4, 0, -2, 4, -14, 12, 2, 2, -4
1,4:-4, 0, -2, 6, 10, 4, 4, 10, 24
1,4:-4, 0, -2, 6, 10, 4, 4, 10, 34
1,4:-4, 0, -2, 6, 10, 4, 4, 24, 10
2,6:-4, 0, 6, -2, -4, 2, -4, 16, -12
2,6:-4, 0, 6, -2, -4, 2, -4, 16, -10
2,6:-4, 0, 6, -2, -4, 2, -4, 16, -8
-6,-3:-4, 0, 6, -2, 6, -2, -4, -22, -14
-6,-3:-4, 0, 6, -2, 6, -2, -4, -22, -12
-6,-3:-4, 0, 6, -2, 6, -2, -4, -22, -10
-6,-3:-4, 0, 6, -2, 6, -2, -2, -22, -12
-6,-3:-4, 0, 6, -2, 6, -2, -2, -22, -10
-6,-3:-4, 0, 6, -2, 6, -2, -2, -22, -8
10,-9:-4, 4, -8, -12, -14, -16, -14, -14, -6
10,-9:-4, 4, -8, -12, -14, -16, -14, -14, -2
7,-8:-4, 4, -4, -10, -14, -38, -16, -26, -24
7,-8:-4, 4, -4, -10, -14, -16, -26, -24, -38
7,-8:-4, 4, -4, -10, -14, -16, -26, -24, -36
7,-8:-4, 4, -4, -10, -14, -16, -26, -24, -34
7,11:-4, 4, 4, 4, -14, -4, 2, -4, 16
7,11:-4, 4, 4, 4, -14, -4, 2, 16, -4
7,11:-4, 4, 4, 4, -4, 2, -4, 16, -4
7,11:-4, 4, 4, 4, -4, 2, -4, 16, -2
11,3:6, 6, -4, -4, 16, 6, 2, 2, 12
11,3:6, 6, -4, -4, 16, 6, 2, 2, 22
2,8:6, 6, -2, -4, -4, 4, 0, 18, -8
10,9:6, 6, -2, -4, 4, 18, 16, 0, 18
