9,17:-4, -4, -14, -4, 10, -2, 10, -4
9,17:-4, -4, -14, -4, 10, -2, 10, 0
5,11:-4, 0, -12, -10, -6, 8, -4, 8
5,11:-4, 0, -12, -6, 8, -4, 8, -8
5,11:-4, 0, -12, -6, 8, -4, 8, -6
5,11:-4, 0, -12, -6, 8, -4, 8, -4
14,-10:-4, -12, -8, -14, -8, -14, -14, -14, 6
9,17:-4, -4, -14, -4, 10, -2, 10, -2, 2
9,17:-4, -4, -14, -4, 10, -2, 10, 2, 2
9,17:-4, -4, -8, -20, -16, -4, 10, -2, 10
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -10
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -8
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -6
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, 2
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, 4
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -14
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -12
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -10
-8,-3:-4, 0, -12, 8, 8, 20, 20, 2, -18
12,6:-4, 2, 6, -14, -2, 0, 6, 8, 8
3,21:6, 6, 6, -4, -4, -10, 2, -4, 4
-3,0:6, 6, 8, -4, 2, 10, 18, -20, 0
-3,0:6, 6, 8, -4, 2, 10, 18, -20, 2
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -16
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -14
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -12
-3,0:6, 6, 8, -4, 2, 10, 18, 0, -20
