8,-1:-4, 4, -2, 6, 4, 4, -16
3,8:-4, 2, 6, -14, -4, 0, 0, -20
3,8:-4, 2, 6, -14, -4, 0, 0, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -16
8,-1:-4, 4, -2, 6, 6, 2, -16, 10
1,5:-4, -12, -14, -4, 6, 16, 2, 2, -4
13,-2:-4, -12, -8, -14, -10, -16, -14, 2, 6
12,2:-4, -12, -4, 6, -10, -8, 0, 22, 16
12,2:-4, -12, -4, 6, -10, -8, 0, 22, 20
13,2:-4, -12, 4, -6, 2, -4, 6, 10, -18
-7,-2:-4, -6, -6, -16, -8, -4, 2, 8, 10
26,1:-4, -4, -8, -10, -14, -2, 8, 4, -4
-1,-7:-4, 0, -12, 10, -20, -22, -14, -18, -22
0,-16:-4, 0, -4, 6, -4, -18, -18, 10, -6
13,9:-4, 0, -4, 10, 8, -2, -6, -4, 0
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -20
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -18
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -16
19,-9:-4, 2, 6, -8, -2, 0, -2, -20, -36
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 4
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 6
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 8
8,-1:-4, 4, -2, 2, 4, 2, 8, -16, 2
8,-1:-4, 4, -2, 2, 4, 2, 8, -16, 12
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 10
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 12
8,-1:-4, 4, -2, 2, 4, 14, 4, -16, 4
8,-1:-4, 4, -2, 2, 4, 14, 4, -16, 8
8,-1:-4, 4, -2, 2, 4, 14, 8, -16, 12
8,-1:-4, 4, -2, 2, 12, 6, 8, -16, 14
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -8
9,7:-4, 4, -2, 6, -16, -14, 2, -10, -12
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 8
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 16
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 20
11,2:6, -4, -4, 4, -2, 6, 4, 4, -16
11,6:6, 6, 2, -6, 8, 14, -10, -6, 2
-1,3:6, 6, 2, -2, 6, 18, 8, 2, 10
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 0
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 4
10,-14:6, 6, 2, 4, -2, 16, -12, 4, -4
10,-14:6, 6, 2, 4, -2, 16, -4, 0, -12
10,-14:6, 6, 2, 4, -2, 16, -4, 0, -8
10,-14:6, 6, 2, 4, -2, 16, -2, -10, -2
10,-14:6, 6, 2, 4, -2, 16, -2, -10, 0
10,-14:6, 6, 2, 4, -2, 16, -2, -10, 2
