10,-9:-4, -6, 6, -8, -8, 4
10,-9:-4, -6, 6, -8, 4, -8
1,3:-4, 4, -2, 2, 14, 4
15,-3:-4, -12, 0, -10, -4, 0, 2
-7,10:-4, -6, -14, 2, 12, 6, 2
4,-10:-4, -6, -6, -16, -6, 0, 4
-9,-6:-4, -6, -6, -4, -10, 2, 4
-1,-2:-4, -6, -6, -4, -2, 6, 16
-3,-6:-4, -6, -6, -4, 10, 6, -2
3,-7:-4, -6, -4, -8, -12, -8, -8
10,-9:-4, -6, 6, -8, -8, 0, -6
10,-9:-4, -6, 6, -8, -8, 0, 2
10,-9:-4, -6, 6, -8, -8, 6, 0
10,-9:-4, -6, 6, -8, -8, 6, 6
10,-9:-4, -6, 6, -8, -8, 6, 8
10,-9:-4, -6, 6, -8, -8, 10, 6
10,-9:-4, -6, 6, -8, -8, 10, 8
10,-9:-4, -6, 6, -8, -8, 10, 10
2,4:-4, -6, 6, 10, -10, -2, 4
4,3:-4, -6, 6, 10, 6, 6, -2
4,-3:-4, -4, 2, 8, -12, -14, -6
4,-3:-4, -4, 2, 8, -12, -6, -14
2,1:-4, 0, -8, -10, -4, -2, 4
4,-1:-4, 0, -8, -10, -4, 2, 2
3,14:-4, 0, -8, -10, 4, 0, 12
3,14:-4, 0, -8, -10, 4, 12, 0
3,14:-4, 0, -8, -10, 4, 12, 2
3,14:-4, 0, -8, 4, -4, 12, -2
3,14:-4, 0, -8, 4, -2, 12, -4
3,14:-4, 0, -8, 4, 0, 12, -10
3,14:-4, 0, -8, 4, 0, 12, -6
-5,3:-4, 0, -2, -10, 6, 10, 10
-5,3:-4, 0, -2, 6, 10, 10, -10
-5,3:-4, 0, -2, 6, 10, 10, -6
10,-1:-4, 0, 0, 8, 12, 6, -10
1,0:-4, 0, 6, 4, -6, -10, 0
6,-7:-4, 0, 6, 4, -6, -4, -14
1,0:-4, 0, 6, 4, -6, 0, -10
11,3:-4, 2, 6, 2, -8, -16, -12
3,2:-4, 4, -10, -6, 0, -4, -8
8,5:-4, 4, -10, -6, 2, 4, -2
5,-2:-4, 4, -8, -14, -12, 6, 2
9,1:-4, 4, -2, -14, 6, 4, 4
9,1:-4, 4, -2, -14, 6, 4, 6
9,1:-4, 4, -2, 6, 4, 4, -14
5,2:6, 6, -2, 4, 0, -12, -2
-7,11:6, 6, 8, -4, 10, -2, 10
-7,11:6, 6, 8, -4, 10, 10, -2
0,1:-4, -14, 10, 10, 18, 12, 14, -6
0,1:-4, -14, 10, 10, 18, 12, 14, 4
-1,12:-4, -12, -14, -4, 6, -8, 2, 0
-1,12:-4, -12, -14, -4, 6, -8, 2, 2
-1,12:-4, -12, -14, -4, 6, -8, 2, 4
-1,12:-4, -12, -14, -4, 6, 2, 2, -8
4,8:-4, -12, -14, 0, -10, -14, -6, 6
15,-3:-4, -12, -14, 0, -10, -4, 0, -4
15,-3:-4, -12, -14, 0, -10, -4, 0, 0
-5,-3:-4, -12, -8, -14, -14, 2, 4, 4
-5,1:-4, -12, -6, -14, -2, 6, -10, 4
-5,1:-4, -12, -6, -14, -2, 6, -10, 14
-5,1:-4, -12, -6, -14, -2, 6, 4, -10
15,-3:-4, -12, 0, -10, -4, 0, -4, -4
15,-3:-4, -12, 0, -10, -4, 0, -4, -2
15,-3:-4, -12, 0, -10, -4, 0, 0, -4
7,-5:-4, -12, 0, -8, -16, -18, -12, -10
17,9:-4, -12, 0, -4, -12, -18, -10, 8
7,-10:-4, -12, 4, -6, -14, -8, -12, -16
2,-11:-4, -6, -8, -16, -26, -14, 6, -12
17,0:-4, -6, -8, -6, -16, -10, -16, -4
17,0:-4, -6, -8, -6, -16, -10, -16, -2
17,0:-4, -6, -8, -6, -16, -10, -16, 0
17,0:-4, -6, -8, -6, -16, -10, -4, -16
17,0:-4, -6, -8, -6, -16, -4, -4, -16
3,2:-4, -6, -6, -14, -14, 2, 6, -6
3,-4:-4, -6, -6, -14, 0, 2, 0, -6
-3,0:-4, -6, -6, -4, -8, 8, 4, 4
-1,-2:-4, -6, -6, -4, -2, 6, 28, 16
-1,-2:-4, -6, -6, -4, -2, 6, 32, 16
-3,0:-4, -6, -6, -4, 8, 4, 4, -8
-7,-4:-4, -6, -6, -4, 10, 8, -4, 4
6,-5:-4, -6, -6, 0, 0, -10, 6, 0
6,-5:-4, -6, -6, 0, 0, -10, 6, 4
-1,-7:-4, -6, -6, 0, 2, -2, -4, -4
12,-11:-4, -6, -6, 2, -10, -12, -22, 0
12,-11:-4, -6, -6, 2, -10, -12, 0, -22
8,6:-4, -6, -6, 2, 4, -6, 8, -8
-1,4:-4, -6, -6, 4, -10, 0, -6, -10
12,-14:-4, -6, -4, -8, -14, -18, -12, -8
6,-10:-4, -6, 6, -8, -12, -24, -8, 4
6,-10:-4, -6, 6, -8, -12, -24, 4, -8
