-4,-14:-4, 0, -8, 6, -14, -12, 2
16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
5,0:-4, 0, -16, -4, 0, -4, 6, 4
-13,-2:6, 6, 2, -4, 10, 16, 14, 0
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -6, -4
-9,15:-4, -12, -4, 6, 2, 0, -10, 8, 20
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-1,10:-4, -6, 6, 0, -8, -4, -16, -4, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 0, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 2, 2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 0
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -10
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -8
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -6
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -24
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -22
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -20
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -22
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -12
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 0
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 2
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 4
4,-6:-4, 0, 4, -6, -2, -12, -18, -4, -2
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -6
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -2
4,-6:-4, 0, 4, -6, -2, -12, -6, 0, -18
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -4
15,2:-4, 4, -10, -6, -10, -12, 6, -12, 0
-2,-1:-4, 4, -10, -6, -8, 2, 8, 4, -8
15,2:-4, 4, -10, 0, -6, -10, -12, 6, -12
4,-14:-4, 4, -8, -4, -6, -16, -10, -14, -12
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -10
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -8
4,-13:-4, 4, -8, 0, -2, -18, -16, -10, -32
-1,-11:6, -4, -4, 0, -8, 6, -14, -12, 2
1,7:6, 6, 2, 6, 18, 2, -4, -4, -2
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
