-2,-4:-4, -6, 6, 0, -8, -16, 0, 22
-2,-4:-4, -6, 6, 0, -8, -16, 14, 14
-2,-4:-4, -6, 6, 0, -8, -16, 14, 16
-2,-4:-4, -6, 6, 0, -8, -16, 14, 18
-2,-4:-4, -6, 6, 0, -8, -16, 22, 0
-2,-4:-4, -6, 6, 0, -8, -16, 22, 2
19,2:-4, -4, 6, 6, 12, 0, 6, -2
0,-4:-4, -12, -4, -4, -6, 6, -6, 12, 10
-2,-4:-4, -6, 6, 0, -8, -16, 0, 24, 26
-2,-4:-4, -6, 6, 0, -8, -16, 0, 24, 28
-2,-4:-4, -6, 6, 0, -8, -16, 0, 26, 20
-2,-4:-4, -6, 6, 0, -8, -16, 6, 14, 18
-2,-4:-4, -6, 6, 0, -8, -16, 6, 14, 20
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 10
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 12
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 14
-2,-4:-4, -6, 6, 0, -8, -16, 12, 22, 6
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 12
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 14
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 16
-6,13:-4, -6, 6, 10, -14, -4, -2, 4, -10
19,2:-4, -4, 6, 6, 12, 0, 6, -8, -4
7,-3:-4, 4, -2, -8, -10, -4, 2, -10, 0
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -10
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -6
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, 0
12,7:6, 6, 2, -6, 12, 8, 6, -6, 6
12,7:6, 6, 2, -6, 12, 8, 6, -6, 8
12,7:6, 6, 2, -6, 12, 8, 6, -6, 10
12,7:6, 6, 2, -6, 12, 8, 12, 6, -6
18,11:6, 6, 6, -8, 6, 4, 16, -8, 2
18,11:6, 6, 6, -8, 6, 4, 16, -8, 6
