2,-4:-4, -6, -4
5,-9:-4, 0, 4, 6
10,-2:-4, 4, -8, 2
-1,2:-4, -6, -6, -4, -8
2,-4:-4, -4, 4, -4, 2
2,-4:-4, -4, 4, -4, 4
2,-4:-4, -4, 4, -4, 6
2,-4:-4, -4, 6, -4, 0
2,-4:-4, -4, 6, -4, 10
-9,-5:-4, 2, 6, 10, 14
-9,-5:-4, 2, 6, 10, 18
2,-4:-4, 4, -8, -4, -10
2,-4:-4, 4, -8, -4, -8
10,-2:-4, 4, -8, -4, -4
10,-2:-4, 4, -8, -4, -2
10,-2:-4, 4, -8, 0, -4
5,-1:6, -4, -4, -6, -4
7,-2:6, 6, 2, 4, 8
7,-2:6, 6, 2, 4, 12
-3,6:6, 6, 8, 6, 10
2,-4:-4, -12, 0, -8, -4, -14
2,-4:-4, -12, 0, -8, -4, -12
2,-4:-4, -12, 0, -8, -4, -10
6,11:-4, -12, 4, 4, 6, -8
-3,18:-4, -6, -14, 2, 8, -2
8,-4:-4, -6, -8, -6, -2, -10
12,-1:-4, -6, -8, -2, -10, -20
-4,-2:-4, -6, -6, -16, 0, -4
-4,-2:-4, -6, -6, -14, -8, 2
-4,-2:-4, -6, -6, -14, 2, -8
3,7:-4, -6, -6, -4, 2, -8
3,7:-4, -6, -6, -4, 2, -6
3,7:-4, -6, -6, -4, 2, -4
-4,-2:-4, -6, -6, 0, -4, -16
-4,-2:-4, -6, -6, 0, -4, -12
4,-8:-4, -6, 0, -8, -12, -10
11,5:-4, -4, -8, -12, -14, 6
11,5:-4, -4, -8, -12, -14, 8
11,5:-4, -4, -8, -12, -14, 10
15,-2:-4, -4, -8, -12, -6, 6
15,-2:-4, -4, -8, -12, -4, 6
15,-2:-4, -4, -8, -12, -4, 8
15,-2:-4, -4, -8, -12, -4, 10
11,5:-4, -4, -8, -12, 6, -14
15,-2:-4, -4, -8, -12, 6, -4
15,-2:-4, -4, -8, -12, 6, -2
2,-4:-4, -4, 4, -4, -2, 0
2,-4:-4, -4, 4, -4, -2, 2
2,-4:-4, -4, 4, -4, -2, 4
3,12:-4, -4, 8, 6, 10, 2
2,-4:-4, -4, 10, 6, -4, 2
2,-4:-4, -4, 10, 6, -4, 4
2,-4:-4, -4, 10, 6, -4, 6
4,11:-4, 0, -8, -10, 8, 2
2,8:-4, 0, -8, 8, 10, -8
-4,4:-4, 0, -2, 4, 0, -8
21,7:-4, 0, 4, -6, 4, -6
9,1:-4, 0, 8, -2, -24, 18
9,1:-4, 0, 8, -2, 18, -24
9,1:-4, 0, 8, -2, 18, -18
9,1:-4, 0, 8, -2, 18, -16
3,21:-4, 2, 2, -14, -10, 16
-1,1:-4, 2, 2, -14, 0, 6
-1,1:-4, 2, 2, -14, 0, 14
-1,1:-4, 2, 2, -14, 6, 0
-9,-5:-4, 2, 6, 10, 12, 12
-9,-5:-4, 2, 6, 10, 16, 8
-9,-5:-4, 2, 6, 10, 16, 10
-9,-5:-4, 2, 6, 10, 16, 12
2,-2:-4, 4, -10, -12, -14, -2
10,2:-4, 4, -10, -6, -4, 0
7,2:-4, 4, -10, 0, -6, -12
10,2:-4, 4, -10, 0, -6, -4
2,-4:-4, 4, -8, -16, -4, -10
2,-4:-4, 4, -8, -14, -4, -16
2,-4:-4, 4, -8, -4, -12, -12
2,-4:-4, 4, -8, -4, -12, -10
2,-4:-4, 4, -8, -4, -12, -8
2,-4:-4, 4, -8, -4, -6, -10
2,-4:-4, 4, -8, -4, -6, -8
10,-2:-4, 4, -8, -4, 0, -4
10,-2:-4, 4, -8, -4, 0, -2
-2,-5:-4, 4, -8, 6, -4, -2
10,-2:-4, 4, -8, 6, 6, 10
23,-9:-4, 4, -4, -16, -14, -24
23,-9:-4, 4, -4, -16, -14, -22
26,-16:-4, 4, -4, -12, -10, -28
26,-16:-4, 4, -4, -12, -10, -26
26,-16:-4, 4, -4, -12, -10, -24
2,-4:-4, 4, 4, -6, -4, 14
4,10:-4, 4, 4, 6, -14, -10
4,10:-4, 4, 4, 6, -14, -8
4,10:-4, 4, 4, 6, -14, -6
8,-6:6, -4, -4, 0, 4, 6
13,1:6, -4, -4, 4, -8, 2
-1,14:6, 6, -2, 10, 0, 16
-1,14:6, 6, -2, 10, 16, 0
-8,9:6, 6, 2, -2, -4, 18
7,-2:6, 6, 2, 4, 6, 10
7,-2:6, 6, 2, 4, 6, 12
7,-2:6, 6, 2, 4, 6, 14
