10,-5:-4, -6, -8, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, 14, -4
10,-5:-4, -4, -8, -20, -2, 0
10,-5:-4, -4, -8, -20, 4, 2
10,-5:-4, -4, -8, -20, 4, 4
10,-5:-4, -4, -8, -20, 4, 6
10,-5:-4, -4, -8, -20, 6, 0
10,-5:-4, -4, -8, -20, 6, 10
10,-5:-4, -4, -8, -20, 8, 8
-4,-3:-4, 0, -8, -10, 4, 14
-4,-3:-4, 0, -8, 4, 14, -10
-4,-3:-4, 0, -8, 4, 14, -6
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
13,-2:6, -4, -4, -6, -8, -20
0,0:6, 6, -2, 12, 12, 16
