3,-5:-4, -6, -4, -10
6,-10:-4, 0, 4, 6, -18
11,-3:-4, 4, -8, -16, 2
11,-3:-4, 4, -8, 2, -16
-3,4:6, 6, 8, 6, 12
-2,3:-4, -6, 6, -8, -20, -6
-2,3:-4, -6, 6, -8, -12, -14
-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
3,-5:-4, -4, 4, -4, -10, 2
3,-5:-4, -4, 4, -4, -10, 4
3,-5:-4, -4, 4, -4, -10, 6
3,-5:-4, -4, 6, -4, -10, 0
3,-5:-4, -4, 6, -4, -10, 10
10,-4:-4, 2, 6, 0, 14, -4
-8,-6:-4, 2, 6, 10, 0, 14
-8,-6:-4, 2, 6, 10, 0, 18
-8,-6:-4, 2, 6, 10, 14, 0
11,-3:-4, 4, -8, -16, -4, -4
11,-3:-4, 4, -8, -16, -4, -2
11,-3:-4, 4, -8, -16, 0, -4
-2,3:-4, 4, -8, -6, 6, -16
6,-2:6, -4, -4, -6, -4, -10
-1,12:6, 6, -2, 10, 0, 18
-1,12:6, 6, -2, 10, 18, 0
-8,7:6, 6, 2, -2, -4, 20
