-1,-1:-4, -6, -14
8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-1,-1:-4, -12, -14, 2
-1,-1:-4, -12, -14, 6
5,-7:-4, -6, -6, 4
-4,5:6, 6, 8, 2
-1,-1:-4, -12, -14, 0, 0
-1,-1:-4, -12, -14, 4, -4
-1,-1:-4, -12, -14, 4, -2
-1,-1:-4, -12, -14, 4, 0
10,3:-4, -12, -4, 2, 2
-4,-9:-4, -6, -6, -4, 6
-1,-1:-4, -4, -14, -2, 0
-1,-1:-4, -4, -14, 4, 2
-1,-1:-4, -4, -14, 4, 4
-1,-1:-4, -4, -14, 4, 6
-1,-1:-4, -4, -14, 6, 0
-1,-1:-4, -4, -14, 6, 10
-1,-1:-4, -4, -14, 8, 8
-8,6:-4, 0, -12, 8, 12
-8,6:-4, 0, 8, 12, -12
-8,6:-4, 0, 8, 12, -10
-8,6:-4, 0, 8, 12, -8
-1,-1:-4, 4, -2, -14, -12
-1,-1:-4, 4, -2, -14, -6
-1,-1:-4, 4, -2, -12, -14
6,-5:-4, 4, -2, -12, 0
2,2:6, -4, -4, -6, -14
11,2:6, -4, -4, 2, 2
2,2:6, -4, -4, 4, -14
-4,5:6, 6, -4, 2, 4
-4,5:6, 6, -4, 2, 14
-13,10:-4, -14, -8, 20, 22, 16
7,8:-4, -14, 14, -2, 0, -6
-1,-1:-4, -12, -14, -4, -4, 4
-1,-1:-4, -12, -14, -4, -2, -4
-1,-1:-4, -12, -14, -4, -2, -2
-1,-1:-4, -12, -14, -4, -2, 0
-1,-1:-4, -12, -14, -4, 2, -10
-1,-1:-4, -12, -14, -4, 2, 0
-1,-1:-4, -12, -14, 0, -8, -14
-1,-1:-4, -12, -14, 0, -8, -12
-1,-1:-4, -12, -14, 0, -8, -10
-1,-1:-4, -12, -14, 4, 4, -2
-1,-1:-4, -12, -14, 4, 4, 0
-1,-1:-4, -12, -14, 4, 4, 2
-4,-9:-4, -6, -6, -4, 8, 10
-4,-9:-4, -6, -6, -4, 8, 12
-4,-9:-4, -6, -6, -4, 10, 4
5,-7:-4, -6, -6, 0, -4, 4
5,-7:-4, -6, -6, 0, -4, 6
5,-7:-4, -6, -6, 0, 0, -2
5,-7:-4, -6, -6, 0, 2, 0
5,-7:-4, -6, -6, 2, 2, 0
5,-7:-4, -6, -6, 2, 8, -2
1,-5:-4, -6, 0, -8, -12, -20
10,-5:-4, -6, 0, -8, -4, -4
1,-5:-4, -6, 0, -8, -2, -20
6,-4:-4, -6, 6, -2, -10, 14
6,-4:-4, -6, 6, -2, -10, 16
6,-4:-4, -6, 6, -2, -10, 18
13,-5:-4, -6, 6, -2, 14, -12
6,-4:-4, -6, 6, -2, 14, -10
-1,-1:-4, -4, -14, -4, 8, 6
-1,-1:-4, -4, -14, -2, 8, 8
-1,-1:-4, -4, -14, 2, 8, 8
-1,-1:-4, -4, -14, 4, -2, 0
-1,-1:-4, -4, -14, 4, -2, 2
-1,-1:-4, -4, -14, 4, -2, 4
-1,-1:-4, -4, -14, 8, 12, 0
-1,-1:-4, -4, -14, 10, 6, 2
-1,-1:-4, -4, -14, 10, 6, 4
-1,-1:-4, -4, -14, 10, 6, 6
-8,6:-4, 0, -16, 8, 12, -14
-8,6:-4, 0, -16, 8, 12, -12
-8,6:-4, 0, -16, 8, 12, -10
8,5:-4, 0, -8, -10, 8, 8
8,6:-4, 0, -8, -2, -14, -10
8,5:-4, 0, -8, 8, 8, -10
4,1:-4, 2, 2, -8, -4, -10
-1,-1:-4, 4, -10, -8, -6, -14
-1,-1:-4, 4, -10, -6, -12, -2
-1,-1:-4, 4, -10, -6, -4, -6
-1,-1:-4, 4, -10, -6, -4, -4
-1,-1:-4, 4, -10, -6, -2, -12
-1,-1:-4, 4, -10, -6, -2, -10
-1,-1:-4, 4, -10, -6, 2, -8
1,11:-4, 4, -10, 6, 4, 0
-1,-1:-4, 4, -2, -14, -8, -8
-1,-1:-4, 4, -2, -14, -8, -6
-1,-1:-4, 4, -2, -14, -8, -4
6,-5:-4, 4, -2, -12, -2, 2
6,-5:-4, 4, -2, -12, -2, 4
6,-5:-4, 4, -2, -12, -2, 6
-1,0:-4, 4, -2, -12, 2, -4
6,-5:-4, 4, -2, -12, 2, 2
10,-14:-4, 4, -2, 6, 2, 6
-1,-1:-4, 4, 4, -6, -14, 14
2,2:6, -4, -4, -12, -14, 2
2,2:6, -4, -4, -12, -14, 6
8,-4:6, -4, -4, -6, -6, 4
-1,8:6, -4, 6, 6, 8, 2
8,-4:6, 6, -4, -4, -8, -4
7,0:6, 6, -2, -4, 16, 2
8,7:6, 6, -2, 4, 8, 8
-4,5:6, 6, -2, 10, 2, 10
-4,5:6, 6, -2, 10, 2, 12
-4,5:6, 6, -2, 12, 0, 12
-4,5:6, 6, -2, 12, 0, 14
-4,5:6, 6, -2, 12, 0, 16
-4,5:6, 6, -2, 12, 12, 0
8,2:6, 6, 2, -2, 10, -4
6,3:6, 6, 2, -2, 10, 8
6,3:6, 6, 2, -2, 10, 12
6,3:6, 6, 2, 12, 12, -2
12,7:6, 6, 6, -4, 6, 4
12,7:6, 6, 6, -4, 6, 6
12,7:6, 6, 6, -4, 16, 6
-4,5:6, 6, 8, -4, -2, -4
-4,5:6, 6, 8, -4, -2, -2
-4,5:6, 6, 8, -4, -2, 0
-4,5:6, 6, 8, -4, 2, -10
-4,5:6, 6, 8, -4, 2, 0
7,0:6, 6, 8, -4, 2, 6
7,0:6, 6, 8, -4, 2, 16
-8,7:6, 6, 8, 10, 2, 10
-8,7:6, 6, 8, 10, 2, 20
-8,7:6, 6, 8, 10, 4, 16
-8,7:6, 6, 8, 10, 20, 2
-8,7:6, 6, 8, 10, 20, 6
2,8:6, 6, 8, 10, 20, 22
