4,-6:-4, 0, -2, 8
4,-6:-4, 0, 2, -8
4,-6:-4, 0, 4, 10
4,-11:-4, -6, -8, -2, -20
4,-6:-4, 0, -16, 4, 2
4,-6:-4, 0, -12, -4, -2
4,-6:-4, 0, -12, 2, 0
4,-6:-4, 0, -12, 2, 2
4,-6:-4, 0, -12, 2, 4
4,-6:-4, 0, -12, 4, -2
4,-6:-4, 0, -12, 4, 8
4,-6:-4, 0, -12, 6, 6
4,-6:-4, 0, -8, 8, 4
4,-6:-4, 0, -4, -2, -12
4,-6:-4, 0, -4, -2, -10
4,-6:-4, 0, -4, -2, -8
4,-6:-4, 0, -2, 4, 10
4,-6:-4, 0, -2, 6, 2
4,-6:-4, 0, -2, 6, 4
4,-6:-4, 0, 2, -4, -6
4,-6:-4, 0, 2, -2, -12
4,-6:-4, 0, 6, 4, -8
4,-6:-4, 0, 8, 4, -8
-5,6:6, 6, 2, -2, -8
-5,6:6, 6, 2, 0, 10
-5,6:6, 6, 2, 4, -6
-2,-1:-4, -12, -8, -18, -20, 2
-2,-1:-4, -12, -8, -18, -20, 4
-2,-1:-4, -12, -8, -18, -20, 6
-2,-1:-4, -12, -8, -18, 2, -20
-2,-1:-4, -12, -8, -18, 2, -10
3,4:-4, -6, -14, 6, 12, 20
3,4:-4, -6, -14, 6, 12, 22
3,4:-4, -6, -14, 6, 12, 24
11,5:-4, -4, -8, -12, -8, -16
4,-6:-4, 0, -16, -6, 2, -2
4,-6:-4, 0, -16, -4, -2, -14
4,-6:-4, 0, -16, -4, -2, -12
4,-6:-4, 0, -16, -4, -2, -10
4,-6:-4, 0, -16, 2, -4, -2
6,5:-4, 0, -12, -12, -6, -4
-1,4:-4, 0, -12, -12, -2, -4
-1,4:-4, 0, -12, -12, -2, 0
4,-6:-4, 0, -12, -4, 6, 6
4,-6:-4, 0, -12, 0, 6, 6
4,-6:-4, 0, -12, 2, -4, -2
4,-6:-4, 0, -12, 2, -4, 0
4,-6:-4, 0, -12, 2, -4, 2
4,-6:-4, 0, -12, 6, 10, -2
4,-6:-4, 0, -12, 8, 4, 0
4,-6:-4, 0, -12, 8, 4, 2
4,-6:-4, 0, -12, 8, 4, 4
4,-6:-4, 0, -8, -4, -4, -8
4,-6:-4, 0, -8, -4, -4, -6
4,-6:-4, 0, -8, -4, -4, -4
4,-6:-4, 0, -8, 2, -4, 2
4,-6:-4, 0, -8, 2, -4, 4
4,-6:-4, 0, -8, 2, -4, 6
4,-6:-4, 0, -8, 4, 0, 14
4,-6:-4, 0, -8, 4, 14, 0
4,-6:-4, 0, -8, 4, 14, 2
4,-6:-4, 0, -8, 6, -8, 2
4,-6:-4, 0, -8, 6, -8, 4
4,-6:-4, 0, -8, 6, 0, -2
4,-6:-4, 0, -8, 6, 0, 0
4,-6:-4, 0, -8, 6, 0, 2
4,-6:-4, 0, -8, 8, 8, -6
4,-6:-4, 0, -8, 8, 8, 4
4,-6:-4, 0, -4, 8, 6, -4
4,-6:-4, 0, -2, 4, 2, -2
4,-6:-4, 0, -2, 4, 2, 0
4,-6:-4, 0, -2, 6, 8, 8
4,-6:-4, 0, -2, 6, 8, 12
4,-6:-4, 0, -2, 6, 10, 8
4,-6:-4, 0, -2, 6, 14, 10
4,-6:-4, 0, -2, 6, 14, 12
4,-6:-4, 0, -2, 6, 14, 14
4,-6:-4, 0, 2, -6, -14, 0
4,-6:-4, 0, 2, -6, -14, 2
4,-6:-4, 0, 2, -6, 0, -14
4,-6:-4, 0, 2, -6, 0, -4
4,-6:-4, 0, 2, -4, -8, 0
4,-6:-4, 0, 2, -2, -14, 0
4,-6:-4, 0, 2, -2, -14, 2
4,-6:-4, 0, 2, -2, -14, 4
4,-6:-4, 0, 2, -2, -10, -16
4,-6:-4, 0, 2, -2, -10, -12
4,-6:-4, 0, 2, -2, -6, -12
4,-6:-4, 0, 2, -2, -6, -10
4,-6:-4, 0, 2, -2, -6, -8
4,-6:-4, 0, 2, -2, -4, -16
4,-6:-4, 0, 2, -2, -4, -6
4,-6:-4, 0, 4, -6, -8, -2
4,-6:-4, 0, 4, -6, -8, 0
4,-6:-4, 0, 4, -6, -8, 2
4,-6:-4, 0, 4, -6, -4, -10
4,-6:-4, 0, 4, -6, -4, -6
4,-6:-4, 0, 4, -6, 4, -12
4,-6:-4, 0, 4, -6, 4, -10
4,-6:-4, 0, 6, 4, 10, -8
4,-6:-4, 0, 8, 4, -4, -2
4,-6:-4, 0, 8, 4, -4, 0
4,-6:-4, 0, 8, 4, -4, 2
7,-3:6, -4, -4, 0, -2, 8
7,-3:6, -4, -4, 0, 2, -8
7,-3:6, -4, -4, 0, 4, 10
-5,6:6, 6, 2, -6, -2, 10
-5,6:6, 6, 2, -6, 10, -2
-5,6:6, 6, 2, -4, -4, 10
-5,6:6, 6, 2, -4, -4, 12
-5,6:6, 6, 2, -4, -4, 14
-5,6:6, 6, 2, -4, -2, 10
-5,6:6, 6, 2, -4, 12, -4
-5,6:6, 6, 2, -2, 10, -6
-5,6:6, 6, 2, -2, 10, 4
-5,6:6, 6, 2, -2, 18, 0
-5,6:6, 6, 2, 0, 4, 14
-5,6:6, 6, 2, 0, 6, 8
-5,6:6, 6, 2, 0, 12, -2
-5,6:6, 6, 2, 0, 12, 0
-5,6:6, 6, 2, 0, 12, 2
-5,6:6, 6, 2, 4, -4, -2
-5,6:6, 6, 2, 4, -4, 0
-5,6:6, 6, 2, 4, -2, -8
-5,6:6, 6, 2, 6, 10, 4
-10,6:6, 6, 8, 10, 4, 22
