4,-4:-4, -6, -4, -8
-4,6:-4, 0, -2, -10
-4,6:-4, 0, -2, -6
-3,4:6, 6, 8, 6
-4,6:-4, 0, -2, -4, -12
-4,6:-4, 0, -2, -4, -10
-4,6:-4, 0, -2, -4, -8
7,-9:-4, 0, 4, 6, -16
12,-2:-4, 4, -8, -14, 2
12,-2:-4, 4, -8, 2, -14
-1,12:6, 6, -2, 10, 0
-8,7:6, 6, 2, -2, -4
-12,9:-4, -14, -8, 20, 22, 20
8,7:-4, -14, 14, -2, 0, -2
0,-14:-4, -12, -8, 2, 0, -28
-2,10:-4, -12, -6, -14, 8, 2
-2,10:-4, -12, -6, -14, 8, 4
0,3:-4, -6, -14, 2, 6, 10
11,-5:-4, -6, -6, -16, -2, 8
5,-14:-4, -6, 0, -2, -30, -16
5,-14:-4, -6, 0, -2, -16, -30
5,-14:-4, -6, 0, -2, -16, -22
25,-10:-4, -6, 0, -2, -14, -32
-1,7:-4, -4, -8, -12, -16, -10
-1,7:-4, -4, -8, -12, -16, -4
13,1:-4, -4, 2, 8, -12, -4
4,-4:-4, -4, 4, -4, -8, 2
4,-4:-4, -4, 4, -4, -8, 4
4,-4:-4, -4, 4, -4, -8, 6
4,-4:-4, -4, 6, -4, -8, 0
4,-4:-4, -4, 6, -4, -8, 10
20,5:-4, -4, 8, 10, 0, -4
-1,4:-4, 0, -12, -12, -4, 6
-1,4:-4, 0, -12, -12, 6, -4
-1,4:-4, 0, -12, -12, 6, -2
-1,4:-4, 0, -12, -4, 6, -12
-1,4:-4, 0, -12, 0, 6, -12
1,12:-4, 0, -12, 0, 10, -2
-1,4:-4, 0, -8, -10, 6, -8
-1,4:-4, 0, -8, -4, -2, -12
-1,4:-4, 0, -8, 6, -8, -10
-1,4:-4, 0, -8, 6, -8, -6
-4,6:-4, 0, -2, -4, -4, -10
-4,6:-4, 0, -2, -4, -4, -8
-4,6:-4, 0, -2, -4, -4, -6
1,12:-4, 0, 0, 10, -2, -12
1,12:-4, 0, 0, 10, -2, -10
1,12:-4, 0, 0, 10, -2, -8
14,17:-4, 0, 2, -6, -14, -10
14,17:-4, 0, 2, -6, -14, -6
-1,4:-4, 0, 6, -6, -18, -4
12,10:-4, 0, 6, -6, -18, 4
-1,4:-4, 0, 6, -6, -4, -18
18,2:-4, 0, 6, -6, -4, 2
18,2:-4, 0, 6, -6, -4, 4
12,10:-4, 0, 6, -6, 4, -18
18,2:-4, 0, 6, -6, 4, -4
-1,4:-4, 0, 8, -6, 6, -12
5,0:-4, 2, 2, -8, -4, -6
-8,4:-4, 2, 6, 2, -2, 0
-7,-5:-4, 2, 6, 10, 2, 14
-7,-5:-4, 2, 6, 10, 2, 18
-7,-5:-4, 2, 6, 10, 14, 2
9,0:-4, 4, -10, -6, -2, 0
6,8:-4, 4, -10, 0, -14, -20
9,0:-4, 4, -10, 0, -6, -2
12,-2:-4, 4, -8, -14, -4, -4
12,-2:-4, 4, -8, -14, -4, -2
12,-2:-4, 4, -8, -14, 0, -4
7,-1:6, -4, -4, -6, -4, -8
-1,9:6, -4, -4, 0, -2, -10
-1,9:6, -4, -4, 0, -2, -6
0,7:6, -4, 6, 6, 8, 6
-4,-7:6, 6, -4, -4, -8, -16
-4,-7:6, 6, -4, -4, -8, -12
-1,12:6, 6, -2, 10, 2, 6
-1,12:6, 6, -2, 10, 6, 4
-1,12:6, 6, -2, 10, 6, 6
-3,4:6, 6, -2, 10, 6, 10
-3,4:6, 6, -2, 10, 6, 12
-3,4:6, 6, 6, -4, 6, -8
-3,4:6, 6, 6, -4, 6, 2
-3,4:6, 6, 6, -2, 6, -4
-3,4:6, 6, 6, -2, 6, -2
-3,4:6, 6, 6, -2, 6, 0
3,1:6, 6, 8, 8, 6, 10
